CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
1.008122	7.369359	8.179525	0.359374	14.912452	16.214631	5.500002	16.258218	11.948473	3.584836	1.856482	5.029825	7.777699	0.001
9.587574	9.533391	5.55624	9.866023	7.334036	13.0728	12.132951	10.252634	4.981629	2.396111	7.195702	4.511589	3.57832	0.001
2.945733	11.988035	11.453584	12.531633	2.717243	14.623355	9.063377	6.021579	2.950316	6.915945	6.497191	10.948209	1.342799	0.001
11.496565	3.013191	8.793693	6.529152	13.029325	9.481581	1.545881	2.495169	0.107875	10.637955	11.514832	8.419193	12.934587	0.001
8.229076	10.791838	8.864163	10.607948	9.471425	7.955706	7.969185	4.716815	5.62656	4.669983	9.365617	1.695381	10.035303	0.001
10.857544	4.440029	7.381793	9.146663	10.845542	4.460742	1.618105	4.508369	9.25618	9.48345	5.959729	10.721281	11.318417	0.002154
4.567356	4.910603	9.997637	8.57854	11.083941	6.840685	13.161298	8.718377	2.58882	12.277427	7.268286	7.860213	2.144662	0.002154
9.118383	20.523246	13.224394	2.286533	10.093879	8.819321	2.906405	10.929649	9.00377	5.338982	6.286208	0.519791	0.947285	0.002154
9.579057	4.704863	9.063882	11.304181	10.751062	11.44102	4.06466	9.313151	10.147864	1.204792	6.539047	8.953729	2.930537	0.002154
7.782435	7.997565	6.639162	8.910183	7.001312	9.871594	11.007388	8.893126	3.196857	8.533534	7.766292	2.502301	9.896098	0.002154
11.786111	3.191427	2.666384	11.181069	3.278676	12.092776	9.236388	4.767008	14.616504	4.546506	7.817599	4.633638	10.181271	0.004642
13.058813	10.123553	4.887064	5.990712	2.090045	3.665543	9.973752	14.599124	8.996781	0.404315	6.632022	6.571207	13.002427	0.004642
10.813189	1.719122	5.039672	10.634997	10.576403	7.958699	8.631236	5.851115	9.660782	3.802705	11.192908	2.250519	11.864013	0.004642
0.996621	13.493469	8.959494	5.755136	9.835876	1.370223	6.066877	9.948126	10.619262	8.413597	15.987754	1.33783	7.211092	0.004642
5.796085	13.239785	2.404543	14.909248	5.676032	18.146779	2.024867	8.572227	15.792181	0.231489	9.610834	2.410978	1.180311	0.004642
12.163249	4.775473	1.716761	12.267966	6.541618	2.34837	9.782833	11.936678	9.857954	3.313559	7.670403	10.806035	6.809101	0.01
11.532877	1.414754	3.583185	3.693054	7.784692	12.320124	9.206023	12.680835	13.293168	2.301192	11.908645	9.552888	0.718563	0.01
0.985699	5.639111	9.983115	13.97134	9.399272	13.684282	0.990002	10.557603	9.711396	8.774303	5.719699	5.507305	5.066872	0.01
11.512199	3.40377	13.435217	6.482427	10.241396	3.427237	1.192322	1.59232	10.880025	6.570322	8.769251	12.461238	10.022276	0.01
1.847656	6.530242	1.903937	1.734826	12.991375	14.277659	0.153992	3.642822	15.013575	6.767108	14.873014	11.255722	8.998072	0.01
8.950583	5.001061	5.099263	9.615193	8.695337	0.586555	14.11088	12.826513	8.352982	3.984264	8.694338	2.540785	11.520703	0.021544
12.653252	15.49397	2.084773	9.747831	17.778484	12.396809	8.926001	1.656147	0.494885	1.525714	6.700479	10.109544	0.410568	0.021544
6.366532	10.550881	5.1069	8.548581	11.492838	6.932049	7.067217	4.825701	11.684979	6.689552	0.579262	12.976455	7.157508	0.021544
10.194968	12.222992	3.591096	8.975011	1.725346	1.704111	3.881982	11.521118	10.624697	3.239932	7.078991	13.089745	12.128465	0.021544
8.666924	9.602218	10.385091	5.407301	9.605929	10.523649	1.837308	4.300936	5.813612	8.829172	9.372518	9.554345	6.079452	0.021544
9.065568	5.534843	9.156127	2.159935	13.924136	5.248586	6.698715	5.973043	2.910517	13.445489	6.757908	12.059176	7.019542	0.046416
