CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.128595	10.303576	5.904049	9.044961	2.971349	0.001	7.312373	12.771281	3.338562	5.673698	10.988968	7.786498	4.1489	11.626192
6.41838	0.084715	7.474306	5.868721	14.451895	0.001	8.655349	10.897226	11.62167	4.537333	10.600727	14.365632	1.48691	3.536137
1.45268	11.967747	0.548596	5.755011	11.227424	0.001	2.062397	11.589882	11.371887	16.468444	1.734435	1.241962	18.700606	5.877927
3.729704	14.206625	12.182392	12.195374	6.132873	0.001	3.317769	3.413412	13.267172	7.068308	2.942507	7.031087	10.08097	4.430809
9.922009	11.425944	11.364574	3.177429	4.137885	0.001	18.413594	4.259935	2.854724	4.501996	9.142364	3.273309	12.871617	4.65362
6.483429	9.833174	10.102898	4.887499	13.076185	0.002154	9.170181	14.176777	5.676056	2.573546	2.251766	14.781513	5.118124	1.866698
3.697775	12.862092	12.004708	10.952582	2.337796	0.002154	3.02392	7.482631	2.65889	5.777149	17.395066	3.637272	7.672788	10.495176
6.019017	10.79608	11.852544	10.348586	0.020313	0.002154	7.65805	7.455602	12.076253	3.616435	0.704386	15.738044	10.449336	3.2632
11.66983	4.451308	6.780175	12.727992	8.217398	0.002154	10.462858	10.066122	6.841578	7.712201	6.849443	0.975396	1.955283	11.288261
10.530825	8.5101	10.295573	8.640225	7.834231	0.002154	3.417013	10.647179	8.722584	8.802568	1.201087	11.902331	8.928357	0.565774
8.387222	11.079739	1.188218	13.124303	5.744948	0.004642	9.051293	12.327906	4.672317	12.630388	7.819634	4.151107	7.734405	2.08388
4.710035	3.899987	10.537596	10.118119	7.346405	0.004642	1.251156	6.191398	11.369051	11.538273	12.777712	8.195287	0.006499	12.05384
12.091236	15.630991	9.570372	9.762211	11.148426	0.004642	9.952552	6.09935	9.138618	3.091241	4.322252	4.421625	3.210103	1.556382
1.523865	11.286595	9.591842	8.913647	2.57281	0.004642	10.430935	5.347256	12.174978	7.058946	7.342673	12.004196	6.395918	5.351699
6.744189	7.688505	7.950247	0.413607	18.492806	0.004642	5.214967	4.206179	15.275832	7.998146	2.592586	10.449036	8.854191	4.115069
8.276419	2.395433	0.724153	15.30762	3.010117	0.01	4.45064	6.098537	13.478032	0.877119	5.678293	12.558789	14.724696	12.410153
3.07399	16.239587	7.836137	14.139074	12.50404	0.01	2.77442	13.175738	14.954295	2.832174	1.190566	3.580505	4.849831	2.839644
4.140455	2.664533	1.972514	1.046288	2.160974	0.01	7.819096	20.313394	5.321378	5.977029	13.63746	21.848727	4.46165	8.626502
11.142333	21.229182	19.277271	2.819918	6.680895	0.01	1.106023	10.529687	3.367294	4.150527	1.848153	4.680905	9.298887	3.858924
12.425928	5.879113	5.047104	9.122749	10.040956	0.01	5.548872	5.775488	6.762248	6.472474	8.297689	5.331815	6.491918	12.793648
1.289641	1.447737	5.279792	17.265686	5.591202	0.021544	17.31426	13.261911	3.864041	14.922064	0.172627	4.764952	13.785206	1.019337
12.294067	5.061818	5.520831	4.781417	2.003729	0.021544	0.107376	9.686397	11.23057	11.748949	12.725441	6.321394	7.238496	11.257973
9.215302	10.139406	9.221247	9.482412	5.838608	0.021544	9.932466	9.742748	9.074611	0.783024	6.616571	2.036012	7.757988	10.138058
2.947896	11.623087	1.483051	8.887316	10.949051	0.021544	2.162682	12.302139	7.154802	5.079979	10.647539	13.519025	12.962913	0.258974
8.783814	18.820619	12.570482	4.143904	13.95877	0.021544	20.058077	0.012049	1.994331	0.052894	12.122157	2.404407	0.929505	4.127448
0.154508	11.297864	13.282287	14.219261	9.28487	0.046416	5.215482	5.831174	6.685473	0.637593	9.593567	3.331482	11.480131	8.939892
0.105551	7.370729	9.761056	8.708206	4.186381	0.046416	14.653737	12.468181	1.126882	11.77723	13.550813	0.484633	2.779124	12.981062
3.954074	4.749469	11.203297	6.258678	5.207979	0.046416	14.868791	5.546244	6.103193	15.013521	6.597136	5.953733	12.070357	2.427113
0.074786	8.918165	4.366338	9.598654	14.867219	0.046416	5.10858	4.634447	9.57745	12.826985	0.569542	14.710636	10.491733	4.209049
4.69777	10.3893	4.134177	11.893413	5.848352	0.046416	11.733724	8.250589	3.416643	7.914386	3.829427	14.764249	9.60525	3.476305
6.55647	1.90301	7.45608	6.59442	8.382572	0.1	9.316286	7.650634	6.60052	8.853191	7.785615	9.919867	7.85802	11.023314
3.157561	4.065163	12.756668	4.378479	8.502108	0.1	13.825359	0.632673	10.714667	5.400152	11.172077	12.075834	12.83246	0.386797
12.715697	11.460689	4.935116	2.883559	0.4595	0.1	2.158634	6.551607	2.957994	4.949053	12.125842	15.07957	12.1019	11.520838
2.934553	8.560437	7.752793	2.956608	10.042536	0.1	4.021171	12.736235	6.404618	8.561855	9.2271	9.959925	11.384086	5.358085
6.880495	8.765998	6.105959	12.306427	9.439875	0.1	1.191782	0.74324	11.595495	4.822205	11.287927	6.875867	11.453257	8.431472
12.708633	4.54631	4.205776	6.490921	9.462741	0.215443	12.414745	14.530927	0.915841	3.992004	13.659186	1.315241	8.102223	7.44001
4.417488	5.590196	12.614196	5.960588	4.17144	0.215443	2.849803	0.620899	7.087498	5.013262	15.156604	10.741358	12.798672	12.762554
6.956051	13.213501	1.262125	1.068717	4.975574	0.215443	14.168945	13.838991	5.189735	2.829514	7.851163	4.119182	12.001355	12.309702
3.990243	3.784048	13.538275	6.752708	3.728845	0.215443	1.34481	10.130159	7.30417	7.752346	13.218173	7.279272	7.894564	13.066942
12.485532	9.637319	9.241706	2.298573	10.944122	0.215443	5.073273	4.139654	9.022472	12.935281	8.210621	10.52849	3.933634	1.333879
11.026296	10.973716	9.258811	1.914621	12.597507	0.464159	7.195715	4.543817	2.039598	10.606273	7.759662	1.36889	11.884209	8.366726
7.751419	11.652596	4.1789	7.292509	11.103849	0.464159	11.488221	3.339149	8.566905	2.087982	12.22297	2.442574	10.017599	7.391167
12.860586	4.339474	4.200853	0.299614	7.997396	0.464159	3.895021	12.932708	0.330903	1.620446	16.087492	6.072192	15.42828	13.470875
18.110723	6.848612	2.271921	5.110165	9.649904	0.464159	2.578203	13.849633	0.293855	13.619808	4.235102	0.866623	15.061491	7.039802
8.161075	8.386909	4.980348	10.701599	15.348954	0.464159	6.817666	2.263277	14.398345	7.519266	10.285108	1.366336	0.176091	9.130866
