CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.259874	5.115149	1.0	5.240603	1.414693	10.419625	6.662206	6.414912	13.973371	2.991859	7.243009	5.437357	12.126252	13.70109
7.272304	5.285222	1.0	11.414979	1.550541	10.039124	9.808017	8.561276	7.933358	0.782792	11.620096	9.843976	11.685219	3.203096
3.125752	0.919166	1.0	12.156638	10.697164	3.618782	8.551676	10.109769	7.964144	0.619298	8.846165	9.795619	10.570704	12.025125
13.084478	7.253139	1.0	3.888092	2.017726	4.319386	5.678782	6.902725	11.359259	8.597924	15.001917	2.340724	7.29328	11.26257
2.392706	5.328934	1.0	14.382377	6.986563	5.126324	1.80155	16.853385	12.466437	14.356938	2.16936	0.78259	7.593321	8.759515
12.20623	9.37236	10.888889	5.114146	11.859561	1.053644	3.753952	1.258877	4.51658	11.381031	12.406404	7.497732	5.104177	3.586416
2.73466	9.027513	10.888889	2.8321	12.295782	5.443202	4.008303	7.524642	5.163316	13.012437	0.119624	9.820992	7.404087	9.724453
1.603215	9.008207	10.888889	8.79768	0.424457	7.799319	11.06482	9.591055	13.087082	3.354791	13.745656	3.346491	4.554393	2.733946
7.393382	8.694458	10.888889	3.662322	8.896528	10.124418	10.661667	1.49507	0.602634	3.517249	9.928109	4.285503	10.711318	9.138455
5.387714	4.569532	10.888889	3.045012	11.301215	3.485812	14.847745	7.822846	5.854001	8.802644	1.379019	8.998408	1.448632	12.168529
5.430674	9.528337	20.777778	7.688799	7.820232	8.540058	10.041298	1.478766	5.185421	4.652579	1.812571	8.701965	5.573703	2.767821
1.694741	4.649192	20.777778	6.779691	6.837644	12.432043	3.277101	2.890597	11.355558	5.283167	6.273235	6.237588	5.757003	5.754662
8.393754	0.023519	20.777778	9.724407	4.497631	2.563109	8.899353	5.37442	7.707169	6.275486	10.896369	5.227642	6.235383	3.40398
4.620445	6.295446	20.777778	0.694321	2.170976	6.955183	7.91427	8.74758	4.353568	10.400215	9.675615	5.900514	8.601128	2.892961
11.544803	7.188912	20.777778	2.465438	8.086851	4.806849	2.762529	6.722053	10.409965	6.511078	0.469918	8.256972	2.485718	7.511136
2.531492	11.135011	30.666667	8.872779	5.901062	2.699575	5.22919	11.174937	5.949971	0.805106	6.145384	0.765922	0.602632	7.520274
8.762833	7.706407	30.666667	6.658002	8.19104	0.210139	2.918465	7.411966	4.267403	4.229038	2.741852	1.155932	8.866461	6.213794
2.451482	1.077809	30.666667	0.300568	5.031686	3.864377	7.007656	5.216294	4.746611	9.186698	4.642142	7.664148	9.465778	8.678084
2.073013	0.690171	30.666667	6.537675	7.056303	1.605503	5.679729	8.395056	4.47063	5.972914	4.994009	7.394154	9.305725	5.158452
1.307477	5.763373	30.666667	8.025986	2.61797	8.690377	9.539419	6.437928	2.513159	5.26095	1.870547	7.570472	5.486958	4.248717
9.896302	3.117244	40.555556	5.818335	7.168011	1.009765	6.735646	3.351708	2.957967	1.649346	0.953498	1.476404	4.62854	10.681679
1.378321	2.398353	40.555556	5.267563	1.512936	2.5518	6.027967	8.204693	5.769004	1.81614	6.507637	6.603935	6.979681	4.426415
0.413473	5.7921	40.555556	6.382602	5.019567	6.316495	6.434177	4.066253	6.839628	2.752066	4.746965	3.183448	7.007587	0.490083
6.614692	2.755972	40.555556	8.536036	6.750619	5.005951	6.190247	7.855522	4.859141	4.901826	0.833077	2.005393	0.036426	3.099544
0.334167	5.20306	40.555556	6.583411	2.560675	1.373984	12.832722	5.435805	1.310818	3.459195	8.836272	8.618954	1.09158	1.803802
1.38592	3.638559	50.444444	5.595066	5.750601	5.233908	3.430248	0.01448	1.174123	4.320405	3.16572	5.289785	5.478235	5.078507
