CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
9.6224	8.024752	12.524444	3.743223	3.274468	8.129793	4.126374	3.71243	11.014496	12.20342	5.334825	9.194065	0.001	9.094308
5.014789	1.341279	17.91166	3.099983	4.955338	3.345682	5.800673	1.070616	7.602508	2.601902	21.943803	6.69602	0.417625	18.198123
9.617765	6.745913	4.655376	4.666492	12.819015	3.233874	7.090369	12.503222	8.154634	11.358126	5.097242	11.12074	0.83425	2.102981
10.333719	4.00921	6.686831	13.281294	6.454484	2.070067	4.972331	6.029257	3.172159	15.469388	7.533955	8.631141	1.250875	10.105289
11.5898	5.972778	0.491894	4.332996	10.187182	12.852761	10.891608	1.086752	12.918742	10.268304	3.818188	13.240236	1.6675	0.681261
8.087415	8.403265	6.242726	8.970013	10.340785	6.397859	3.647163	6.778974	5.671766	4.014019	6.792565	13.752663	2.084125	8.816662
2.9307	16.18653	12.368932	2.153878	7.006973	1.886066	11.025645	2.883737	9.055762	4.325958	9.073883	15.606489	2.50075	2.994697
1.243352	2.116061	4.737819	11.399318	9.843798	10.776276	4.425988	11.205406	9.434315	9.790184	9.33362	7.50076	2.917375	5.275729
13.427387	0.77112	3.079039	15.075457	8.450166	2.918082	9.748585	4.62263	14.024303	7.860188	9.721655	1.288385	3.334	5.679001
10.350146	5.146044	7.778322	0.1248	11.695811	2.55635	1.82468	10.971457	13.569053	8.46126	9.17739	11.987064	3.750625	2.606999
10.741608	2.3688	9.794335	8.269871	8.418928	10.520399	5.932349	11.181024	6.817305	5.680802	5.314297	9.146319	4.16725	1.646713
2.310719	9.922287	12.022284	9.276973	6.695739	10.959197	0.765809	12.746557	4.743473	5.867829	10.079981	4.829815	4.583875	5.195463
5.287818	15.738995	14.383242	4.230051	1.946205	3.696109	1.136625	7.80292	8.2977	11.622693	2.054325	10.308112	5.0005	8.494704
9.079406	9.217556	1.39595	5.896732	5.474649	1.342105	12.594643	10.501638	2.295821	8.159038	9.943309	5.594747	5.417125	13.087281
6.558836	10.526347	10.053363	9.918254	7.476361	11.489852	3.959432	3.11063	8.872987	11.571338	0.768255	7.055422	5.83375	2.805172
8.334088	7.270248	5.320801	4.782146	10.914035	5.45102	10.269952	11.260916	5.077295	10.91416	3.230066	6.179997	6.250375	4.744903
1.373268	4.06768	8.849402	6.42965	8.21006	6.394218	6.553304	8.986833	10.201723	5.477913	9.090878	7.544658	6.667	10.153411
3.268736	0.281493	12.665812	8.466867	9.979287	9.878214	2.069485	7.483989	6.572294	9.37313	6.166616	10.476541	7.083625	6.23391
6.706431	5.480745	11.402262	9.467185	9.609125	5.388197	4.25196	5.788286	7.36974	4.37573	9.398414	3.284592	7.50025	9.977084
8.790156	1.507919	6.747519	6.895773	10.712441	1.340933	9.08015	8.173461	10.641996	4.06808	11.051807	9.657868	7.916875	3.415022
8.592201	7.541811	1.457299	2.970411	10.168402	9.868001	3.144978	8.042381	10.502061	6.749092	9.239661	11.381349	8.3335	2.008854
1.321595	9.063943	6.994504	13.327769	1.965337	12.824109	13.703693	5.805122	6.042718	0.422193	3.036254	5.331966	8.750125	11.410674
0.128296	14.679339	1.109601	12.493056	12.6417	4.548655	6.726031	10.821851	2.525479	10.168211	6.047672	2.739708	9.16675	6.203653
8.853583	2.870165	11.842236	7.47979	4.499474	2.938563	7.572317	1.617915	8.058321	13.59326	2.718125	14.150421	9.583375	4.222453
8.446176	2.948439	7.666242	10.194549	8.985728	5.523116	3.011542	10.511903	3.7157	1.229057	10.617581	10.353794	10.0	6.796175
