CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.837392	9.093145	9.265485	1.369199	10.415905	8.593543	10.863343	0.80867	12.956217	5.317285	0.001	8.211387	12.980264	2.287167
8.627357	12.281798	9.272456	4.792852	12.293388	10.945882	3.273012	2.801272	4.681756	1.419877	0.417625	8.257306	7.35005	13.585369
5.312759	10.835905	12.735279	12.35944	4.543946	8.590343	1.92458	11.6681	2.770751	8.994379	0.83425	3.604402	3.174147	12.65172
2.971326	6.851363	10.884586	5.608551	8.539649	4.106618	2.423422	13.300213	13.569601	1.401794	1.250875	13.425511	12.651795	3.014694
14.125048	4.75874	4.434314	5.31994	10.142614	10.754626	4.472592	13.75968	12.834224	6.680053	1.6675	2.493372	2.113796	6.443502
3.418252	8.578849	10.611508	9.529619	6.715828	10.368257	6.952284	8.825988	1.113041	11.160405	2.084125	7.329012	8.328944	4.983885
4.574092	6.162626	10.631324	9.467603	4.239281	8.578418	10.228536	7.091232	11.170148	11.658173	2.50075	2.245643	11.213888	0.238287
5.77549	2.714952	8.01425	3.125628	5.903291	0.766272	14.474717	5.289278	6.337156	15.232501	2.917375	15.520993	10.981773	2.946324
0.066109	9.171298	9.623112	7.886137	10.087079	14.363548	10.239581	1.550685	2.476244	13.311064	3.334	4.010653	7.151499	6.728992
10.721825	0.973764	6.059595	8.945227	5.055954	3.409958	10.490518	14.250468	8.78284	11.721324	3.750625	5.244035	8.927498	1.666369
11.946984	2.344728	6.879894	5.836629	2.255966	6.781709	9.25196	10.438366	4.887515	7.875755	4.16725	6.200058	13.465146	7.66804
7.20254	6.9518	11.321702	3.17465	7.299194	2.251589	11.719941	10.117259	6.484426	7.58468	4.583875	9.533853	6.004852	5.769639
3.550301	10.600798	13.086363	7.781481	2.168353	5.531117	0.834453	11.230089	9.719925	6.195398	5.0005	5.52963	6.709647	12.061945
14.795846	2.415015	7.069191	6.091103	14.772101	11.718168	1.183927	1.27457	4.828395	0.786569	5.417125	13.565773	13.49042	2.591797
13.549688	7.241461	4.743082	4.154352	12.306475	4.818353	6.963319	10.329864	0.409045	1.582498	5.83375	9.307967	10.988603	7.771543
7.199942	2.484673	4.061209	6.139799	10.910056	4.377852	2.811716	11.704698	4.128702	7.160435	6.250375	12.085577	10.355851	10.329114
6.430566	8.490046	8.027135	8.100472	7.259826	6.797011	6.788567	8.247522	7.37282	9.030212	6.667	6.628512	4.021935	6.138377
14.52463	3.695084	12.980875	3.41302	4.034454	1.162787	12.79169	10.694378	1.956813	8.699536	7.083625	8.601813	3.163362	7.197932
14.808758	5.530323	16.111173	5.790562	2.137095	3.434169	6.81588	15.47146	2.100879	10.817629	7.50025	3.585645	2.707385	3.188791
1.043884	6.599166	13.218943	12.055924	7.459101	3.436211	0.59871	11.007876	13.227679	3.753782	7.916875	4.178721	4.309464	11.193664
0.370091	10.061255	3.497613	8.568939	8.177771	8.094577	5.048786	5.176717	5.634239	10.032617	8.3335	12.308861	4.395686	10.299347
3.661203	3.822709	11.265225	8.525754	5.449198	8.792602	6.915447	2.372518	5.754552	6.123725	8.750125	11.6761	8.214458	8.676384
2.088612	7.310376	9.114931	7.257539	3.911881	9.101577	7.420826	5.466584	9.795143	7.858322	9.16675	9.444218	7.003841	5.059399
4.962464	0.592955	9.723645	4.199567	7.43531	1.801653	12.294737	10.531372	2.444479	11.070861	9.583375	10.402668	3.509815	11.447099
6.028649	0.45687	7.56598	2.543693	8.745331	10.164152	4.328657	6.800809	10.842908	4.577291	10.0	7.19748	10.527978	10.220203
