CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.561812	0.001	9.067515	5.763541	2.700997	7.24835	11.342797	7.630307	5.760212	3.792763	9.261378	5.802411	11.797257	12.269659
14.752729	0.001	11.295638	5.521529	1.957488	5.552207	7.154577	4.647092	11.923421	14.440251	0.200087	11.419656	0.287284	10.847042
1.206691	0.001	9.8329	4.773741	8.463511	3.962791	12.085489	2.990449	5.620722	5.608871	10.6058	8.894554	10.896424	15.057059
7.655591	0.001	8.913678	6.252811	14.082374	7.514149	12.247374	2.765654	5.652715	5.518549	13.870064	8.332453	2.878649	4.31494
5.269059	0.001	12.390125	2.220672	5.319311	4.048006	8.818668	10.121667	7.037506	8.830757	6.992529	4.629144	14.985843	9.335712
6.250414	0.001	0.087399	11.616893	12.613443	11.769831	8.954816	8.157967	8.766701	5.882399	3.169823	4.234342	8.245698	10.249275
1.157762	0.001	10.055357	10.068285	13.524018	9.44743	7.354847	14.598023	7.734716	0.811664	8.150479	9.972052	0.060623	7.063745
6.92277	0.001	11.903382	11.365667	3.01962	4.844186	10.331296	7.281976	4.111722	10.853656	2.744533	12.466171	13.389558	0.764463
6.437645	0.001	1.855162	8.882808	12.470511	12.325729	7.850095	2.500203	12.886335	4.003349	1.643206	11.136772	7.299307	10.707878
10.558973	0.001	0.671999	2.964249	7.499583	9.594192	15.220251	8.413724	8.058806	15.092676	11.00325	3.945162	2.399677	4.576457
12.238876	0.417625	6.751791	8.03027	0.257247	0.844758	12.866786	5.093922	11.977943	9.657529	5.971584	11.842927	12.814358	1.234383
11.114469	0.417625	8.7271	9.486599	1.394934	0.717326	12.525372	2.171071	5.425539	10.94804	12.862989	4.490436	11.131621	8.58688
9.171604	0.417625	14.201286	14.207738	13.467916	1.387353	0.804544	8.072903	7.51256	4.065606	10.108816	11.742881	3.085964	1.753202
9.142745	0.417625	9.661863	4.862375	10.053574	4.647208	5.624909	11.88368	8.825872	2.853195	11.240177	5.552092	13.559247	1.675437
11.422644	0.417625	5.622531	1.497487	10.997471	7.544226	10.866737	1.703759	14.972596	4.824094	4.634778	4.957477	6.914435	13.62414
