CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
10.64667	10.426845	9.13141	10.201928	0.001	5.125344	15.194955	2.481586	7.361449	8.419123	12.191263	1.539874	1.303258	5.975296
6.784406	2.68387	7.853961	11.884458	0.001	4.405917	10.67038	7.537135	7.210727	8.222113	4.233119	10.710656	7.792552	10.009706
11.969773	2.433916	16.354745	13.734827	0.001	11.310864	5.253649	15.265608	4.744588	1.092711	5.686651	8.415729	1.754888	1.981052
13.17948	13.468696	8.686121	0.516738	0.001	8.956795	1.246061	5.129992	3.601492	5.871357	11.280265	6.965456	7.612746	13.483801
12.018648	10.329031	4.935408	5.620893	0.001	5.358677	13.694452	1.992489	2.122482	14.045148	6.293886	7.604496	10.434342	5.549047
11.748889	4.081403	8.421264	11.063242	0.001	7.938689	1.440912	11.86215	4.818897	9.024847	10.218479	14.357059	1.559448	3.463719
7.671199	10.952426	10.796406	7.520324	0.001	0.404595	2.925499	10.002089	13.493485	12.626507	8.088808	7.013375	0.275652	8.228636
5.701579	1.946134	3.352542	8.837259	0.001	1.282399	16.091378	8.29312	10.824388	8.860975	4.840156	2.746306	12.947963	14.2748
4.119129	6.019013	10.898518	9.579527	0.001	2.754227	7.366113	0.799785	5.209116	12.789944	4.635003	14.03616	5.18839	16.604075
9.646567	5.06259	1.501128	13.516466	0.001	13.294857	14.322085	6.190989	9.250617	13.645698	4.806124	0.629012	5.959757	2.17311
2.92716	11.910884	1.135479	8.937181	0.417625	1.247552	11.83778	9.462353	10.256556	2.735567	7.265331	13.317617	16.409325	2.139588
4.441701	1.085205	6.2336	15.724826	0.417625	5.709927	15.033359	8.707556	12.176651	11.926044	1.412961	5.084233	6.466258	5.580054
9.556068	1.389493	7.74172	5.47488	0.417625	12.97438	7.730071	1.165904	13.635162	11.315071	4.291798	4.092827	6.979624	13.235378
1.707475	8.822242	10.331336	7.562949	0.417625	12.170918	6.980597	6.000011	13.219394	3.766023	10.139554	6.101374	8.845759	3.934743
3.245712	17.576612	6.618227	0.552503	0.417625	6.023666	5.590398	7.676243	1.214579	18.535261	6.903311	2.360831	14.471493	8.813539
12.068392	13.110985	2.311293	14.25556	0.417625	3.737065	11.153898	1.723001	6.175352	5.203313	9.026196	10.437717	5.937623	4.441981
0.185542	12.605288	11.959628	2.856338	0.417625	2.182668	10.165339	3.604494	4.407384	10.976327	11.960918	7.333313	9.464381	11.880753
3.84709	6.853939	10.168041	10.880861	0.417625	11.586985	7.792014	8.341034	3.831493	4.940079	6.670235	10.085645	7.195021	7.389937
6.703959	3.618554	10.870272	10.033064	0.417625	9.062856	5.460867	3.074902	11.67596	8.377855	9.316853	8.017727	9.314645	4.054861
3.828723	10.960874	6.35317	6.260418	0.417625	4.891844	4.362656	5.105811	7.679005	10.237587	9.114739	6.929141	12.083048	11.775358
6.974319	15.693353	9.170711	14.235253	0.83425	12.495403	1.612326	10.719735	4.567153	12.525712	0.151901	1.309207	5.070028	4.640649
19.385145	2.0243	6.081033	5.719851	0.83425	12.25958	11.400633	7.910968	0.855892	11.776385	4.315222	0.866113	2.499487	14.07114
4.331448	13.412529	20.004188	8.586414	0.83425	1.868942	3.139195	18.778349	11.817926	0.440881	8.69721	4.669266	1.815959	1.603443
8.104036	8.643276	3.53866	3.268305	0.83425	14.151019	4.667422	8.231239	2.93847	13.176729	5.343757	15.255043	7.88944	3.958352
4.380579	2.042038	10.575543	11.898675	0.83425	8.370159	4.94018	12.114699	6.041818	13.383833	14.27484	8.480345	1.216958	1.446084
8.872773	5.826548	13.340755	13.932866	0.83425	6.221583	7.024948	2.960309	6.26943	11.480724	7.021162	6.560891	4.892194	4.761567
13.081033	6.064784	14.125398	10.282404	0.83425	8.4229	0.963008	8.2271	6.468184	1.381973	10.890963	14.614105	4.374236	0.26966
