CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
5.36159	8.053424	4.632427	0.001	1.699998	9.948773	6.368666	9.348075	7.883378	12.981544	13.531951	2.218021	3.847798	14.123356
6.529879	12.763743	7.122264	0.001	7.333119	12.895374	14.437824	7.675247	1.024714	4.914288	0.47296	5.482704	7.324948	12.021937
7.530825	9.608453	2.936664	0.001	5.67827	10.506456	5.762554	10.581111	1.573048	10.87771	9.715417	10.920656	7.381608	6.926229
14.851746	8.98204	3.858628	0.001	5.871836	12.273879	10.635418	5.702581	0.026026	17.184409	16.175003	0.931083	2.47071	1.035641
7.257968	13.667035	12.657427	0.001	0.490559	3.446482	8.702517	8.084648	4.392291	12.285909	1.753371	13.862984	12.201715	1.196093
14.024229	9.544204	12.779618	0.001	7.723412	2.889154	3.658313	1.37772	11.271233	9.699604	6.761718	7.834788	0.483361	11.951645
9.351589	7.097599	11.709773	0.001	9.060057	2.145391	3.040522	14.086021	7.104845	0.97896	2.528486	14.014112	9.216617	9.665028
9.436029	9.622182	7.937713	0.001	9.754023	8.675615	9.532406	8.741361	7.554987	11.584147	4.474466	1.85518	0.912535	9.918357
2.522351	10.174527	11.137182	0.001	1.466516	3.011686	7.081706	6.404629	13.340608	3.844758	10.135735	4.23503	15.42673	11.217541
12.722454	10.652579	1.147131	0.001	6.968535	2.524582	4.394402	8.189313	12.048037	7.36581	13.322903	15.295316	4.094241	1.273698
1.432912	21.601602	10.914588	0.417625	12.896468	6.414453	12.44042	1.113413	0.184747	3.554517	9.933019	8.024647	9.704467	1.367121
4.520207	10.645177	12.778187	0.417625	14.316557	12.680386	3.142042	1.082875	0.71342	6.289436	11.537586	8.393228	9.141607	4.341667
4.012403	0.880077	12.561383	0.417625	8.439574	8.192626	8.775525	1.485507	9.312904	13.198289	8.735443	6.37749	6.087251	11.523903
7.836147	12.062178	15.380197	0.417625	8.8162	12.889837	1.005083	3.982928	3.583462	1.254975	15.155829	5.338625	1.695121	10.581792
2.765473	6.013222	11.17829	0.417625	9.927894	11.443306	5.112241	11.512474	4.510462	11.505447	1.482576	3.964941	8.749492	11.416559
11.832961	9.437713	10.20552	0.417625	3.32138	13.948101	14.262534	1.150504	4.587953	8.271941	4.166783	3.416354	9.133792	5.84684
14.639627	3.622064	5.836221	0.417625	5.653453	12.162992	15.077865	3.419176	5.745704	9.558759	5.403809	6.433513	9.928255	2.100937
9.913039	3.844529	7.402558	0.417625	2.578817	7.503848	13.954955	7.192526	10.201236	0.320793	10.010099	13.529342	3.106815	10.023818
5.276275	12.262125	8.084196	0.417625	10.90653	6.307617	8.119506	15.19062	0.55613	3.78607	9.172319	4.698795	7.309808	7.912384
1.802922	7.921956	6.309702	0.417625	9.231192	11.37293	1.373409	8.562284	13.672069	12.851583	13.226066	3.990391	7.363078	1.904793
13.390863	4.733656	6.691702	0.83425	11.71994	3.315042	12.580917	13.219737	9.755066	3.807452	11.420049	4.495493	1.812973	2.22286
7.333975	12.221579	8.462519	0.83425	8.658345	1.289847	10.036195	2.674495	4.272298	5.281765	7.158626	10.868078	2.557132	18.350897
8.147479	7.263003	7.042467	0.83425	1.491466	1.17901	8.169253	12.783182	1.938689	8.779896	8.602495	11.683202	7.854576	14.231031
5.996527	12.92677	11.106096	0.83425	10.177161	10.151268	5.421452	14.081827	5.166134	1.347225	2.917239	2.484403	14.411499	2.97815
1.429525	5.321247	13.173057	0.83425	4.692952	12.956297	1.426116	7.048125	11.415911	13.194447	7.478017	3.80397	11.536176	5.68991
6.741914	6.066537	4.970633	0.83425	6.812877	3.714572	0.327798	2.244811	10.535243	1.838444	14.893454	15.11287	12.696583	13.210013
0.260614	3.299683	5.020883	0.83425	4.790829	1.500486	17.205051	5.594345	2.907275	9.241286	17.873113	3.011089	16.367157	12.093939
8.540036	6.941198	4.860048	0.83425	10.100645	1.909844	11.673517	8.975906	4.623541	9.977562	10.776202	12.802441	4.393453	3.591357
13.809638	7.835238	4.74344	0.83425	4.988142	4.656149	13.372017	0.666518	15.044667	17.54628	0.498411	0.001054	15.477955	0.526241
2.282061	7.730556	3.198547	0.83425	3.06156	11.944714	12.571797	9.209439	13.882002	4.435909	5.010546	7.796423	4.202978	13.839219
9.591108	2.559341	8.951492	1.250875	8.670238	9.654537	1.036874	9.848149	13.402957	6.884627	11.648923	7.294552	8.722329	0.483997
0.412056	4.343722	3.571614	1.250875	16.768569	8.534051	3.746266	15.401345	5.414422	0.304298	17.217113	4.587597	4.923191	13.524881
2.279713	3.570327	7.567092	1.250875	12.79404	8.296258	7.309552	10.836946	6.011865	14.144459	1.565042	3.630795	7.454079	13.288957
6.181649	9.610244	8.53095	1.250875	4.29585	2.953445	7.199249	11.792342	3.831279	8.203482	11.544761	13.617257	6.980015	4.008603
