CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
12.565603	8.833222	0.001	11.712087	6.82834	8.332081	5.937334	1.552069	6.821362	7.917644	12.546769	3.731075	11.607124	1.61429
13.394143	4.323456	0.001	13.695236	9.649745	1.946476	9.58478	2.208588	13.656705	7.455049	0.952913	15.663692	4.941087	2.52713
2.135573	6.837758	0.001	7.405522	12.915714	10.36301	18.164516	9.734585	3.450597	5.012328	3.337321	4.815313	9.452056	6.374706
13.262087	11.762258	0.001	3.223572	0.547018	6.527131	7.374338	12.374281	6.847201	6.98434	12.860099	9.09496	5.896505	3.24521
12.928568	9.878355	0.001	3.643388	3.101485	1.018196	12.589314	11.610772	12.976633	4.882003	4.758084	2.030884	8.232215	12.349104
6.713913	6.28419	0.001	6.791859	4.587808	18.084902	9.800267	9.581357	18.656944	0.694241	7.722602	4.646292	3.675525	2.759101
6.19721	5.220219	0.001	8.210984	3.418471	11.032644	19.901461	4.447349	0.260714	4.468499	3.165558	3.848124	12.08566	17.742107
6.124293	2.312436	0.001	10.975544	13.637991	0.438525	12.218633	7.584055	12.385948	8.606727	11.51087	11.303883	1.723927	1.176168
7.731193	3.649937	0.001	1.834444	3.375208	2.514019	11.697851	10.256446	5.15922	11.533881	13.591483	11.349179	8.420167	8.88597
8.791251	8.241628	0.001	3.247152	3.294323	15.579769	11.89362	7.263451	3.754768	9.747788	3.61388	11.256208	12.592414	0.722746
10.478479	6.619075	0.417625	11.412065	9.484251	4.86559	11.9208	7.698815	12.791531	6.623384	9.041213	1.025094	3.234939	4.387139
11.204622	4.381465	0.417625	9.522657	10.020005	11.777599	11.325613	8.07979	8.557663	7.66854	2.49923	1.617076	0.997383	11.930732
10.415596	5.45802	0.417625	0.834845	11.422292	14.328191	6.181502	8.652793	12.319751	3.835441	6.49844	4.799798	1.497155	13.338551
8.976998	6.103902	0.417625	8.043234	10.58281	10.372585	6.010535	7.642279	2.125841	7.571008	2.868402	7.728643	11.582091	9.974048
0.654993	2.456539	0.417625	14.226655	5.400228	2.30401	11.566528	13.166467	11.121745	3.568687	6.21915	14.033679	11.999725	2.86397
8.083648	9.385842	0.417625	5.520332	2.663747	13.140753	12.32812	5.679821	0.661368	11.897194	10.602833	4.739927	10.420127	4.458662
2.365819	3.006076	0.417625	13.423065	13.394046	1.062158	9.798268	6.932586	10.150397	9.187595	11.012259	5.507756	0.213157	13.529194
9.41825	6.144716	0.417625	11.694248	10.742102	7.134921	2.867232	10.480803	12.911459	1.506652	12.403037	2.813872	9.591573	1.87351
2.452982	11.829632	0.417625	3.749109	1.354659	8.105101	13.276417	3.08617	12.026155	14.583504	11.012118	4.445225	6.999249	6.662052
11.786314	10.770682	0.417625	7.890841	5.499384	7.965686	8.319583	12.191283	7.045612	2.427292	6.084857	15.207119	0.45266	3.941061
7.766584	2.565572	0.83425	6.197983	3.511051	16.330735	2.749549	16.661483	1.135249	5.759026	4.356751	8.366697	9.589327	14.175743
9.781764	7.400989	0.83425	5.65487	11.017643	10.319712	6.120789	4.271661	2.233531	10.667254	11.22064	2.851811	8.948319	8.676769
14.504091	13.574429	0.83425	1.965636	9.187709	15.395708	0.917147	3.258692	0.268757	12.801607	1.712628	13.424363	6.910701	5.244282
2.882015	3.55003	0.83425	9.465719	1.119294	15.252242	3.316652	5.156647	9.844293	13.748801	9.031222	4.524741	8.443627	12.830466
15.025128	10.051096	0.83425	9.670904	6.566333	4.941014	0.609419	1.291232	3.401629	9.818815	14.259264	13.034373	6.061554	4.434989
1.103848	15.275216	0.83425	7.616849	6.14721	4.478665	12.241808	3.069539	6.145317	3.211016	7.438844	14.592231	3.38317	14.462037
2.931051	13.344339	0.83425	0.431312	4.475293	10.896697	12.506399	10.385741	6.726846	7.283135	10.382871	1.208834	7.987109	10.606122
7.237816	2.586142	0.83425	10.634702	6.960036	1.334607	13.003929	5.935875	10.544398	9.768971	1.507544	8.538765	6.318223	14.794744
4.959142	2.563155	0.83425	4.704029	2.734205	14.749341	16.189061	16.230997	0.960304	3.489318	6.05582	11.762836	8.999973	5.767568
5.367852	10.129779	0.83425	0.48944	4.338553	15.707213	0.189568	12.998502	0.07833	5.440101	15.196123	14.619212	10.093272	4.517805
