CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
14.848614	10.080967	0.885094	3.695647	6.25627	5.120809	2.295651	0.001	6.092707	9.132403	17.641284	18.937527	4.225408	0.78662
5.779912	11.09928	2.475657	3.632442	5.902226	10.313554	6.717487	0.042625	12.372195	11.182686	9.094807	1.783714	11.963274	7.640139
9.308144	11.755124	12.465289	1.971891	4.702103	12.716986	2.73574	0.08425	0.116789	8.561097	6.236204	10.718373	10.199099	8.42891
2.420325	8.624404	5.732886	10.084022	4.261453	7.903782	13.095231	0.125875	10.379588	5.910104	14.901715	5.33	5.755073	5.475542
0.218052	4.041982	1.962975	12.207461	1.518781	2.958338	10.061674	0.1675	10.35018	17.520314	12.83468	8.593788	10.977618	6.586657
11.236035	7.489418	2.232111	10.005315	11.312075	1.790881	8.000977	0.209125	11.491163	11.713053	1.770567	8.70585	1.998753	12.04468
8.529309	0.610112	3.304432	6.93939	2.244754	8.257747	1.895936	0.25075	7.343527	11.823013	10.767367	12.32954	12.654856	13.049266
10.229674	8.919898	10.772611	10.480569	7.405292	3.224588	2.176731	0.292375	10.032007	1.340059	8.986841	9.823355	5.372121	10.943879
8.502217	11.818579	5.834415	12.246793	7.781013	7.754117	9.637688	0.334	13.725786	4.967761	5.318087	3.357647	6.401878	2.320019
17.005299	11.731462	15.538861	8.154808	3.687676	15.863488	2.228301	0.375625	5.158823	1.07871	8.65505	0.064806	6.20993	4.247161
6.434713	11.052056	8.880681	2.968968	4.09201	0.51117	15.504821	0.41725	3.228777	14.517645	13.297711	0.56011	8.914173	9.619913
6.370678	10.258479	6.963191	1.221161	4.601265	14.014715	6.681287	0.458875	13.804384	5.89296	7.084294	8.244622	7.595655	6.808433
5.4457	11.677083	11.846419	4.719907	3.932147	8.056167	4.426399	0.5005	3.669764	6.40219	9.698038	10.808538	6.179046	12.638102
10.672842	3.65479	3.510655	13.53097	1.726449	12.584253	8.745035	0.542125	7.633102	1.064242	6.924446	6.09817	13.529056	9.783864
9.430927	8.385453	8.176307	3.971308	8.118206	11.031072	3.284838	0.58375	9.772212	8.940148	1.690989	6.622737	9.655774	10.336279
8.329449	9.014181	3.899348	7.357442	8.75391	2.663717	7.583444	0.625375	2.745334	13.058546	13.013127	5.59289	5.790389	11.572848
9.46082	1.666531	15.538767	13.779392	9.483156	1.554906	0.754891	0.667	9.448133	10.199809	8.041127	2.52842	6.747884	10.129163
9.263727	7.4279	1.210273	0.921585	10.231931	7.244402	7.014467	0.708625	1.430387	17.373762	0.862106	15.763496	0.225351	20.321986
9.103093	9.32272	4.182435	8.886322	12.468496	10.440194	2.155946	0.75025	11.910823	2.161363	9.366942	0.434923	11.054605	7.761886
6.641515	5.997052	11.473877	7.3711	12.150581	3.956019	11.845357	0.791875	6.868631	2.47199	5.437188	7.665482	13.639647	3.689687
13.60947	9.592385	4.660001	7.741114	11.141887	8.186343	11.623649	0.8335	2.430644	3.19261	12.04551	6.757921	7.931102	0.253864
2.153752	4.978359	5.929906	7.676692	6.116862	9.897567	9.934208	0.875125	0.62383	12.054917	8.739857	11.201164	13.177689	6.640073
4.703157	7.982874	1.859874	5.146815	6.972288	3.868048	8.595939	0.91675	11.161671	9.648349	10.947206	6.454381	9.267852	12.474794
10.346228	1.678582	5.595987	10.119404	9.030434	13.381888	5.488668	0.958375	4.879092	10.597685	7.237414	6.781783	0.45844	13.44602
8.069312	7.356058	11.576817	4.348159	10.468275	6.180583	11.362914	1.0	8.385204	11.04392	7.87527	9.842611	0.220888	2.269989
