CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
4.609789	7.56873	7.593139	12.204658	10.806179	0.920315	11.692971	2.255698	0.001	12.935003	2.455707	5.575074	12.282784	9.098953
14.555024	4.241842	10.988384	6.842513	14.120566	1.256533	10.109145	0.247519	0.042625	10.111396	5.677581	8.427899	11.718386	1.660587
2.059576	2.578298	2.935282	4.989749	15.190704	1.625714	11.530302	12.139737	0.08425	13.616927	7.374073	9.869353	13.907372	2.098664
12.623306	2.628109	5.656202	6.40072	5.33004	14.5963	6.051771	10.144528	0.125875	4.27254	10.254773	13.962694	5.442459	2.510685
4.90324	4.036588	10.86079	9.114001	13.632422	4.522986	3.465547	1.23246	0.1675	14.802254	10.106696	2.839888	9.180153	11.135475
13.095504	3.003351	8.611609	13.405332	9.059434	7.821948	0.667077	12.810979	0.209125	5.878537	10.970091	7.999853	1.767656	4.699503
6.079576	1.347472	9.127746	12.56458	4.486076	4.047675	2.879997	12.038554	0.25075	7.275263	3.608332	11.869884	11.245985	13.178111
5.929971	4.773833	5.141737	4.778609	5.711198	3.90445	7.138281	4.470555	0.292375	4.641416	13.142571	14.516096	13.102158	12.456751
7.680998	12.783513	4.27617	20.728443	2.766177	0.311527	16.007571	19.642262	0.334	0.589444	3.433105	6.07249	2.902924	2.471377
7.884968	13.373658	12.237582	9.698053	4.113239	4.963599	1.327772	11.573423	0.375625	13.013357	6.572763	2.969032	2.603772	9.293157
14.868398	1.437666	1.909153	0.763612	14.124822	3.858888	10.641845	4.151846	0.41725	13.424469	15.358862	0.094124	7.608218	11.340846
10.634697	10.269117	1.191419	14.220724	6.180126	2.556795	6.48878	4.330369	0.458875	15.199802	0.160083	10.704333	8.869613	8.735268
1.213913	15.352828	3.583565	12.255076	13.679946	10.981291	0.289566	6.289532	0.5005	8.921816	1.312442	5.921995	14.306504	5.391027
4.373876	3.093158	14.352433	11.812778	12.31314	2.788466	1.985466	3.980324	0.542125	8.962181	7.58496	12.972031	7.611793	7.62727
3.7069	10.135767	15.002671	14.439858	5.707607	9.588373	2.381144	13.627694	0.58375	3.441281	6.322016	5.896674	4.461204	4.70506
6.086024	7.076404	0.906304	7.835147	6.353779	4.100047	8.398627	12.630347	0.625375	5.034782	9.774388	12.791128	11.127867	7.259781
8.920167	12.20916	5.705989	7.691319	8.241794	9.144013	4.85949	11.007509	0.667	1.429815	13.046213	6.670574	4.626723	5.780236
10.61969	7.414408	4.51646	8.200315	4.904676	2.005439	10.3635	3.333559	0.708625	14.604671	2.888012	10.083113	16.851411	3.506121
8.816481	7.315952	4.536724	0.238794	5.538184	6.454157	15.940197	6.732946	0.75025	10.598457	6.496913	13.471855	11.586633	1.522458
4.780728	11.336531	8.51886	11.825528	10.822463	9.427173	4.323863	6.915659	0.791875	0.745303	3.37898	9.004049	10.477747	7.651241
4.360661	10.991866	5.537556	0.075889	11.638901	7.585984	0.713396	11.216887	0.8335	9.193773	10.769879	9.3943	6.998481	10.688926
1.029879	1.12574	10.249523	10.484707	10.225635	3.505507	10.810269	6.978578	0.875125	12.170194	8.823776	5.952018	6.662423	11.106626
11.534907	2.758473	2.017683	6.767586	10.982725	9.486143	0.343394	1.76752	0.91675	14.748924	7.046658	3.684708	15.175616	12.768913
6.905181	4.03655	11.124276	6.647512	10.60184	10.28416	4.833443	0.45739	0.958375	9.311401	9.799627	3.875053	10.341456	10.823735
2.779776	8.652719	15.017605	5.483376	7.037883	5.470816	0.265255	2.575267	1.0	2.947806	6.485735	15.213282	16.955831	10.114649
