CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.823637	7.454229	7.705053	1.832558	8.594062	2.818981	2.975987	13.753246	8.030899	13.003815	5.872024	0.001	8.193908	10.940601
8.792148	7.139129	7.087618	13.553856	3.153848	9.981631	8.002647	13.53619	3.060299	8.417443	10.845457	0.042625	0.179329	6.207781
2.649474	5.02697	6.900504	6.746348	5.451603	5.491062	13.766432	2.275202	13.619405	7.834705	1.280074	0.08425	19.975266	8.898705
5.395159	13.057907	9.131168	9.773151	2.295329	7.998115	3.662793	13.786527	9.404563	9.389462	1.230628	0.125875	12.564218	2.185106
4.572669	1.933281	10.07185	10.866112	4.322115	4.208351	15.750055	11.957722	15.114061	3.806803	11.708264	0.1675	0.129583	5.391633
3.10516	4.752289	6.115082	13.070905	12.392187	5.51949	2.558109	9.323214	7.575945	13.418856	7.065813	0.209125	14.670378	0.223446
11.012734	12.83578	8.697975	11.575221	3.212797	5.465632	4.159802	0.511396	4.790171	11.044048	6.551391	0.25075	7.046982	12.84532
5.621104	2.539698	10.938906	12.761729	6.222454	2.741873	9.034998	7.114683	10.596239	13.074985	2.343073	0.292375	6.886343	9.831541
14.112112	11.846443	2.623657	8.227986	12.663218	13.969641	5.309735	14.288964	7.595311	0.422524	4.525788	0.334	0.223394	3.857228
14.535884	4.729625	8.744016	9.626104	7.302111	8.434023	5.840412	3.552835	2.63222	6.367826	8.167996	0.375625	14.30325	5.388072
14.706588	0.46749	14.111324	4.978382	7.864926	0.674868	9.265063	5.453956	6.852143	2.2054	8.309884	0.41725	16.129349	8.563379
11.004505	6.518717	0.376009	12.263769	3.179282	9.721728	3.514039	12.127871	0.412425	6.97572	8.682197	0.458875	9.869886	14.894978
1.747685	0.59847	12.106726	13.679117	5.562939	12.553005	6.96107	14.062885	5.360242	14.284639	0.744773	0.5005	0.922002	10.915947
8.66852	2.178788	7.281301	7.77878	3.870876	6.746357	16.459462	9.087893	6.939858	5.527418	0.755048	0.542125	8.533634	15.62994
6.478794	5.04333	12.571703	15.161465	3.2612	1.320424	12.753644	9.284807	4.833852	5.418399	7.146781	0.58375	15.558472	0.583378
3.19371	11.561199	3.00084	9.21816	11.821276	1.881519	13.737444	4.516876	8.159153	11.481865	15.485012	0.625375	5.08755	0.23002
5.301023	2.882889	3.245419	3.530049	10.310913	9.222221	11.562222	6.361008	7.560434	10.590268	6.093061	0.667	10.46712	12.206372
16.641281	6.061663	10.230269	7.831016	8.907493	10.114523	8.970578	6.948579	9.387589	4.035158	2.492016	0.708625	0.976791	6.694418
11.56275	13.047958	8.602153	10.840895	9.021317	9.027628	7.174049	1.623182	8.86535	7.285079	7.756422	0.75025	0.833767	3.609201
2.90339	11.850103	5.36944	11.36784	8.118421	12.051403	12.718445	14.242743	9.811142	0.551973	1.936035	0.791875	5.917405	2.369782
1.796766	8.428449	6.84988	9.491319	1.757518	8.175101	7.585276	9.864269	10.695957	8.22102	2.081193	0.8335	12.972581	11.247172
9.27918	7.064843	8.175259	9.888872	8.327176	10.903669	2.910652	6.217221	11.177429	7.705192	8.300064	0.875125	0.720223	8.455095
4.398373	5.118114	9.656089	0.355389	6.998736	11.248591	4.204242	7.568237	13.14649	7.78308	5.540635	0.91675	11.169673	11.8956
5.527488	2.145368	13.73181	13.943079	1.940038	8.33193	3.410884	13.493145	2.943729	13.325408	5.733905	0.958375	12.797866	1.716976
10.401267	6.536375	6.754278	10.853676	8.780804	0.782852	5.606566	12.249632	13.230256	3.378633	8.787152	1.0	4.189092	7.449417
