CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
3.594646	5.584984	14.43688	1.18807	12.284158	12.333165	12.60892	1.055954	0.389441	0.001	6.755052	0.240949	12.452937	17.073844
10.873157	6.22477	5.169802	8.402254	5.812496	3.962675	4.722872	12.208001	12.522869	0.042625	1.71153	9.50626	11.899608	6.941079
14.10508	5.847018	4.89788	5.511983	9.276855	3.407627	15.058496	1.878811	4.592623	0.08425	3.713489	15.541185	11.618758	4.465944
3.279025	4.265264	6.829366	15.035507	9.471445	14.69995	1.228794	5.124915	0.222899	0.125875	6.077575	12.943899	14.521494	6.173992
3.609053	2.699586	4.030951	13.25977	6.178106	7.965399	10.162652	5.799925	22.75707	0.1675	2.532053	5.092337	8.79161	6.953989
3.741637	5.062741	4.052043	15.724216	5.756544	4.180419	16.041141	0.905333	15.940735	0.209125	1.360433	5.309589	16.373056	5.342989
1.518465	1.221524	7.768133	3.568246	4.217523	5.952124	6.82311	10.490878	11.588989	0.25075	12.770898	9.288788	11.32982	13.210751
12.879841	3.644774	6.912668	8.994191	9.954894	9.888626	3.768929	6.361358	7.655217	0.292375	7.34822	6.008789	8.981918	7.308199
10.385718	5.636803	14.992402	13.539061	1.045424	8.863868	0.66313	13.152705	1.387615	0.334	0.606643	13.829415	4.701078	10.862137
3.162692	14.370409	0.145825	3.550353	3.82513	10.373347	15.2601	0.135347	6.739414	0.375625	17.019524	6.914073	15.78399	2.344172
8.82693	3.652786	6.992239	5.294474	7.184249	2.739973	13.538078	9.826468	7.766377	0.41725	0.807257	12.87972	15.019063	5.055136
11.23016	10.109961	1.654331	9.471457	13.245794	8.798008	12.481331	8.190602	1.397362	0.458875	4.78726	1.062865	9.979053	7.132941
11.130123	15.377139	6.664408	4.555271	0.136961	14.920839	3.500666	6.625003	2.857195	0.5005	4.220822	3.913673	17.772726	7.824672
16.461701	1.89224	9.349591	12.215464	3.400124	4.383481	1.420454	17.113523	12.310831	0.542125	7.661885	6.072294	0.602469	6.573818
15.28326	13.933056	9.068211	9.996142	5.271798	2.684658	3.776088	2.842338	0.73791	0.58375	1.973963	12.636365	4.853204	16.359258
10.817791	3.713542	6.767898	7.615768	9.188009	2.893362	5.701901	14.645553	12.468655	0.625375	3.900693	7.833827	1.978541	11.849086
4.370723	17.883938	3.574061	15.915446	16.713699	7.773101	1.994844	5.838137	4.229323	0.667	3.85808	0.537124	12.434848	4.209676
9.831268	9.341543	10.064952	5.193745	5.387259	8.734779	8.419693	3.072507	9.691561	0.708625	11.495966	3.093411	8.8262	6.138491
1.785639	1.343808	8.859223	5.782046	12.036533	0.646496	10.504511	7.134601	11.190341	0.75025	10.654102	5.921048	11.836564	11.554837
2.028441	6.817251	10.65782	10.742439	5.217029	10.91801	9.373968	11.404847	2.301473	0.791875	9.32831	8.802806	2.438187	9.177545
9.552691	1.436137	4.055691	9.701721	3.703909	8.070864	9.889172	4.431995	10.397069	0.8335	11.123011	7.906921	8.016467	10.880853
7.427066	11.632912	2.883508	0.595136	10.381678	9.195235	2.624512	15.235454	1.778738	0.875125	7.38547	10.210818	14.13977	5.634578
2.522066	8.692719	9.824814	1.947466	13.107873	4.405858	12.153177	7.903238	10.739407	0.91675	4.746883	3.421749	11.914831	7.703167
10.883013	14.204755	5.758341	9.848016	2.015173	6.66545	9.284043	6.109698	2.579087	0.958375	6.22236	12.440736	10.753712	2.277242
5.543959	8.95203	1.056226	9.954088	13.086227	0.732946	0.559616	17.292814	17.729246	1.0	0.142329	5.773306	3.893656	14.283555
