CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
10.505986	10.822867	12.968706	12.506581	9.364513	11.671894	12.75158	6.574728	1.142235	7.309425	3.755273	0.548513	0.0767	0.001
13.075122	6.540898	0.353425	2.362371	13.741249	3.979058	14.130281	6.863407	12.699144	11.562396	10.88791	1.031086	2.731029	0.042625
8.817379	6.140732	2.916816	8.654067	12.735707	10.009577	9.345172	0.928477	11.297585	8.375612	4.247499	7.540362	8.906765	0.08425
4.827818	4.412022	3.008094	1.336076	3.522515	22.821215	3.584238	12.209231	10.521012	12.737616	4.676053	9.985423	6.23281	0.125875
15.838346	2.927077	6.043623	1.270841	6.888325	1.310278	13.626278	5.121088	12.838277	2.172269	11.271453	4.152023	16.372622	0.1675
6.060638	1.490007	12.716374	10.403859	6.264231	12.902732	2.736475	5.083673	8.90852	5.408505	12.766248	8.426099	6.623513	0.209125
12.121031	0.083222	15.297548	8.004919	5.389765	1.276803	9.001726	12.95212	15.598347	2.208728	2.581721	4.394909	10.838411	0.25075
14.964687	1.394466	3.299455	12.553621	13.936115	3.792769	7.294568	11.205596	6.543312	3.455995	2.836515	10.794095	7.63643	0.292375
11.05057	13.465202	10.808756	9.388808	2.070472	8.013972	1.885144	2.66544	10.085926	5.37214	15.319798	1.333426	8.206348	0.334
11.772515	12.589243	12.446409	1.861401	7.428443	3.920628	9.212842	10.792181	9.40878	7.387745	2.831107	5.936845	4.036235	0.375625
4.631302	6.043151	5.090012	7.269478	8.445998	8.475486	5.359316	5.264118	11.486199	8.76313	12.85664	5.741276	10.156642	0.41725
7.100579	8.193716	0.809393	11.600262	11.446245	8.984173	11.196151	8.157442	8.017845	7.373824	9.247697	1.913973	5.499824	0.458875
11.107655	7.43024	3.493336	4.064867	12.584315	15.147163	4.782192	3.633532	12.192641	4.034805	5.741794	11.280405	4.006556	0.5005
4.596708	1.651284	6.598514	11.880275	6.054184	2.208199	8.540442	10.719094	11.192869	14.497728	1.419952	10.273199	9.825428	0.542125
10.036991	2.240437	5.022088	10.643635	10.441445	10.650866	11.32336	0.510806	9.307511	7.554651	10.132947	7.165717	4.385795	0.58375
7.677504	5.952454	7.9998	14.91336	2.629731	1.470555	8.966751	15.51297	13.904322	2.987428	7.622527	7.258243	2.478979	0.625375
11.59485	7.686703	7.091182	6.090151	7.620657	1.804225	8.130947	13.576769	6.863416	0.758907	13.551	5.66828	8.895913	0.667
4.366778	10.981179	10.956438	10.684979	9.361182	0.532291	9.685957	4.290367	4.308882	8.62394	8.283525	8.641725	8.574133	0.708625
13.040829	3.898733	9.638544	11.069142	9.944114	12.409414	7.051056	11.439097	11.034965	2.081819	2.66636	0.814706	4.160972	0.75025
7.542078	8.968145	5.101097	11.818168	11.62197	11.224195	1.604969	4.915227	8.495748	7.790622	8.729475	4.605058	6.791374	0.791875
14.422451	11.193499	1.59257	1.798889	0.912848	11.33522	8.476099	1.000755	12.341162	2.44834	9.066594	15.875201	8.702872	0.8335
14.1737	15.62715	10.066143	0.637435	15.469123	5.250806	10.191781	1.536573	1.466785	5.774206	2.062838	14.413878	2.454457	0.875125
17.465947	7.024653	0.958368	13.283144	1.925282	14.573441	8.320806	4.947506	5.258227	1.040281	3.368416	3.092658	17.824521	0.91675
3.284922	1.196903	14.276225	14.126571	2.118958	2.145939	2.068321	7.172998	16.065108	4.703217	9.486765	7.182393	15.213305	0.958375
5.652038	9.546655	4.705425	3.006851	7.008352	4.501074	5.666945	17.496226	17.362737	3.16334	5.958468	8.952866	5.979024	1.0
