CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
1.206051	3.086753	3.965836	13.362753	10.845149	0.001	6.093922	8.004315	12.909933	8.193275	3.792619	6.918014	10.200174	11.420208
6.169057	13.632882	7.252891	14.980538	9.624806	0.042625	13.642737	8.927109	1.842641	3.452231	2.234836	3.110674	4.844165	10.242809
5.386455	11.069825	5.825534	10.79636	2.410883	0.08425	14.329745	6.577691	13.72203	9.56774	1.368536	0.899252	3.028856	14.932843
3.261331	4.720636	13.61803	10.299259	2.908205	0.125875	5.39359	12.514515	7.059107	3.275873	17.729453	4.418925	3.326374	11.348826
8.622896	14.226546	16.225881	9.575792	2.165596	0.1675	13.926468	0.018355	0.59297	4.847857	0.874077	14.452518	13.466427	0.837117
2.189187	9.177354	8.491668	3.407373	8.391121	0.209125	7.469394	7.873135	7.186304	14.068375	13.656989	9.203856	3.650351	5.025768
14.174352	2.310586	10.49384	15.063703	7.255951	0.25075	13.479019	1.522056	3.521854	13.370871	4.22385	8.999324	4.983627	0.350217
0.854709	12.407117	14.075277	3.8173	3.904721	0.292375	14.089299	12.217871	14.346945	7.207797	1.486944	4.658404	5.496636	5.144604
1.348628	2.081862	12.434107	12.15018	6.295235	0.334	14.195566	11.169069	0.61455	2.628474	2.057298	13.103084	9.247796	12.34015
4.342405	2.913463	7.724175	2.229246	2.692199	0.375625	7.966517	8.400042	13.887317	14.836658	15.426517	4.872672	2.613111	11.720053
6.556505	8.150506	3.445677	5.153641	11.104526	0.41725	8.630194	4.979975	11.67224	6.741745	12.243623	12.377768	5.702434	2.823917
13.118941	8.122144	6.360857	12.7942	13.888104	0.458875	7.415919	4.135989	1.972887	8.136331	0.682271	11.323186	7.032995	4.557303
7.572353	3.949523	8.558231	9.189503	9.016532	0.5005	9.911075	3.872373	5.14562	9.124566	3.541354	12.521168	8.220664	8.876538
3.796171	9.111871	10.56076	15.640644	1.369378	0.542125	9.117016	9.049239	3.297377	2.066736	1.353849	5.437711	13.849067	14.808056
13.265009	10.430733	3.451191	6.329523	14.032086	0.58375	0.795776	15.239045	8.791238	13.408594	0.9158	4.371001	6.842621	1.543635
13.597851	8.804889	12.773827	7.163516	10.066138	0.625375	2.869739	3.708975	12.640001	0.321839	1.81	12.362178	12.670133	0.58554
11.950735	1.782323	4.689578	13.249958	0.791235	0.667	9.84488	13.458461	3.268469	10.36669	5.045842	12.517661	10.564444	1.802724
9.196819	9.776148	10.319386	3.9878	10.65232	0.708625	5.527202	12.6261	10.669494	9.265351	5.069759	10.803569	0.392084	1.005344
6.208693	8.472147	3.073452	13.676028	8.399916	0.75025	8.155251	7.972402	7.421155	6.389791	10.952066	0.646545	6.174346	11.707958
1.210291	2.214125	9.811315	13.829916	6.224653	0.791875	11.449197	0.222538	8.458933	12.567747	14.263832	1.429972	12.533536	4.992071
7.979737	12.553522	9.79421	6.079066	0.167594	0.8335	2.853584	7.502415	3.729725	11.303586	8.304236	3.969848	11.661049	13.267929
13.048842	10.100445	10.322207	11.373655	5.532013	0.875125	3.276272	0.706897	2.036073	10.533092	3.895421	4.092409	11.743639	12.463911
0.320057	12.947499	3.658229	5.18085	11.407613	0.91675	9.349274	5.288377	10.138269	4.205387	11.003893	5.714921	13.022757	6.846124
8.553802	10.91018	4.236849	5.268001	1.655004	0.958375	4.550864	7.623194	12.600909	8.024358	7.619948	12.70159	8.710249	6.586678
12.327259	6.382562	3.383425	10.826549	11.710771	1.0	8.59193	6.126311	13.248481	11.413471	0.726985	7.561482	0.597847	6.102928
