CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.001	0.326327	10.191192	6.790594	11.752246	12.988843	7.827688	1.502478	1.060461	10.935977	7.323321	7.504602	11.242429	10.552842
0.001	5.402613	8.956658	8.16194	0.300054	14.380634	10.860297	9.399522	16.310649	0.516588	10.680005	1.806382	11.606989	1.616671
0.001	1.477815	4.572492	11.346076	9.579681	11.124319	6.664207	11.295019	5.463649	6.522972	11.156027	11.521497	7.678495	1.596751
0.001	10.068223	4.499688	0.532087	5.279284	10.915945	0.982252	17.435156	1.396147	1.576639	5.665839	6.111469	17.720973	17.815298
0.001	15.393601	10.168049	5.560196	10.796834	2.806668	2.044418	2.757182	5.984238	1.019001	16.983487	14.80632	1.648874	10.030132
0.002154	5.167541	8.479689	6.583352	10.62519	11.412274	11.487961	8.049997	7.00686	9.145018	3.038331	6.974437	7.969293	4.0579
0.002154	1.655592	1.373401	15.621036	10.24836	1.584429	13.8288	11.708357	8.245599	2.275597	1.67169	6.79289	12.355052	12.637044
0.002154	13.176347	4.177883	11.731613	1.549775	15.825127	12.059917	1.608186	4.510135	2.003118	7.256915	5.590655	4.659395	15.84878
0.002154	9.435822	4.710974	0.11648	1.711369	10.780509	11.475702	6.903462	10.118941	10.221598	1.221226	7.871537	12.689295	12.74093
0.002154	5.179462	12.505331	9.279126	8.392102	10.678417	0.608668	7.336129	11.397873	11.624083	2.513232	4.547027	7.281304	8.65509
0.004642	13.491356	11.859334	5.329136	4.03306	5.165877	13.040006	3.32623	14.418305	5.158278	3.075802	7.615079	1.953034	11.529862
0.004642	15.78025	5.819437	0.355808	1.82397	8.555261	8.746083	9.40917	14.186879	6.941408	12.774892	7.513893	0.512088	7.576219
0.004642	6.857688	13.112574	0.64436	9.65538	2.705407	7.870991	8.249715	5.900744	9.392128	4.360749	12.860943	6.337369	12.047311
0.004642	2.963622	12.272054	15.002538	12.279006	6.104156	11.409908	2.11744	13.128887	4.04114	10.454893	3.114929	5.851892	1.254892
0.004642	8.61909	14.099698	2.660898	3.710915	10.066766	6.369923	10.305962	3.797579	4.094062	3.437167	16.483362	12.561098	3.788838
0.01	6.440279	10.599563	4.228386	12.923818	7.730256	11.398502	2.40938	11.32142	10.044624	3.562833	13.114292	6.012497	0.204151
0.01	15.451229	14.722597	12.846883	2.04133	2.372461	11.294676	0.007265	0.906708	12.474755	10.374663	3.9397	12.798669	0.759063
0.01	14.483105	11.111714	12.039084	0.609775	2.57161	0.102386	8.505144	2.890853	18.636393	7.382093	14.789809	2.129192	4.738844
0.01	6.787046	9.573252	4.21155	13.61207	12.453069	3.503639	9.076547	0.132557	13.476977	10.149284	0.679466	4.305475	12.029066
0.01	9.280591	6.6511	9.719361	3.151878	16.923876	4.703571	10.802921	12.831816	3.094321	10.166065	1.524173	8.839463	2.300866
0.021544	0.099997	9.725592	5.379154	6.991677	10.883401	14.980868	11.260529	11.238054	3.378822	5.884507	0.826914	15.402848	3.926091
