CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
6.063359	0.440958	2.308338	11.190971	1.332834	5.483131	11.769163	0.0001	5.659446	13.401123	3.01162	10.124788	15.888695	13.325475
10.267734	0.813543	2.36047	14.322064	14.606083	4.059794	7.280322	0.000147	6.200799	11.898562	3.102255	13.794335	9.334628	1.959266
2.811603	9.39404	1.131934	4.06803	12.20415	7.526353	7.494702	0.000215	8.369458	13.040702	15.874727	4.076648	2.154391	11.853048
0.965112	7.254886	0.484473	14.654808	11.154017	10.934926	1.89317	0.000316	9.90139	10.387263	14.806284	12.604358	3.62225	1.336748
5.738407	4.05936	6.292396	12.141782	5.728615	11.16053	6.261511	0.000464	9.933618	1.548504	12.632857	11.941375	9.402581	3.158002
14.245946	5.960201	3.947801	6.526972	14.25944	3.030616	2.396164	0.000681	9.928931	4.087891	2.69325	11.306287	9.329262	12.286557
13.071486	9.045754	14.816787	4.100857	6.953699	5.818343	2.024367	0.001	6.430137	10.861007	0.114723	12.448598	10.392581	3.92066
2.215724	10.515024	8.806638	6.533806	13.033996	5.46462	2.820056	0.001468	3.597816	0.808823	11.681729	9.652939	12.420084	12.447279
4.633917	8.015923	0.355324	10.841253	2.888719	15.789095	6.592717	0.002154	6.121671	15.197357	11.670217	5.423433	9.086329	3.38189
7.759563	10.62235	0.473025	7.593371	13.636988	1.169687	2.344874	0.003162	11.458226	0.683883	7.889621	10.879586	13.699925	11.785738
16.345947	2.504527	6.089885	2.225049	12.312235	1.981653	2.402854	0.004642	15.624888	3.088092	13.260637	6.753358	12.818411	4.587824
6.043769	8.858956	14.702108	8.289008	7.931823	10.510955	0.648877	0.006813	16.546745	13.323284	1.228996	3.695924	7.228305	0.984437
3.568769	11.007813	11.676014	14.13155	5.001509	4.638457	2.415801	0.01	1.681792	15.504185	7.545699	3.115317	6.832416	12.870678
5.666301	1.821043	0.215774	12.776337	10.070589	11.487579	2.914954	0.014678	9.136137	15.44907	1.718272	14.183246	0.076928	14.469092
0.843687	19.056312	10.124709	6.435062	18.248164	4.677708	6.699236	0.021544	1.052749	2.458202	5.805371	4.490107	18.050444	2.036704
10.06722	14.216402	7.115723	7.930301	6.243152	9.80185	0.701119	0.031623	3.353123	1.037534	10.626374	15.262634	7.741445	5.871501
10.852486	12.75838	1.25074	15.909059	0.328395	13.907744	4.151907	0.046416	15.298485	4.06181	4.664623	2.002884	0.033918	14.733154
4.266384	11.008608	3.731499	1.275256	1.37591	13.036456	6.938153	0.068129	13.07982	8.252871	11.214498	8.744114	4.624381	12.383921
9.27337	10.264442	12.423036	8.007192	9.911321	4.977755	1.484211	0.1	1.375057	9.820264	7.625785	9.164766	11.09032	4.482481
0.681344	8.907136	9.78741	12.986065	0.969436	4.763381	12.934236	0.14678	4.300485	1.972665	8.956071	9.578634	13.035154	10.981201
9.410136	1.801134	10.712975	8.303608	5.362652	5.125858	6.269282	0.215443	8.496083	9.570885	14.709285	2.160575	10.377505	7.484581
13.158285	12.100803	5.839878	1.75864	15.564844	1.541242	1.153299	0.316228	7.327741	12.445245	2.448561	2.840853	13.882049	9.622333
8.061267	12.923656	4.862785	16.476125	5.255012	3.321472	4.208955	0.464159	3.185618	1.473147	8.182977	4.182036	13.712426	13.690367
13.47601	3.037701	1.992477	14.029806	10.229079	7.425038	12.224994	0.681292	5.079482	9.233895	13.061891	4.217798	1.460976	3.849562
3.692811	8.497236	9.230935	15.518555	7.270939	5.067521	6.999086	1.0	4.174429	17.697217	0.090132	5.211622	8.024688	7.524829
