CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
5.044058	1.304493	7.138965	15.802731	6.695751	7.443269	5.514938	8.329027	0.0001	5.236515	7.554239	5.997454	9.899564	14.038897
8.043664	7.663375	14.111393	9.76136	3.689179	7.618391	0.700245	14.809497	0.000147	12.312695	4.562913	9.295002	3.019479	4.412659
0.106295	10.350723	5.624279	8.997947	9.05677	7.093566	9.590044	8.943478	0.000215	7.822845	11.65141	3.741449	8.645797	8.375181
5.679341	13.495881	11.973507	4.620258	5.412265	12.902626	3.655062	6.568452	0.000316	8.70536	2.712862	9.881316	4.188947	10.203806
9.628167	5.200212	4.938671	7.328023	3.461001	9.343297	4.523238	8.723692	0.000464	9.022674	10.003198	10.737166	8.039996	9.050201
2.523069	6.63204	8.428324	12.43716	7.848586	9.641917	6.199972	4.226923	0.000681	10.129718	7.526317	12.213979	0.89369	11.297623
11.61698	19.759787	1.134372	7.519504	6.442952	7.676631	1.126402	8.270802	0.001	10.260213	5.732041	1.724286	11.128149	7.606882
11.748728	17.755215	4.658569	12.343542	13.135893	1.429179	4.804006	10.707138	0.001468	0.742349	10.018644	9.830235	1.897405	0.927629
6.325301	2.445139	4.595452	9.351535	15.985222	11.228454	13.607347	5.739945	0.002154	2.497481	0.459878	5.175161	14.685767	7.901163
7.50613	3.575895	6.40713	12.432273	2.004119	5.506289	6.328626	14.534649	0.003162	4.306408	0.251901	10.65121	17.783033	8.709175
2.881753	16.92593	12.315234	6.444583	8.286736	0.082871	2.86057	10.393931	0.004642	13.511269	0.970714	0.021367	17.119392	8.181006
3.207791	3.727919	3.084845	13.542826	13.138365	15.411496	2.77616	12.231555	0.006813	5.993242	12.042889	4.390977	9.539119	0.906003
14.752914	12.354592	1.242259	7.431344	1.677364	10.126963	2.886214	1.707481	0.01	18.715526	10.349206	1.496518	13.318266	3.931354
7.897414	8.303001	6.890573	1.49379	13.668839	0.290199	7.333983	11.711731	0.014678	0.75368	11.578185	13.172719	5.534836	11.356371
12.834799	7.861815	11.614059	0.971745	7.951852	5.878361	10.325567	10.865015	0.021544	1.399192	10.521015	7.650167	4.973177	7.131692
10.245798	10.896356	11.375564	1.526378	8.995958	10.787582	5.813239	7.24292	0.031623	4.138294	6.99082	11.977871	7.231664	2.745934
1.979764	12.136999	4.046858	3.444635	9.824516	0.387615	11.515381	12.654955	0.046416	6.395703	12.802293	11.256359	2.900934	10.607573
15.384348	10.306816	9.605209	2.699328	0.546994	0.612043	0.219648	6.418186	0.068129	13.54155	10.335966	3.838258	10.789403	15.634122
12.282632	1.761224	8.02468	14.855876	10.028077	14.828442	0.969659	6.847294	0.1	13.832009	1.777177	5.365383	8.964529	0.363017
11.511096	3.197682	19.547959	5.029272	4.435191	0.914116	2.485464	9.478494	0.14678	1.425855	0.039197	17.912488	17.536126	6.34028
4.900369	2.525688	4.859488	1.876054	5.32368	11.102149	5.072524	8.226736	0.215443	8.680865	14.43523	6.849261	12.959358	12.973155
6.92782	6.927399	11.735892	2.945772	9.653264	5.714173	4.770464	13.783827	0.316228	5.761532	4.243638	9.800791	5.097051	12.322147
4.711377	13.962747	0.315773	0.756127	5.242568	8.840508	6.244885	6.424116	0.464159	6.127923	13.213768	8.81426	8.139529	16.742261
11.565215	7.461835	12.724415	4.49229	6.051901	7.162569	2.482192	8.112238	0.681292	5.172801	4.777329	8.499547	7.807169	13.009206
14.152312	6.567597	4.235249	7.686646	6.021118	8.043834	8.016375	1.229336	1.0	12.252467	0.699622	14.139405	7.364257	8.59178
