CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
2.278467	4.520471	10.242648	1.597456	9.096823	6.184083	4.928893	14.223772	6.055488	14.349327	11.507398	12.831131	0.0001	2.183945
1.57018	6.859898	10.338563	0.017595	10.358409	4.529795	2.983197	5.920431	8.558415	10.496437	14.794307	13.811299	0.000147	9.761328
0.56649	16.321119	6.526897	10.718504	15.125482	3.642386	2.460754	5.260775	8.329092	10.872542	4.617566	8.537162	0.000215	7.021015
11.485554	11.535363	6.562357	4.585332	10.651007	1.918833	1.839452	11.197798	9.968404	7.326702	0.86774	9.649909	0.000316	12.411234
9.813804	7.151151	2.147867	8.863061	8.204679	11.450261	7.40637	5.587475	12.993265	3.91269	7.35714	5.062051	0.000464	10.049722
8.861151	9.710437	7.317542	11.126612	1.386496	11.253701	4.820797	9.300524	6.81784	10.359149	1.725594	5.812747	0.000681	11.50673
3.895439	10.225597	3.423703	6.815163	10.057763	10.054005	9.591481	9.953701	3.737728	9.395839	5.873071	9.659485	0.001	7.316025
0.724509	10.085907	11.62546	11.365729	2.716268	10.701851	11.569224	2.988982	8.79547	3.875994	12.397029	5.863319	0.001468	7.288791
6.429458	13.227286	6.424379	6.777253	6.507766	3.136554	11.142301	11.130904	6.190744	2.525004	15.153814	4.305326	0.002154	7.047057
0.796662	7.5504	13.958175	10.743187	8.874804	6.369932	2.089491	4.24532	2.849269	12.052926	12.9677	7.600189	0.003162	9.898781
6.416337	0.57557	6.573997	7.989967	8.814644	13.97476	6.852732	11.301971	9.050187	5.103844	8.193485	9.41451	0.004642	5.733355
10.297902	1.197543	9.675528	11.563534	11.786865	2.730516	9.751032	6.680291	2.301897	5.158172	7.969579	7.624633	0.006813	13.255696
6.632062	8.800446	14.97263	1.152884	8.57738	14.3254	15.136389	8.432994	5.298775	1.327272	8.979949	3.378656	0.01	2.975164
4.440933	11.430757	3.310942	0.194048	6.597188	7.714392	13.628086	11.676308	8.117201	7.116393	10.055613	2.986864	0.014678	12.716597
2.839364	1.70153	0.575894	8.075961	7.268041	17.854995	6.603455	6.099288	1.880001	5.943618	18.782757	10.445021	0.021544	11.90853
8.4258	16.182642	20.291032	13.044189	2.863217	5.071335	2.736152	7.000559	8.402547	0.162044	1.473498	3.067044	0.031623	11.248317
10.372941	14.964722	11.974566	6.184465	0.196326	3.118788	14.64509	7.737751	4.554454	1.565828	13.410683	6.753027	0.046416	4.474943
10.964763	12.547373	1.836806	9.565028	9.67608	2.684332	0.749661	13.826671	5.441495	12.739423	10.368305	7.137026	0.068129	2.394908
4.330267	7.198597	12.816393	12.681833	12.337535	5.761075	7.243088	6.043032	2.088197	7.765115	14.036538	3.002767	0.1	4.595563
12.961299	7.025336	2.685234	10.126699	12.458217	8.815238	8.548181	1.616796	6.785925	0.771162	8.611756	12.840389	0.14678	6.606987
10.957645	3.700434	9.893224	8.333706	6.209391	8.520859	13.530102	5.424683	8.615249	4.45595	5.756303	3.652696	0.215443	10.734314
4.23877	8.82488	9.512858	7.62842	5.163991	12.342045	10.546565	5.337772	8.254791	7.782449	10.893542	9.103816	0.316228	0.053872
7.089752	7.016794	14.851646	2.416107	2.313214	4.419072	13.447854	4.653918	8.970273	13.124251	3.995976	16.875661	0.464159	0.361324
11.461231	8.623571	3.247751	11.721297	10.708203	6.860686	4.130995	6.949691	4.130477	12.669619	7.480755	9.28184	0.681292	2.052592
4.90907	9.523218	8.05771	14.932965	14.047249	14.970087	2.110042	2.786695	0.493873	2.708237	11.194239	5.350022	1.0	7.916591
