CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.391649	2.775858	10.166244	18.8449	9.386355	7.161618	5.799018	3.101748	1.514179	14.860391	2.908493	0.0001	12.89544	10.194007
3.220729	2.418728	8.848336	6.953763	10.837042	16.916579	4.57115	3.27929	3.798458	1.637266	13.365783	0.000147	12.327162	11.825567
7.604018	13.863614	14.822525	17.121823	4.593943	2.802702	0.844663	2.19308	5.872825	4.876006	4.433541	0.000215	13.345829	7.625214
11.440503	11.296584	5.210317	1.528753	2.875081	10.282834	4.434082	10.516973	6.214798	6.240722	6.146447	0.000316	10.14843	13.664161
11.442806	8.112019	10.798992	12.027262	4.507073	3.755288	7.537323	6.058434	5.264139	9.633907	2.907988	0.000464	6.789541	11.164764
9.519928	11.645405	10.537071	2.378428	5.198126	5.936292	5.165797	5.419784	6.738465	6.677153	9.037063	0.000681	12.993326	8.75248
6.51575	12.048716	0.434978	8.308142	10.506251	9.906378	4.342189	7.615627	2.873404	9.997671	2.256264	0.001	13.056762	12.136868
13.845726	9.113371	12.476861	6.941128	4.950218	14.501033	3.77356	12.185301	0.961627	1.645131	2.807051	0.001468	13.495881	3.301644
13.752387	13.444349	6.694567	6.583467	6.78423	6.796266	4.097718	1.044604	6.241806	5.401851	7.554847	0.002154	10.793204	10.808551
1.198029	0.740337	13.33498	3.514857	6.167225	11.807763	10.7093	5.528527	7.223304	11.449666	13.503277	0.003162	13.945649	0.873924
13.288871	4.3104	2.711954	3.915044	8.991363	9.24679	13.18769	12.049174	11.158835	1.428815	11.228567	0.004642	7.312212	1.165643
7.641333	2.977918	6.408403	5.129626	6.231689	14.113692	9.913771	4.127626	8.300812	13.658814	7.950617	0.006813	4.956325	8.58256
8.796225	5.218343	5.970043	0.285813	1.672282	8.231401	6.520764	14.146349	10.482855	9.898048	9.079377	0.01	5.690758	13.997743
2.142792	15.673198	3.862733	6.753395	7.129833	4.849936	15.532052	5.936832	0.562801	8.75793	9.176278	0.014678	13.38514	6.222403
6.548973	8.923873	8.462177	5.541327	9.921246	0.045259	14.293365	0.340129	5.651567	14.856697	7.82489	0.021544	7.654899	9.914055
13.175931	2.680889	12.620102	13.13259	1.125641	9.44764	5.480207	10.385577	2.611098	12.517714	4.95202	0.031623	1.439518	10.399452
11.358984	12.067908	4.201537	11.157835	5.882351	2.6144	11.062832	6.318851	11.738938	5.879429	3.905585	0.046416	11.787348	1.977589
19.363883	7.346046	15.080853	11.579421	2.970353	2.712111	12.113042	14.442087	1.262433	0.242086	9.748078	0.068129	2.934635	0.136844
3.182775	5.511219	17.629082	3.595278	14.271536	1.071966	9.526337	11.081822	12.547437	2.423648	8.365333	0.1	8.891348	1.80222
2.787884	5.376713	7.179028	4.714138	0.275789	17.900869	0.427377	3.283446	15.531211	10.358928	14.504541	0.14678	1.488679	16.024617
6.73894	12.667026	1.114353	10.769622	10.53031	1.121882	10.707114	10.624372	2.821444	13.981913	13.962919	0.215443	1.764736	2.979925
3.068468	14.880825	10.108054	8.441259	9.918271	9.039484	2.57111	9.242691	1.414842	9.661761	4.74281	0.316228	4.148837	12.445361
6.630119	5.126743	9.885679	7.558724	6.665759	11.177898	4.841293	5.300167	8.098183	8.938584	10.817513	0.464159	2.1644	12.330779
7.557017	6.620473	11.002847	11.326178	0.772446	8.631473	12.770458	14.511575	2.554055	2.303181	6.269888	0.681292	7.365052	7.634064
2.793774	7.253477	10.148694	1.456534	9.166794	7.107279	2.254828	10.718196	12.521282	8.652291	12.861233	1.0	10.821201	3.244416
