CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.240702	17.722545	2.025467	1.276435	0.0001	3.151533	5.771756	18.267685	4.658327	8.9262	3.500658	22.072417	6.358883	6.027291
5.989156	15.320329	3.591592	1.175217	0.000147	13.863251	17.444028	7.226696	2.79033	4.32743	12.921223	0.734278	0.71772	13.898603
0.467548	13.666454	7.211401	7.428348	0.000215	8.534909	7.697899	2.045578	6.02698	3.372118	5.013485	14.012423	11.125021	13.39762
8.695984	14.620037	4.827502	7.562564	0.000316	0.112852	10.15815	3.603941	7.03157	8.035934	7.295322	8.557823	14.5862	4.911803
4.746018	0.243926	12.365417	10.95499	0.000464	7.702431	1.667351	10.783386	15.637072	5.433445	19.39166	8.08927	1.339391	1.64518
10.905972	7.782306	1.946402	10.312454	0.000681	0.725752	7.749388	4.265497	14.22478	7.46115	8.568785	8.743481	11.984143	5.329209
2.195679	6.756056	1.417893	6.471018	0.001	11.021594	1.681184	4.64394	13.099344	1.423811	13.302619	13.724321	7.011065	17.250476
5.675114	6.789059	15.132134	14.763689	0.001468	4.270221	11.417037	1.688851	0.465918	6.447324	1.035753	13.080821	11.353782	7.878827
10.415989	2.543261	0.060177	7.144107	0.002154	12.885335	11.983776	0.84008	7.239174	9.813491	0.488571	12.499247	12.338865	11.745773
6.846753	4.618323	11.50373	3.750846	0.003162	11.15854	2.45923	6.42004	3.881286	12.859678	16.024785	11.95648	6.36487	2.152276
11.309187	10.120637	14.090559	7.978886	0.004642	6.1145	3.825829	11.548151	9.261485	13.870497	5.02761	1.991121	2.404211	2.452686
3.284953	9.564018	10.701993	9.901889	0.006813	9.427755	11.112544	11.030275	7.379545	0.725241	6.418611	7.586306	6.147562	6.712495
4.676102	14.644606	12.697983	2.943446	0.01	2.234627	15.066459	1.841898	6.119734	2.470656	3.067553	12.274693	7.17605	14.776193
5.830523	8.634608	5.339965	12.957721	0.014678	4.757486	4.952664	1.869191	14.505901	2.400519	1.026065	8.558917	16.759795	12.391966
10.241035	7.196176	6.96418	0.123127	0.021544	7.824537	8.048344	12.288935	8.127827	10.000679	7.418547	5.824246	4.891453	11.02937
9.459204	4.066433	12.275311	10.637685	0.031623	4.441852	0.202654	12.534938	0.919878	13.741443	10.642439	1.925394	12.607013	6.514133
4.517758	12.023922	4.232012	2.810006	0.046416	10.062006	12.243198	12.771948	2.271492	9.385533	8.468253	11.759717	6.747322	2.660418
6.672237	9.693196	7.299133	15.66201	0.068129	9.890249	2.654782	12.385456	8.063338	11.386779	2.577023	0.26328	7.97326	5.411128
2.48635	1.052852	16.978326	3.931509	0.1	13.786623	6.133855	8.82408	0.391835	0.421175	6.682261	7.986068	15.650851	15.574215
12.300627	2.671067	9.537923	12.205796	0.14678	5.282661	14.021514	5.253182	4.053614	1.965007	0.11394	9.587161	10.129341	12.731388
14.844526	2.158607	13.886358	2.560416	0.215443	12.233266	5.146129	15.637422	3.210382	4.375396	16.306724	0.930711	0.55582	7.938798
1.050147	10.399602	8.972453	14.103881	0.316228	3.277898	11.764376	12.134535	10.547036	7.275991	2.576364	8.227191	2.362745	6.991552
12.239047	1.706724	5.373492	12.607735	0.464159	7.720245	9.912781	12.392722	10.876297	12.5264	1.243674	5.252235	0.138471	7.546021
4.147481	8.860264	3.423031	8.689802	0.681292	1.212114	2.95919	17.12932	9.622155	8.567766	1.830162	4.278457	16.64982	11.949145
8.403733	6.592643	4.610506	11.176216	1.0	2.531269	10.979405	12.234523	1.047562	12.386706	4.374816	6.409918	9.847078	8.405628
