CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
5.170039	3.769382	4.778384	0.0001	4.200071	5.589893	11.089024	9.124335	3.960025	18.706817	11.788716	15.042965	2.002111	4.778137
2.538905	14.408441	13.250178	0.000147	16.33461	7.326222	2.059048	11.342328	6.909287	4.294755	2.586635	10.915503	7.799525	0.234416
11.381487	5.951167	11.857785	0.000215	7.297326	1.055709	18.571269	19.284338	1.210526	4.912325	7.722749	9.106005	0.558867	1.090231
13.219079	12.932679	9.8477	0.000316	0.685104	9.106293	1.757809	10.606231	15.021585	1.834435	0.12899	7.403254	8.928626	8.527898
10.683877	13.857813	13.770838	0.000464	2.887816	14.529786	0.333633	5.520539	0.490522	4.870794	3.447178	7.321189	11.786925	10.498626
5.558141	10.210514	7.440316	0.000681	11.33689	2.825261	9.436547	12.769142	1.956218	6.41008	10.007618	12.683265	8.603045	0.762284
9.673379	13.073008	9.111061	0.001	2.502551	1.669768	1.889639	2.81128	4.386903	9.653218	13.975228	12.185164	5.619617	13.448182
15.516387	8.93802	3.125735	0.001468	6.718388	0.586707	0.081517	12.175849	1.682503	8.238525	15.899715	0.70824	19.553329	6.773616
10.010257	5.597077	11.201419	0.002154	9.843681	14.974529	0.815789	0.750675	0.108556	12.678908	0.876895	15.337492	3.077105	14.725462
4.892516	15.626505	13.638611	0.003162	1.232171	4.987217	16.086407	1.830161	12.102653	5.980907	6.291543	8.109892	1.318372	7.899882
1.218596	8.782735	13.822956	0.004642	2.153143	9.445706	6.768127	10.454152	7.927559	6.847795	14.131093	3.253642	1.543184	13.646671
8.807931	7.365721	6.479635	0.006813	9.261686	1.975313	8.960177	12.949567	9.132226	2.646201	3.940263	11.014127	6.479643	10.980698
2.354112	9.505703	7.300835	0.01	5.772623	2.073235	21.088302	5.767973	6.818975	10.793929	1.981202	15.35838	3.169666	8.005066
12.150544	7.510717	12.810271	0.014678	8.538828	13.007471	14.481085	4.399293	5.814999	2.419341	3.034683	4.92725	4.220301	6.670538
8.33464	4.381434	13.586591	0.021544	1.695225	7.557251	1.776874	13.828305	6.705601	12.805017	4.661898	12.804402	0.579502	11.261713
11.445977	2.099371	14.250889	0.031623	14.212435	7.938922	6.904468	5.596965	9.383717	12.795696	3.16356	0.411267	3.414371	8.350738
1.221948	9.381955	2.605989	0.046416	12.838884	9.040375	15.940861	1.88428	7.270591	4.913773	1.255434	16.191155	16.066226	1.342115
1.299152	4.214996	9.104912	0.068129	4.184931	5.175235	9.516504	13.566124	9.684282	13.519238	7.031693	7.186738	13.075735	2.372329
2.303501	2.669617	12.051743	0.1	10.416387	6.550255	13.441472	5.927124	5.720999	10.395011	11.09693	3.045325	4.867441	11.414194
3.556307	8.864654	16.374521	0.14678	5.838505	15.024638	7.826134	1.914758	9.918094	1.107617	10.87013	10.967415	3.198059	4.392389
6.218579	6.050407	15.26265	0.215443	6.104449	9.599085	1.238895	15.77971	5.453415	6.620657	2.961179	5.509879	10.063929	8.921723
8.145341	1.379017	13.528716	0.316228	11.593071	9.821934	2.858158	8.686664	5.227279	1.67451	16.027483	2.185154	12.068153	6.488293
11.297899	8.788456	11.443519	0.464159	3.695625	3.977859	7.880817	3.304718	7.743784	12.945213	4.405397	13.383656	0.976599	9.6923
4.636999	14.020735	8.76693	0.681292	12.301812	4.309034	15.013364	12.978709	2.971317	10.998673	4.019794	4.501967	0.733523	4.065853
20.348404	7.542452	12.36374	1.0	0.903016	5.072185	7.382145	1.091936	2.134225	0.028351	11.966181	1.199749	0.98901	27.978606
