CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
9.975177	8.742402	6.508072	9.976303	4.594388	9.837255	9.618683	12.302941	11.181907	0.0001	2.842068	2.289797	6.008256	6.122651
7.759812	4.41986	12.230471	10.646357	12.450882	9.03906	5.787055	3.650284	2.030213	0.000147	5.871028	9.70241	5.750777	10.661646
4.074284	2.382096	13.442782	9.332409	7.697537	12.561415	11.70334	11.373028	10.832918	0.000215	2.709933	6.443171	0.581102	6.865769
17.140763	2.753971	16.564023	1.527468	1.111559	1.081542	5.42792	10.629516	1.734785	0.000316	7.926487	12.227028	6.408667	15.465955
8.845786	5.885264	3.376606	4.646444	0.943385	9.371574	11.940833	6.569992	9.731906	0.000464	12.555599	2.982499	11.495669	11.653978
9.951386	4.230338	10.624453	12.389604	4.67835	5.612501	10.075132	9.899686	8.202684	0.000681	9.399715	6.264202	6.720645	1.950622
4.724482	8.334555	5.066139	13.840528	2.01701	8.402265	9.861894	12.901055	1.157318	0.001	10.890004	5.178167	3.642707	13.982876
5.330239	3.255688	3.171461	10.621117	7.880253	8.782946	10.70698	3.488036	13.034521	0.001468	9.814605	11.023865	0.876233	12.012587
5.374659	5.969359	0.42206	17.243943	16.90733	8.770169	8.93065	14.236384	2.538992	0.002154	4.848815	13.050404	1.621203	0.083877
16.070605	16.222374	8.181385	5.137814	2.387586	5.267087	6.349324	15.745337	12.771439	0.003162	1.926672	1.046448	1.559138	7.331628
13.982672	2.122345	6.264406	12.206174	13.582356	2.769554	11.062199	4.283972	6.920055	0.004642	0.190602	6.879077	5.869964	13.861982
7.732134	8.695373	12.527908	0.262952	11.954598	1.224052	7.268612	9.461063	8.05102	0.006813	10.99844	6.594861	2.730045	12.492129
4.062654	8.830748	5.366473	1.507942	11.896212	15.339857	1.768602	13.221032	6.192399	0.01	13.357815	0.003794	6.148911	12.29356
5.030204	2.801598	6.688183	1.624474	7.593043	3.50486	6.687502	12.268942	5.859011	0.014678	7.725904	15.302785	16.685407	8.213408
12.828552	5.376496	14.320648	3.64901	8.729817	3.902229	8.625463	13.600306	0.382894	0.021544	12.931428	4.382194	6.883753	4.365667
4.802921	11.276682	3.861048	5.581648	1.237018	12.217047	8.478135	13.010699	0.250944	0.031623	12.736277	4.559715	12.337583	9.618659
9.751198	6.437444	5.483297	6.398709	8.859597	13.741282	10.791386	4.108259	14.199978	0.046416	0.200009	0.070789	12.912958	6.998678
12.900357	8.338157	13.926899	13.891486	11.00607	10.502393	15.975437	0.287295	0.011093	0.068129	0.382502	11.395155	0.981924	0.333103
0.18903	17.248469	8.300074	7.41983	13.843727	2.461469	1.910624	8.018195	13.059139	0.1	5.314525	1.282072	3.763867	17.088978
14.461452	16.442915	0.112567	5.084139	10.860614	11.196139	3.935371	3.023728	5.134608	0.14678	6.827099	13.599262	0.843832	8.331494
0.725233	0.573791	10.261664	11.997598	2.294965	14.561949	5.957752	12.283419	13.189118	0.215443	12.500616	4.928181	1.810392	8.699878
10.46201	9.995187	5.633232	7.717435	12.628593	8.821344	4.723945	8.926118	1.172957	0.316228	3.929022	14.105993	2.339265	9.228671
4.08862	6.343753	1.401538	6.355292	7.251802	11.103615	9.28759	11.820995	12.314201	0.464159	11.625498	8.888389	0.800652	8.253894
3.111335	12.065583	6.059867	2.65304	16.64403	4.050528	16.665161	8.117758	0.940107	0.681292	9.979515	5.171861	1.173633	12.68629
8.00444	6.027495	5.236229	4.682441	13.214725	12.590659	5.345707	12.358191	1.49548	1.0	7.012908	8.174255	5.802119	9.055351
