CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.0001	13.99119	11.8752	7.899553	8.718295	3.134925	2.783369	7.604391	6.257287	12.815155	2.697871	11.601383	6.585316	4.035965
0.000147	0.878216	11.856361	6.880628	12.233283	6.021838	10.022198	12.548553	0.863012	7.19187	9.594157	3.708015	7.776256	10.425466
0.000215	7.11592	10.279405	10.163104	13.183192	8.64423	8.59559	0.978885	6.046938	1.770493	4.859684	10.528957	13.440257	4.393131
0.000316	8.960537	0.455299	8.993365	11.747584	7.179121	6.834571	9.691504	9.29729	4.593547	10.744452	9.949493	11.541682	0.011239
0.000464	11.21743	9.391816	5.255586	6.597475	0.900288	4.155256	6.947929	9.638315	7.490341	12.028296	4.964531	10.729528	10.682745
0.000681	8.151783	9.415301	7.696891	9.408248	10.98667	11.001935	0.777912	12.074795	12.992372	4.289395	3.236753	2.151591	7.815672
0.001	11.317483	2.558634	7.961946	2.471379	2.51498	2.30683	13.244685	11.179464	7.650023	11.82826	11.239855	1.728811	13.996652
0.001468	12.738942	3.112225	5.870477	12.755582	8.09915	8.145423	12.009369	1.302334	3.022142	4.76664	6.479998	9.552291	12.14396
0.002154	14.102428	10.425481	5.051967	0.328016	13.389317	6.159235	10.48042	10.185867	6.909622	6.347738	7.766038	7.375584	1.476132
0.003162	10.838567	11.718685	10.063041	6.119721	11.200014	0.398378	9.912603	10.40435	12.603879	1.493904	11.354241	1.896594	1.992861
0.004642	0.402571	12.26753	14.466761	9.414037	3.33613	3.139414	9.895837	11.049212	7.99669	14.654086	4.442376	8.274288	0.656427
0.006813	9.531296	9.26896	15.541606	6.506246	16.007447	0.321102	3.135384	3.619615	13.151984	13.319681	0.16767	5.686195	3.736
0.01	11.412269	13.836322	10.362998	2.209547	14.75228	6.13595	10.327233	9.113324	8.2801	1.366302	3.803033	5.807684	2.582957
0.014678	8.648948	1.816012	6.576519	7.307792	13.637632	4.645236	1.847314	9.98842	14.21638	7.400898	9.652226	13.936505	0.31144
0.021544	4.460552	6.285535	1.820387	9.107673	13.367537	11.90683	13.652601	11.87979	4.935188	6.937111	1.507143	13.225012	0.893097
0.031623	8.563445	9.808196	3.576455	6.016033	0.871635	14.005227	2.656054	16.552839	2.3279	12.957933	15.996475	0.79589	5.840296
