CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
4.440001	9.547028	1.666965	6.726173	6.270497	13.233513	0.0001	3.10975	9.992253	12.518103	8.433151	9.412809	12.314732	2.334926
7.049012	6.595873	2.148699	9.36174	0.176451	9.640876	0.000147	14.190092	10.998183	8.70416	12.462496	7.991722	6.704306	3.976243
6.32027	13.981797	7.570487	4.230506	14.374966	4.550972	0.000215	3.141976	10.030264	13.093028	12.303735	7.013815	0.282246	3.105724
10.80561	0.416729	12.920188	13.516016	2.950469	11.031085	0.000316	3.155993	10.044229	11.03235	9.265688	5.054658	1.715248	8.09142
10.191071	9.154953	6.503763	9.050863	9.632754	1.636748	0.000464	10.976861	8.686184	11.132401	5.644685	4.960131	4.569578	7.859543
3.444169	3.352773	0.904148	7.637875	7.586493	1.354181	0.000681	10.063149	13.665364	10.088043	10.511733	11.824695	9.60693	9.959766
5.353774	13.634999	7.023287	4.137196	12.148569	6.490629	0.001	5.315979	0.071219	6.524011	14.141384	8.946667	3.692599	12.518688
8.539093	10.647298	6.431782	5.584152	10.974395	9.795313	0.001468	8.041429	5.941718	0.353488	10.068615	10.877109	2.624052	10.120087
7.215353	1.795285	9.579025	3.143371	11.479927	7.882083	0.002154	11.077404	13.155947	3.677389	5.667515	10.278455	3.277624	11.768467
9.763796	10.87996	4.638247	14.555521	3.216156	1.258663	0.003162	4.5636	4.158614	11.005536	5.191317	14.276717	11.26603	5.222681
13.507688	7.420434	1.022231	9.724831	12.820485	0.331478	0.004642	14.063996	5.782637	6.817005	4.703799	14.388444	5.052691	4.359638
1.208473	7.992378	10.918208	7.993576	11.17034	2.668461	0.006813	10.007863	3.402665	9.344084	1.650065	11.314913	11.05546	11.266701
9.787241	5.063867	4.956945	0.998541	3.998649	13.077335	0.01	11.061135	2.847413	6.007797	6.847806	11.938873	10.821673	12.582726
8.780537	8.731613	8.202771	8.438693	9.847007	7.78828	0.014678	3.827606	10.189633	9.654528	11.270647	1.156389	8.110662	3.986957
4.821725	4.258249	7.225732	1.300658	13.515248	3.93958	0.021544	15.501788	9.097719	14.332096	5.522699	2.951674	7.25619	10.255099
13.837972	8.273534	2.97004	2.499891	0.621892	12.582697	0.031623	13.228995	3.264741	14.207641	14.148963	0.65053	4.314707	9.366774
2.058616	4.38421	4.697776	8.98706	11.339828	12.342919	0.046416	13.587054	1.077933	9.257297	13.58751	14.228026	1.430671	2.974683
8.568572	11.006746	14.443539	0.90842	0.263549	13.006424	0.068129	8.833896	5.257193	11.839705	9.342342	7.136048	8.427404	0.898036
10.995709	4.965062	7.62141	0.480265	1.825871	3.745693	0.1	15.030417	5.431796	1.247601	14.747922	13.136339	8.080212	12.591703
1.247636	5.665785	6.976985	10.423303	4.985394	15.082137	0.14678	7.894499	11.30202	3.095967	3.047171	11.614249	14.273711	4.244363
0.735962	3.040596	1.300722	10.424522	1.496683	10.85132	0.215443	7.171576	12.859381	8.046402	12.045746	10.639961	10.002014	11.169672
11.877138	1.456102	9.415434	1.959871	11.620862	8.31077	0.316228	3.941657	8.32204	11.523691	12.331838	3.153385	1.455231	14.315752
11.735024	13.334869	5.255953	0.655507	0.369225	8.931352	0.464159	0.598603	1.562457	7.492288	11.87092	15.640177	10.242171	11.847295
5.073204	5.27169	4.678154	8.734194	5.864259	7.47697	0.681292	10.153229	12.667906	12.794456	6.680526	7.714916	7.942597	4.266607
7.444899	3.809138	10.533442	12.798181	4.830889	12.902195	1.0	3.810559	8.987334	1.643051	11.094185	5.443128	7.774082	7.928917
