CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
17.097071	1.434624	5.785315	7.106401	5.26709	17.146272	1.00197	6.151976	1.596822	15.386612	5.630307	3.161844	13.233597	0.0001
3.087704	7.348136	1.543654	9.62971	6.591183	6.054624	5.333994	2.308026	12.851078	14.328937	12.97088	4.37858	13.573347	0.000147
4.838195	7.135896	10.16588	14.007457	13.050868	11.263431	7.536297	10.708931	1.443326	5.469353	11.76795	0.106758	2.505445	0.000215
5.365891	11.875809	7.976313	1.06928	10.288378	13.934111	8.243611	8.314931	0.913533	12.1755	4.815781	7.648469	7.378077	0.000316
17.122001	0.255469	10.817391	3.735736	9.537025	3.153804	10.733139	0.583386	3.583742	14.188402	12.02633	7.975155	6.287956	0.000464
0.877888	15.046936	5.233286	3.245792	13.295057	12.595865	6.133671	13.159642	0.482763	12.197249	8.257752	2.688329	6.785088	0.000681
3.869674	4.868251	12.377199	10.031508	0.493794	13.423003	2.632793	11.55195	4.572909	2.562175	7.329873	12.404737	13.881134	0.001
7.677716	4.443358	9.995429	4.749398	8.661406	6.160805	9.27999	7.562769	9.418703	8.735555	11.903371	3.458669	7.951364	0.001468
10.041672	6.897598	10.219962	10.765697	6.178823	9.992123	4.616052	11.166929	6.931783	7.731931	7.689847	5.90919	1.856239	0.002154
2.990018	9.511389	5.475783	2.258767	9.969688	10.916729	4.255299	4.872043	2.755678	10.7099	11.33066	14.562868	10.388016	0.003162
0.415016	12.963267	9.573754	7.328937	8.538592	0.75326	12.425816	12.11697	6.361299	11.29773	1.45803	8.658631	8.104057	0.004642
10.343584	9.205584	11.324053	3.451195	10.455464	2.007799	0.023315	10.707116	0.801033	16.16796	14.520689	4.925614	6.059781	0.006813
9.422762	10.29757	11.185408	11.829405	3.388434	8.674955	1.477914	1.346561	10.262222	7.980034	7.476942	9.297082	7.35071	0.01
12.92318	17.806006	8.068551	10.215681	3.490192	0.25427	0.460622	4.767641	5.207486	13.14025	5.131852	7.818637	10.700953	0.014678
3.256	13.789961	4.333004	9.577295	4.70009	12.047697	7.911223	11.880051	0.787667	12.815635	6.794641	11.434966	0.650227	0.021544
6.079538	10.195193	6.363484	8.786783	3.54275	10.113966	9.179665	9.587958	5.135165	7.716384	9.11812	10.769956	3.379415	0.031623
8.435902	6.809899	11.993286	5.795895	14.076443	6.982235	7.602871	2.936773	9.427553	1.132013	10.250333	12.348565	2.161817	0.046416
15.625087	3.596873	8.942203	9.942969	9.786607	12.501109	6.127893	15.309068	1.427798	3.319426	2.175496	9.104767	2.072575	0.068129
7.895514	4.598822	1.932146	11.087349	13.581519	4.673897	4.716844	4.966152	11.838142	13.182395	3.043042	14.634276	3.749903	0.1
10.088797	9.81361	3.80832	3.009981	2.39685	12.111858	1.56513	8.401916	11.761592	12.287735	8.374419	11.538415	4.694596	0.14678
6.111402	1.990969	11.46889	11.664056	1.357802	0.309761	15.239002	0.453305	17.310079	6.286538	16.300731	7.096465	4.195558	0.215443
11.096581	9.882353	0.908117	1.928369	6.90091	0.604555	10.270676	12.785913	5.746994	12.58083	9.671732	3.220053	14.086688	0.316228
12.949595	2.734792	4.71558	8.531462	6.16033	8.140288	6.768593	10.213072	8.566595	0.141842	10.495996	8.899235	11.218462	0.464159
10.379981	8.112374	4.341177	4.266038	1.618729	7.76299	4.397823	9.914627	12.35753	11.490903	7.155608	11.799945	5.720982	0.681292
11.134323	12.19848	5.015122	14.290703	12.019205	7.766467	2.785994	3.523446	3.389798	6.165747	5.054198	4.220693	11.435823	1.0
