CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.071991	5.849469	11.594464	4.020535	11.252929	0.0001	11.582845	8.91427	10.111319	3.097579	2.333835	14.528755	8.846654	7.795256
6.518886	7.995112	2.487806	19.698969	6.937938	0.000147	0.905111	20.290488	1.30174	3.291891	2.500741	7.699511	3.10745	17.264211
6.02217	1.645308	2.967135	9.934015	13.530122	0.000215	10.008432	12.470295	8.183558	4.63589	12.262805	5.554145	4.254222	8.531687
6.569038	0.360237	9.761595	13.154414	9.815347	0.000316	3.240385	14.61235	6.382686	9.379008	3.416633	10.678625	3.210651	9.418716
11.877683	5.720511	2.32048	0.001503	14.376937	0.000464	14.098202	16.839901	9.046301	13.168279	0.123711	1.313217	6.668263	4.444547
3.950457	4.730029	4.119064	16.392728	4.039053	0.000681	14.47956	3.511806	7.03041	14.573473	2.046577	5.782242	3.153791	16.190128
5.337979	3.616177	8.673416	9.568325	2.146918	0.001	2.787824	8.799125	9.698516	7.229991	6.515535	13.386734	10.622816	11.615645
9.033528	4.187962	2.669719	13.710467	11.334817	0.001468	13.505978	5.189285	3.785306	11.043893	5.772145	5.564109	2.765105	11.436217
5.126496	15.142899	5.246025	15.702181	3.960376	0.002154	4.040009	1.598607	4.103691	6.36113	11.208945	11.026046	12.51811	3.963331
8.325878	7.612366	13.599272	8.631796	14.651583	0.003162	5.002374	0.876787	5.560355	6.230475	6.621403	11.585717	7.207261	4.09157
3.782015	16.800546	1.520662	12.013496	5.714571	0.004642	0.922284	4.217944	3.733009	2.943814	16.430446	9.306047	15.527188	7.083336
8.853735	8.952009	5.080968	12.773558	7.456477	0.006813	13.540918	3.069404	1.196328	4.910737	13.943581	2.323511	9.97305	7.918911
4.753029	9.420756	9.368064	6.507914	1.096502	0.01	2.417099	6.451465	2.177895	10.617958	16.927774	13.137799	12.630355	4.48339
11.115	1.426247	10.986495	0.629288	8.199548	0.014678	0.476233	9.713894	12.728864	6.791718	5.260827	12.830341	9.941971	9.884896
1.020092	5.279203	7.069882	11.965706	5.07286	0.021544	7.951837	6.613041	16.711413	8.271633	2.095611	12.575271	14.816499	0.535409
7.155938	8.329567	6.551952	9.026478	9.008992	0.031623	3.413431	6.186531	11.913944	5.37322	8.388862	11.921463	8.020895	4.677104
12.145011	8.420119	6.935242	11.569379	6.624296	0.046416	9.204048	7.183887	9.763477	4.086139	3.998095	0.888423	10.840493	8.294977
9.742776	11.400773	4.459323	4.078639	12.347756	0.068129	0.060744	6.907006	11.063391	11.554919	10.910233	8.069655	1.560174	7.776482
4.47026	12.026282	13.155029	1.492925	5.15695	0.1	6.263179	11.142797	0.002798	12.939918	5.596071	6.008373	9.043673	12.601744
8.652905	4.03436	0.44405	12.452587	12.696175	0.14678	3.974306	9.140184	9.465397	3.346025	12.277366	7.458054	12.970888	2.940923
9.384766	6.786848	10.514775	12.714024	0.411091	0.215443	0.745655	5.288865	2.954838	11.114248	12.335682	7.391789	9.907166	10.23481
3.512479	6.430073	3.623733	15.067838	10.108607	0.316228	1.441592	5.202915	14.847121	0.2812	3.59829	18.833858	4.531426	12.204639
10.46834	10.375162	3.774291	5.401928	8.446845	0.464159	10.787898	6.963122	5.789582	10.556802	6.489358	8.880585	3.663163	7.938765
1.702688	10.198132	10.836506	10.517683	16.172482	0.681292	3.974628	1.043444	0.607077	12.760654	5.223626	9.468944	13.023247	3.789596
8.055445	0.068234	3.055314	9.903935	11.59895	1.0	0.45538	9.706199	7.958573	13.058754	11.989377	8.197788	8.403275	6.548777
