CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
2.051309	8.116315	0.0001	9.674758	8.60538	5.119207	3.809658	7.192975	10.483285	2.36671	11.1582	9.167117	11.344276	10.91071
8.781778	11.809092	0.000147	13.9283	8.680906	12.309006	0.353876	2.603796	18.59544	11.646775	3.18915	2.372609	5.345068	0.384057
6.558351	2.687311	0.000215	13.484902	7.115328	14.076156	0.362094	6.292517	8.272344	9.335028	6.335461	4.333231	6.762156	14.384906
12.770642	1.920383	0.000316	0.777608	12.692782	15.128895	8.015238	14.400448	0.950298	7.055134	7.073017	5.595903	2.309705	11.309629
3.750965	10.147463	0.000464	1.145816	2.054889	2.573902	7.233786	21.221597	16.422169	6.666153	9.555799	5.065028	8.567616	5.594354
3.044828	11.201865	0.000681	7.009236	12.99586	12.954183	0.957327	3.584186	12.803588	7.447681	1.372644	11.490012	10.453133	4.684775
13.850768	8.807283	0.001	8.795324	3.333003	4.40657	9.808262	0.611869	5.820096	13.076899	4.970055	1.325033	10.862748	14.331091
2.471829	2.045327	0.001468	0.71292	3.710463	12.015116	4.140728	15.925772	15.675736	7.687874	4.048771	3.014883	15.02074	13.528375
13.640057	4.372304	0.002154	6.108646	10.916914	9.029702	13.791043	6.915439	3.551871	0.42739	2.609091	6.770874	11.284369	10.580146
10.348433	7.618234	0.003162	3.553572	11.786883	13.069174	1.915685	7.80728	9.016106	8.547855	11.977706	4.171113	6.89561	3.289188
4.800129	15.618977	0.004642	3.824278	0.761911	6.851599	6.452511	14.587239	15.213073	8.985795	7.447729	4.329548	2.378001	8.744568
4.575307	11.155895	0.006813	11.115944	9.559185	13.357736	4.158909	0.582014	5.965456	3.457339	7.492835	11.442487	5.294034	11.836047
17.47131	1.73029	0.01	8.126429	15.380191	15.899065	3.227376	4.642906	6.877598	15.322612	7.620877	2.712898	0.528796	0.449652
3.143851	14.78442	0.014678	3.681529	6.337399	5.012219	5.823918	18.523592	0.547045	5.429929	6.944665	14.655303	3.572748	11.528704
12.954824	11.786166	0.021544	6.488683	10.079362	4.753219	8.321536	9.696747	2.198731	11.536124	2.925532	3.061364	15.391593	0.784577
7.383097	5.041627	0.031623	10.612249	9.898094	4.327606	6.997782	0.59264	7.866554	10.676511	11.949076	11.664035	8.240095	4.719012
7.622932	8.119397	0.046416	7.913102	12.411286	7.217963	1.366211	6.787823	2.714933	8.170748	4.587955	13.331222	12.283857	7.426154
4.863631	0.623504	0.068129	8.758747	11.87301	5.216066	13.526986	12.600952	10.161824	1.990003	3.439319	10.643101	4.617035	11.617693
4.551842	8.991319	0.1	10.141847	6.390732	7.141798	8.074204	3.238527	3.080009	9.662394	9.54323	9.83653	9.019303	10.228264
1.628216	1.047542	0.14678	9.919788	9.569326	8.835027	14.268133	9.524861	7.661194	12.372057	6.384716	9.639983	8.306269	0.696108
12.962804	1.231213	0.215443	8.460075	11.07544	9.37576	4.74093	9.93832	1.840145	6.023388	12.29592	8.02693	6.847508	6.966122
2.297597	3.489992	0.316228	13.043039	3.348212	7.283782	10.479276	15.221722	7.831142	15.423084	6.668842	8.397195	1.187678	5.01221
15.355839	2.328725	0.464159	15.999735	8.638679	5.030214	8.76362	10.515128	3.728346	6.463385	8.230125	0.88959	10.11362	3.478835
13.085356	9.044971	0.681292	9.698654	0.537493	0.004111	12.245	7.139343	3.227864	10.017534	3.688331	9.809245	13.587314	7.233491
2.617219	5.265204	1.0	10.152976	13.045658	3.433257	3.323914	2.596749	10.725041	15.192314	7.109507	6.977551	14.851977	3.708633
