CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
13.096155	3.755847	16.887553	7.946537	9.101632	1.217517	3.931091	0.01	13.767723	2.937384	12.148144	8.870993	2.702871	3.626554
2.842674	3.032959	6.228854	4.774402	2.050833	15.953285	2.341709	0.01	19.059536	4.928772	10.948513	11.305382	7.897924	8.625156
8.497393	7.213429	4.697194	0.598835	11.265531	1.107426	5.35335	0.01	6.483855	3.949505	16.466245	0.591397	17.358886	16.406953
13.725466	10.518714	7.677425	7.284576	14.745181	13.1964	9.27757	0.01	1.481926	0.239586	3.505081	9.912934	6.439525	1.985617
7.455623	12.201819	9.176922	1.237755	1.113781	9.839709	2.372989	0.01	0.737037	7.75686	12.744416	8.976237	15.812796	10.564057
5.996754	12.441877	7.804673	13.286	0.344928	8.974984	5.46555	0.013335	12.276245	7.491463	6.401254	9.691205	4.779172	5.03256
10.493338	2.600801	6.032973	2.089591	2.306884	16.742715	17.273033	0.013335	16.80423	2.257801	2.639457	3.935126	16.459788	0.350929
3.185354	3.260923	13.422705	8.792139	10.893899	13.701118	12.921113	0.013335	4.660281	3.344047	12.972654	3.073203	4.829088	4.930141
13.636306	9.517361	9.831048	3.97599	5.299883	11.939209	2.342677	0.013335	10.96621	2.553173	6.992049	5.077043	13.982772	3.872944
5.363569	5.552256	9.885336	11.819833	11.089583	11.092491	3.145632	0.013335	6.683053	11.838984	1.431277	0.30234	12.172658	9.609653
12.14197	12.229576	1.082502	3.058023	5.579881	1.449716	8.839493	0.017783	2.681986	8.768796	9.962029	13.819326	6.842066	13.526853
5.095676	8.845689	6.14171	3.208157	11.390004	7.749593	6.810818	0.017783	13.323039	9.221333	12.286811	10.805457	1.08209	4.021839
7.702278	4.05762	5.279361	1.655451	9.556797	10.466614	6.635458	0.017783	5.986104	7.924503	10.894434	11.151066	10.224408	8.448123
8.096334	2.525836	13.584237	6.18623	8.467834	0.938023	8.366308	0.017783	14.01903	4.946802	5.961249	12.464793	11.358068	3.067473
9.728904	3.379451	10.723819	4.116295	8.535967	7.786578	7.015873	0.017783	4.456697	2.45539	9.729566	10.700824	10.608516	10.744338
12.71111	1.357175	0.446206	15.874453	0.74042	0.561804	0.852172	0.023714	3.014325	2.041493	5.52832	23.507328	19.828948	13.512533
7.889305	1.010573	1.708615	18.27484	5.118838	11.668173	3.042131	0.023714	4.054614	5.997904	12.048446	11.894588	16.658125	0.610136
4.403972	6.483594	14.107978	1.660757	14.692336	15.668291	10.382639	0.023714	1.251783	12.341703	3.473916	7.551364	4.489639	3.468315
8.63049	12.824979	5.692357	0.635184	3.768455	15.651626	15.886538	0.023714	1.552711	4.439824	11.621	7.221884	10.616258	1.434982
10.025918	9.86884	9.748247	7.624036	9.542942	5.489003	7.146793	0.023714	7.71196	8.601983	0.15373	8.102882	8.658455	7.301499
2.638902	11.772711	11.552182	7.871107	11.746166	5.777899	7.689658	0.031623	6.119957	9.117616	6.981119	5.252896	11.785207	1.662956
1.668016	4.793101	4.023149	12.663284	8.930058	5.130014	10.549301	0.031623	10.154871	6.104382	8.409556	11.049264	12.262444	4.230937
12.845323	2.391891	15.071197	1.37652	13.096762	1.574715	9.90282	0.031623	14.442382	11.455181	0.958015	6.049584	6.407974	4.396014
2.983457	11.479525	13.273032	11.940815	3.944096	13.293945	2.290259	0.031623	0.384964	14.611302	6.790936	3.879686	8.078054	7.018305
2.914402	15.867284	15.914111	13.536395	9.740037	4.985113	3.467544	0.031623	12.782131	7.827205	1.308307	0.219005	2.7428	8.664042
0.269347	10.007234	7.986149	7.945806	13.10678	1.262663	12.226893	0.04217	12.007182	11.724225	7.454621	8.835121	2.238685	4.893125
5.700137	15.207737	3.528103	8.065439	2.4727	8.066735	3.576577	0.04217	3.297614	16.34948	11.649123	7.961571	1.851203	12.231414
