CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
3.077461	2.737585	7.716057	8.390647	4.807562	9.970028	4.797513	8.845397	0.01	10.345298	10.633187	5.093672	13.792103	9.783489
11.880962	1.137584	6.434309	2.701971	5.456217	8.030343	12.301603	2.586853	0.01	11.951995	11.167673	8.587889	4.551078	13.201524
0.873301	10.010758	11.837438	6.334403	13.627676	10.913782	8.818539	6.827785	0.01	6.025646	3.095716	6.609485	5.081311	9.934161
7.094901	9.973495	8.419013	1.693275	8.244721	4.061963	4.689572	13.937885	0.01	3.725505	15.112596	4.360186	10.785865	7.891025
6.657335	10.341219	6.494732	1.312752	0.424148	8.303922	7.778159	3.417043	0.01	11.654488	9.707189	12.672296	11.908461	9.318258
11.938535	12.377822	4.523427	6.067532	12.881189	3.883755	11.583487	8.713613	0.013335	12.944691	3.326666	4.179308	1.342966	6.223675
2.792392	3.169206	5.17782	15.526205	6.921438	7.391783	1.774529	16.644394	0.013335	12.718788	3.712856	8.09596	5.191874	10.86942
12.469961	4.132827	12.626414	1.501767	12.55281	8.461583	9.967504	3.357423	0.013335	1.900114	3.787038	10.88951	3.302206	15.037508
11.509155	13.354206	7.38196	3.766299	2.633387	5.933214	12.685787	0.786454	0.013335	13.296156	7.331996	4.137978	9.022711	8.147362
1.7571	14.608961	13.088896	16.143403	5.90744	3.197451	10.911466	3.814692	0.013335	1.025064	10.359767	13.206622	3.645487	2.320314
0.31342	11.62402	4.833851	7.812226	9.994461	10.005969	12.525118	2.929781	0.017783	8.861904	12.795585	5.099122	1.963331	11.22343
5.235065	8.875665	7.311102	11.113074	7.455263	4.192836	11.494897	9.113596	0.017783	3.974557	10.507521	10.558002	8.643553	1.507084
16.662774	8.204111	9.768158	7.028997	0.161442	15.593471	1.198909	16.750358	0.017783	9.887101	8.743993	0.535486	0.148341	5.299077
1.622704	4.553641	12.787033	10.78369	4.737569	9.04299	7.278475	9.144569	0.017783	8.447924	9.426692	7.204029	7.376061	7.57684
4.939403	0.274545	2.695244	13.917462	1.532956	2.271657	12.630989	14.548602	0.017783	7.240165	10.671227	6.574633	12.152815	10.532518
4.160854	11.913755	12.992658	5.581921	7.082743	2.154801	10.097771	4.161512	0.023714	14.180277	4.15365	9.043937	13.407959	1.044447
7.846001	4.661246	0.779951	8.155957	9.44422	10.925311	4.339156	10.090583	0.023714	10.877165	8.507123	7.187905	5.362254	11.799415
8.526219	8.203773	5.590547	4.689039	11.36566	6.77224	13.881693	2.360826	0.023714	10.729935	6.858735	7.578314	4.650488	8.768816
15.336859	3.837197	5.049055	6.090739	9.081279	10.628345	1.597977	8.764971	0.023714	4.991278	0.403244	13.734023	12.949268	7.512052
17.906274	10.579766	2.061382	1.637205	2.197331	3.438761	5.408422	3.846285	0.023714	13.996556	1.688923	17.761923	3.10033	16.353129
0.508589	8.777056	8.401178	6.843337	7.888759	10.843866	11.696457	4.141396	0.031623	4.037597	8.074471	9.914195	7.599288	11.242188
7.278225	7.674543	0.586686	2.870907	13.064059	10.613652	13.730408	1.617142	0.031623	6.07068	10.664064	11.87058	8.078562	5.84887
6.828431	9.489061	8.272819	3.215105	8.949479	4.83534	8.287541	9.114704	0.031623	14.932383	3.957113	3.535305	7.364294	11.1868
15.163152	4.132956	10.654512	4.319815	7.442092	10.316622	9.168479	7.425235	0.031623	3.451516	9.742051	9.691032	0.071535	8.38938
12.576056	10.918185	10.615419	2.392854	5.574603	10.295721	14.301198	8.028357	0.031623	8.252746	0.845525	1.41498	7.84929	6.903445
5.239731	1.270723	11.845301	17.519014	10.314719	3.68315	3.142566	9.258001	0.04217	9.970246	3.736403	4.908025	14.863411	4.206542
10.276419	9.466974	3.76452	1.910601	0.752921	14.188473	6.586322	15.184441	0.04217	0.910832	5.786477	15.427361	12.834293	2.868197
19.045355	0.585916	3.715251	16.787451	16.0873	11.437724	4.988788	8.509462	0.04217	8.540452	0.156481	1.157715	2.935335	6.010602
9.771061	8.611737	11.354458	7.616138	6.750455	12.761917	0.214161	12.617771	0.04217	1.749509	8.3143	5.480907	7.777448	6.93797
0.207837	12.298659	10.937761	10.262483	6.010546	10.162204	7.333304	12.950827	0.04217	4.688006	4.951433	7.670242	2.160597	10.323933
7.918128	13.430375	2.722426	3.770639	8.21882	6.885278	1.549304	4.88039	0.056234	5.190688	6.92582	8.879851	14.205374	15.366672
4.654751	5.316911	3.970535	7.493257	12.289448	17.880219	3.137196	1.861017	0.056234	8.252084	2.604716	11.837578	4.789154	15.8569
11.518882	4.400956	4.268621	5.704703	0.315994	11.822791	7.82133	9.4407	0.056234	10.869001	5.106052	8.118807	8.10543	12.450498
12.054921	12.052047	3.410716	8.493259	1.775543	11.906583	6.31599	11.255877	0.056234	6.995423	9.421921	4.448016	6.536112	5.277358
12.588873	14.569656	11.338193	8.784328	12.070747	2.96961	10.942196	2.990433	0.056234	3.326834	4.721247	8.371285	3.778833	3.49153
1.253212	20.898735	3.636854	4.113753	14.870015	9.59888	8.691777	8.025329	0.074989	0.379	8.423013	13.192553	5.917452	0.924438
12.123397	5.063078	4.503433	5.855898	13.03731	10.074299	6.850005	11.483916	0.074989	5.264077	1.231453	8.779249	7.095851	8.563044
10.456623	7.416984	12.821769	7.942018	12.401027	6.600379	4.261524	12.352289	0.074989	2.056353	14.067847	1.262248	3.755034	4.530915
10.227026	8.371196	1.241816	10.49438	9.178374	8.23843	9.240246	4.234173	0.074989	12.830814	2.849905	1.470315	8.927266	12.621068
9.038351	8.914575	11.55391	6.434358	5.962388	6.548751	8.704793	7.235946	0.074989	9.508037	8.3762	13.514885	1.404697	2.72812
10.282843	0.310692	2.348009	2.713371	4.020483	1.922533	16.047052	3.970792	0.1	17.087183	11.844961	18.697999	8.434456	2.219626
11.661789	9.427758	1.726598	11.335342	4.575595	11.323408	15.27492	7.486125	0.1	0.266236	7.90261	3.979361	12.521135	2.419122
1.460854	7.776695	3.533016	10.414482	8.324234	5.663464	6.557066	13.636641	0.1	0.169186	13.172353	11.616345	13.234762	4.340903
1.695756	7.694681	14.707925	6.566011	3.557871	6.839081	8.845047	12.684033	0.1	1.654951	8.230153	9.182663	12.902237	5.339591
5.199971	8.47014	1.546385	7.438126	5.262343	1.480247	13.485101	15.016293	0.1	15.139395	8.058441	11.275165	6.254497	1.273895
4.02167	4.643813	10.600848	7.600361	5.996025	7.056977	8.673829	14.061203	0.133352	11.703969	5.634654	8.390295	9.672015	1.81099
