CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
1.908587	1.857266	6.781337	11.458411	15.617843	6.710947	13.233939	7.322646	7.714198	0.933257	6.185178	5.444789	0.01	14.821602
15.050741	10.374014	7.037328	3.49279	13.4971	5.642853	0.134724	12.32442	9.713464	7.478032	3.509896	9.084643	0.01	2.649995
7.926442	7.639013	7.989153	10.476126	4.051039	12.973985	0.404503	2.407367	10.709657	14.318297	4.709882	10.675498	0.01	5.709038
10.606283	5.833137	8.398318	2.017753	10.662934	5.878305	4.124224	14.239694	8.462043	9.017642	3.096193	12.238781	0.01	5.41469
0.412812	2.115867	4.869648	16.20612	12.907536	8.450928	14.914385	0.997228	9.36798	6.213906	3.153667	13.941705	0.01	6.438219
13.30506	4.925859	6.638406	11.620266	10.892442	9.237231	9.953064	0.676904	5.519232	2.187185	3.352855	11.320357	0.013335	10.357806
7.234087	6.578753	8.60236	8.944237	10.839362	6.91996	7.401827	10.951643	5.693761	7.628779	12.617759	1.844762	0.013335	4.729375
1.528399	10.166798	11.164467	3.228241	3.694532	12.332718	3.311363	3.429763	7.845663	9.756697	11.578788	11.650866	0.013335	10.298369
10.333507	0.967791	10.374305	1.799918	11.655483	10.68271	10.815483	2.544856	12.638801	4.242086	11.15712	5.169123	0.013335	7.605482
4.562807	16.020922	9.813735	1.043849	8.78963	13.151694	15.181267	11.415716	1.084769	5.372864	3.852939	7.532873	0.013335	2.163599
11.027332	10.310588	8.089085	8.512393	2.442926	3.538221	8.100827	5.461433	9.672398	11.013814	3.253145	7.825959	0.017783	10.734094
9.245085	0.213312	10.865822	3.031954	3.991811	13.048967	9.727664	5.546095	11.050379	9.69763	5.1951	17.219113	0.017783	1.149286
6.683469	1.612762	14.36225	8.247771	9.186526	3.522825	0.059912	12.914429	7.919965	5.560629	8.166966	14.69941	0.017783	7.045303
7.031445	8.939121	8.98542	11.058678	4.880466	2.584574	7.923851	3.536112	12.76633	3.360881	12.763485	5.273026	0.017783	10.878828
5.546771	11.107763	11.987567	4.09848	7.138894	6.806201	7.390842	11.368685	6.308802	9.695113	7.60628	7.150642	0.017783	3.776176
4.303915	1.092201	0.315088	14.164861	6.728714	8.417709	6.075212	13.754951	6.52966	12.45234	11.121983	6.133155	0.023714	8.886498
2.932168	9.257117	11.835244	2.913037	13.231397	8.097631	2.561177	11.673646	5.043198	12.929239	9.218914	3.736542	0.023714	6.546976
0.816595	10.646944	12.880743	14.960321	5.290474	2.461865	8.516807	3.886552	0.497242	2.06601	18.608999	12.727158	0.023714	6.616577
3.808855	0.737433	4.469768	11.965407	16.368867	5.211526	18.671587	2.678041	8.549355	0.074109	4.672762	9.363581	0.023714	13.404997
10.232099	9.338664	1.997248	10.342667	4.872968	12.616943	7.264711	13.979844	2.872415	6.348769	10.774633	5.397571	0.023714	3.937755
2.496685	3.416458	9.695508	11.15813	4.979074	9.876984	10.721797	6.275083	9.800188	8.923365	3.234014	7.79862	0.031623	11.59247
12.513943	1.269705	7.446169	12.263843	11.976406	3.198822	3.385487	11.675685	2.61179	11.046284	11.173428	0.890232	0.031623	10.516583
10.48079	7.840813	1.607001	15.283471	3.317542	3.17888	21.775608	10.546474	15.967189	2.716873	2.029095	2.780418	0.031623	2.444224
1.312506	8.083457	4.211758	0.627882	6.693408	9.323392	13.370595	14.706825	3.461445	14.823416	7.325334	13.73941	0.031623	2.288948
8.877359	2.862485	8.115265	6.754343	3.15155	4.94927	6.258885	10.737023	12.893714	12.674424	1.017801	7.803646	0.031623	13.872613
3.92614	8.175832	6.068303	12.278366	1.352107	2.892844	16.097495	8.810512	12.273007	5.887898	10.164887	3.304315	0.04217	8.726123
1.78192	11.881077	12.553049	7.277509	6.848582	8.11802	2.519858	9.386005	3.028076	9.112151	7.607867	15.584708	0.04217	4.259008
10.378864	8.40674	12.227668	5.102757	8.205685	0.840349	11.000536	5.564905	10.640111	5.58115	4.399228	10.738778	0.04217	6.87106
11.074987	4.124825	16.842223	4.697968	7.727293	0.826685	7.092043	7.267704	11.978844	17.04023	3.21845	6.475166	0.04217	1.591412
6.156104	12.128356	15.379181	2.628021	13.27404	6.427688	1.529372	0.710768	12.125982	14.62139	11.882151	1.770454	0.04217	1.324322
4.239392	9.89653	8.757594	9.759013	8.669326	9.203965	5.163362	8.645414	10.078149	7.968568	7.873624	2.119217	0.056234	7.56961
12.041214	12.245478	13.04138	6.418683	3.351684	12.8011	3.180572	9.145671	7.938083	6.717236	7.157325	0.799711	0.056234	5.105627
10.009014	10.346578	2.641251	8.983617	3.420397	0.971182	1.095211	6.237397	13.986102	17.757435	7.434545	9.275236	0.056234	7.785802
10.291262	8.762117	8.84446	5.675204	6.522433	10.774589	8.121834	4.192456	8.466983	2.997554	12.248857	8.220388	0.056234	4.825628
11.376072	5.725837	5.596908	9.268877	2.404502	11.802046	2.610553	6.977336	0.902109	16.668293	11.618873	13.356321	0.056234	1.636038
17.316359	2.399372	0.996539	5.220134	0.917049	18.31636	12.420894	3.364039	6.796263	3.752803	17.52678	9.112958	0.074989	1.785461
2.040118	4.633275	11.545074	3.203152	14.133869	12.659457	4.079146	7.039594	3.60968	14.172077	1.572125	8.301964	0.074989	12.935478
10.370471	6.44903	1.003304	6.658307	5.240574	13.473228	9.278292	1.800015	14.533841	5.747143	6.705123	9.328808	0.074989	9.336875
7.638658	3.363487	6.655269	11.462347	2.644085	13.425448	13.490394	1.009925	5.460998	5.056342	1.913389	13.541144	0.074989	14.263525
10.125871	10.469328	9.237329	2.86243	10.014304	0.504881	8.431978	0.714926	13.861155	5.920637	7.033685	10.343677	0.074989	10.40481
10.01656	8.729017	0.027858	0.882485	14.318411	14.039261	4.991031	13.346745	5.411871	0.959492	10.183066	5.542318	0.1	11.451883
13.647417	13.366538	4.980927	4.279832	1.98546	10.563032	10.3758	2.586278	2.212218	7.102981	12.460476	9.575382	0.1	6.763657
9.128018	7.482161	9.574845	12.891119	12.329398	3.37951	10.134977	2.732474	9.457105	11.66307	1.870725	4.395514	0.1	4.861085
10.224893	4.769207	6.212832	10.547215	7.405976	11.867551	3.109628	0.332772	5.785501	2.43547	4.538827	18.686539	0.1	13.98359
9.484945	7.705739	11.127933	8.887856	0.132088	4.702437	10.568965	13.833243	3.568215	13.008883	3.036551	7.98453	0.1	5.858614
4.235889	11.739393	1.460311	13.37597	3.73674	4.559306	10.880682	6.564917	12.420955	9.238998	13.393251	5.177858	0.133352	3.082377
9.075096	5.857141	7.316761	5.580283	6.628221	3.160998	9.12258	4.6004	12.399534	12.53054	11.228912	7.510193	0.133352	4.855988
4.783545	1.245487	2.23147	3.344296	4.548846	9.375482	1.654501	13.648496	12.846199	16.352916	9.716479	12.95626	0.133352	7.16267
0.891217	5.189793	4.024803	0.181589	2.091898	4.167688	13.243045	16.106619	14.632927	13.670323	0.006246	14.463279	0.133352	11.197221
3.549663	11.901221	11.542721	9.410142	11.227552	3.207164	10.795982	4.028005	12.198321	0.703288	3.519858	5.407092	0.133352	12.375639
18.709016	3.608832	7.662303	0.91896	7.332114	3.695071	5.503633	18.864173	0.542709	1.673635	1.350438	11.078506	0.177828	18.882782
13.064569	8.709742	13.708435	3.216741	7.735027	4.888445	7.517655	8.259177	12.218745	10.537179	1.036765	0.890754	0.177828	8.038937
1.437039	8.510287	10.658001	7.777908	0.729588	15.595003	15.331949	14.400136	0.784403	0.227379	10.408322	8.002293	0.177828	5.959865
14.123311	12.442003	13.015983	2.483615	10.571537	3.047293	1.768994	2.714504	3.540383	12.149536	10.571312	11.598075	0.177828	1.795626
12.911526	3.432224	1.915386	2.635315	12.531915	7.074595	5.697908	5.59071	12.902867	11.674415	2.786972	9.746959	0.177828	10.92138
0.058541	5.632112	12.456819	8.216932	6.5169	12.517514	13.541781	3.477711	11.877215	9.515591	4.011909	4.666475	0.237137	7.273364
11.182514	4.756125	1.160136	1.033965	15.06786	5.703501	0.306834	1.209093	14.378996	14.950458	16.322708	9.484953	0.237137	4.20572
7.383948	14.848471	7.183477	11.313423	3.235248	4.081455	11.604701	9.715917	4.751187	5.05107	6.970676	10.198179	0.237137	3.42511
4.518311	2.629703	4.614989	12.67936	8.899898	9.114425	8.293121	10.688187	2.501974	7.373766	5.666578	9.464336	0.237137	13.318213
7.158172	2.826775	11.529023	3.189498	14.061271	4.335721	13.876035	1.931907	10.131049	14.596519	4.767516	7.113683	0.237137	4.245693
10.806792	9.258744	5.476802	1.506244	16.523332	8.049441	4.065786	0.151767	8.262864	6.205744	2.567081	10.257395	0.316228	16.551781
8.358165	10.730962	12.629592	0.173116	5.345375	0.897696	10.729642	14.7508	8.910372	8.894346	8.723527	8.725817	0.316228	0.814362
3.635077	13.732792	13.706418	8.453675	0.931144	3.767246	9.467355	6.696666	12.040304	8.288465	3.568122	11.670382	0.316228	3.726127
7.889027	1.156949	8.575066	10.049245	9.789465	1.525123	13.204902	10.725486	11.917503	8.344117	8.466208	4.245913	0.316228	3.79477
9.525742	1.98788	2.949617	0.298177	5.12292	15.242375	14.376458	9.913693	7.722607	7.743171	6.090958	6.911624	0.316228	11.79855
13.313556	4.596037	6.76562	8.992375	0.425222	9.048316	7.611486	13.297834	7.962075	8.335746	7.183799	7.347783	0.421697	4.698454
10.919416	2.983752	13.058552	4.839012	0.361897	3.706482	10.533149	3.545169	11.159443	6.937819	2.487009	17.752599	0.421697	11.294005
3.881595	9.944761	0.596922	2.55857	0.966953	16.287804	17.656753	9.333057	5.966185	5.030406	3.294113	17.683273	0.421697	6.37791
