CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.474385	9.292948	9.868589	1.202655	4.128168	6.447822	14.741282	1.395337	5.978129	14.80339	7.662732	0.01	7.267195	16.727369
5.607267	6.717043	5.379229	4.145939	11.985371	1.066472	8.02803	10.129529	11.764453	7.84143	2.706577	0.01	13.301403	11.317258
1.38828	18.856924	9.934492	18.245923	1.63572	9.776843	9.707296	8.716886	5.993401	4.5997	0.645421	0.01	5.332641	5.156473
10.896783	0.636653	10.198718	12.232386	11.96072	5.103764	6.709528	6.181178	11.191308	10.536763	3.753609	0.01	3.085407	7.503185
11.85335	13.009491	6.259572	5.397796	12.725932	0.195735	13.09157	2.897401	4.806784	7.328221	11.861414	0.01	9.506178	1.056556
10.487103	10.988513	2.713068	5.6949	13.740901	0.238143	12.59811	6.070181	9.758779	1.920908	10.863264	0.013335	10.662324	4.250471
10.551986	7.089303	9.416717	18.162599	0.290596	3.424168	10.219491	4.782956	13.795282	3.063327	5.817373	0.013335	7.08475	6.288115
8.016507	11.085875	8.857402	12.922445	5.93096	14.719723	5.509121	1.597252	7.602473	2.994144	6.689556	0.013335	9.729012	4.332195
8.046278	3.295364	11.320537	8.149578	6.89526	9.657618	9.497379	4.402395	4.915222	9.445407	3.696306	0.013335	10.83419	9.83113
3.6693	10.502114	13.200486	6.130904	6.20529	13.251636	6.320611	11.757144	3.965404	4.140141	8.806064	0.013335	4.353784	7.683786
9.853125	10.505267	9.834795	7.501204	9.209091	7.499739	8.163488	9.602252	7.735014	7.062525	1.079491	0.017783	8.611588	3.324638
9.309721	2.365164	12.654628	1.618453	0.987528	8.751116	9.622039	5.244269	7.226389	12.480179	11.108359	0.017783	10.51021	8.104163
5.469029	11.61603	12.389469	5.373569	10.522322	7.432379	10.902213	5.31691	0.905074	10.148429	7.394603	0.017783	2.848168	9.664022
13.469965	0.344349	11.132848	6.26721	12.522996	3.942423	14.163542	12.067314	5.464015	3.360609	2.764295	0.017783	0.070403	14.412248
0.486331	5.765588	5.793487	14.818762	8.797871	9.491356	9.532407	8.733735	9.958992	6.889276	11.96303	0.017783	6.841485	0.909897
3.049545	8.936982	12.568021	11.097821	0.74241	7.702942	3.834818	11.879265	7.157572	10.167604	11.969843	0.023714	7.122723	3.746739
4.070847	0.702524	11.691294	13.929436	4.583759	5.587373	7.935994	6.478563	9.839549	12.552283	8.452343	0.023714	4.460978	9.691343
6.181544	11.438716	12.825063	0.120276	10.445734	1.503174	0.230766	18.360672	17.86872	7.343566	9.552193	0.023714	0.003183	4.102679
11.370741	6.30959	5.172283	11.884949	11.244629	9.708006	9.839166	1.563778	6.212264	1.22758	9.344881	0.023714	10.776897	5.321522
2.295685	4.280287	7.556314	0.050779	13.89573	8.803702	4.806664	9.95165	10.671342	2.791554	9.49756	0.023714	11.868351	13.506666
9.328908	7.110763	6.174035	10.689669	0.699696	16.289893	9.496282	12.946743	4.206706	2.334532	7.622227	0.031623	10.762739	2.306184
6.901744	5.524201	10.795434	10.40008	5.755962	5.718818	4.038383	11.60935	4.468467	11.08678	10.578922	0.031623	9.920044	3.170193
10.957425	1.526539	8.161224	3.612359	0.040999	0.532871	7.241612	14.860782	6.844763	6.673244	11.23851	0.031623	14.444452	13.833596
13.186547	7.204933	3.595134	12.66568	17.599614	14.940447	1.01851	6.126745	5.40694	1.91752	5.620154	0.031623	4.525596	6.160557
17.285195	13.318683	10.400968	14.386073	14.14685	7.743681	0.232967	2.801453	0.874123	11.503634	2.649211	0.031623	4.031184	0.594355
0.676629	10.72028	9.383465	0.069388	12.995591	5.853489	11.973187	11.825974	3.087073	11.62175	12.675958	0.04217	6.837552	2.237495
2.051566	8.98495	4.822714	11.135216	15.223057	6.537618	8.470972	0.730869	3.878032	9.959071	13.011805	0.04217	14.825359	0.3266
10.912176	10.640111	6.313512	12.980727	11.552083	9.913177	7.12493	3.617708	1.353398	4.009494	6.339454	0.04217	13.482814	1.718245
1.080977	2.016821	4.28341	17.839035	6.639254	5.981294	10.372208	5.57757	6.580659	11.156848	9.737791	0.04217	13.658504	5.033461
6.042973	12.011263	5.810269	5.137869	13.142187	13.227888	6.672485	7.868729	8.277244	2.870878	10.288275	0.04217	5.956734	2.651035
6.7177	2.304403	8.740871	3.663104	7.771527	11.170503	9.30702	14.185147	10.668006	14.787858	2.834204	0.056234	1.859621	5.933802
6.663933	7.780199	1.770679	5.645308	1.010453	14.885015	15.398856	11.65341	1.908186	14.352257	8.97038	0.056234	4.179086	5.726003
3.106574	11.772834	12.578253	8.898559	3.471328	0.513072	13.481611	10.314503	4.872621	14.291612	9.76477	0.056234	2.881037	3.996993
3.672229	8.329014	1.581337	11.128418	12.101657	13.862645	11.740453	10.673255	5.767534	13.172535	0.196361	0.056234	7.314111	0.404217
9.214492	13.93563	3.36811	2.393674	8.977226	12.534417	4.963383	11.168644	0.307695	14.787917	4.701199	0.056234	5.809881	7.781499
9.080852	4.517208	9.789991	12.035802	11.473021	1.965361	9.616084	0.616881	12.07729	0.264243	4.205806	0.074989	13.585735	10.696736
2.309768	16.285185	1.367224	0.563672	11.599165	5.157022	9.59333	7.350019	14.815984	7.305592	1.721786	0.074989	15.250318	6.605946
11.419499	13.804964	7.677348	8.699502	0.584591	7.674218	0.144822	5.009892	5.887685	5.286568	10.351062	0.074989	13.716108	9.668752
10.468104	12.045841	6.86259	2.469559	5.965353	10.303143	12.002382	7.576951	2.413735	10.929344	3.598079	0.074989	3.537079	11.752852
5.841612	12.537538	6.097376	10.628574	2.135022	6.585082	8.341262	2.354003	3.831901	9.59155	14.2038	0.074989	3.704646	14.072644
11.602598	11.440935	2.565002	1.3401	3.081207	7.800993	2.769307	2.692001	12.622416	12.38048	10.777812	0.1	12.792813	8.034336
6.471505	12.597588	1.784236	11.665532	2.497586	5.301177	7.450439	10.104439	6.592346	7.16527	9.490133	0.1	10.75104	8.028707
3.754801	9.110056	0.30312	4.944316	8.796778	1.419224	9.78759	10.304704	9.603495	15.80578	7.028674	0.1	8.399031	10.642433
11.321464	5.236721	7.051746	7.545832	9.457241	9.252478	9.757774	5.137704	2.994318	7.576521	10.518951	0.1	6.646353	7.402897
10.930428	1.457093	2.580581	9.863628	8.498453	10.663741	4.605336	11.093729	7.561633	2.167608	9.633981	0.1	7.982415	12.861373
2.464175	5.035953	9.906576	1.565191	13.18403	1.196317	7.127559	12.155451	8.239744	13.294097	9.966459	0.133352	13.425104	2.305992
9.188204	11.757176	5.511034	6.041574	0.991045	10.835604	12.267503	12.448945	12.361984	6.999688	5.060523	0.133352	5.309398	1.093971
1.624241	2.221429	2.50672	18.31983	9.647335	9.094063	17.770047	6.353136	8.215965	2.790379	15.882565	0.133352	2.340193	3.100744
9.966885	7.894529	11.730303	10.909963	8.9529	2.0268	7.872548	1.839558	9.884795	8.928659	8.861269	0.133352	2.544933	8.453505
1.277528	7.343237	8.149009	8.85839	2.930477	5.081028	11.140166	10.79434	11.323184	5.95299	9.326367	0.133352	6.3622	11.32773
9.180786	1.750535	12.137892	7.721624	8.831476	4.698757	2.968886	8.507535	2.532792	18.742312	11.93134	0.177828	3.158432	7.659804
3.814952	12.646467	6.783211	12.461656	10.603363	0.338464	12.607481	1.485584	3.04103	10.983925	7.291564	0.177828	7.319524	10.444951
9.469194	4.664336	9.474468	16.640327	6.123975	1.473257	5.955797	4.210989	7.032831	1.699209	14.016566	0.177828	13.083622	5.977602
12.546099	11.539247	12.392023	2.000891	7.190202	8.279669	0.361289	13.841682	9.754677	2.69421	8.66572	0.177828	9.869536	0.686928
12.462184	11.072896	11.236281	4.054667	11.923248	8.361045	10.372295	2.794867	10.412434	2.914701	2.171078	0.177828	6.606304	5.440172
4.262507	5.800764	12.496085	5.677772	1.478785	7.531622	7.884646	7.389979	7.48638	8.426112	13.436013	0.237137	5.05999	12.832207
