CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.515761	0.105262	15.049258	14.085343	0.01	10.982196	15.378488	0.650763	0.320428	1.993438	9.54187	12.966285	6.055438	12.345469
11.216502	2.194675	6.819208	10.616259	0.01	5.034756	7.028312	2.488828	6.856737	10.76582	8.32198	7.707411	10.222211	10.717301
8.547942	0.472715	17.427862	2.099054	0.01	0.042081	2.365376	12.733102	3.501453	18.032511	7.034234	6.579166	18.726296	2.428207
8.113437	16.662239	0.642111	0.858704	0.01	9.739742	10.361913	19.332868	3.601718	6.03239	9.23285	9.827794	2.571363	3.01287
3.280011	2.16876	1.166914	4.013006	0.01	2.907925	3.540787	5.020728	17.174322	4.134107	18.708641	13.365103	7.227008	17.282688
0.719227	12.88313	7.26282	4.882083	0.013335	12.593913	14.355747	7.498645	0.48224	11.997093	8.177445	3.502811	1.790091	13.84142
9.249525	8.874956	10.284951	0.705254	0.013335	8.621465	8.567391	9.845488	10.142827	7.358275	0.217231	10.970704	7.094307	8.054293
8.678743	0.418739	4.735752	5.981685	0.013335	3.746997	2.680478	9.691798	10.977013	5.802694	8.022083	13.750935	12.889642	12.610106
3.180252	3.350984	8.573017	11.123196	0.013335	3.887802	10.084904	8.314335	1.542828	10.737689	10.268842	11.087382	10.71494	7.120493
1.55082	2.72304	14.729713	11.17547	0.013335	12.928574	0.263174	4.137664	3.35955	13.557865	5.654113	12.036587	10.935935	6.93416
0.079547	6.641628	11.806352	6.514552	0.017783	1.620544	5.053763	1.438401	11.753315	13.259488	10.627091	10.383078	12.970073	7.834385
0.598837	9.019332	6.182327	7.589986	0.017783	4.212834	14.113441	0.439823	10.374672	4.531705	9.954639	1.167431	16.132649	15.66454
9.683201	10.774715	6.583254	10.649905	0.017783	4.751215	1.81193	9.040624	12.272146	2.260214	1.821661	13.05532	4.898661	12.379371
17.537914	14.094288	6.935782	1.47088	0.017783	11.857221	7.392853	2.399667	12.663641	1.676005	14.528917	0.20701	3.857313	5.360727
8.957578	6.043663	9.043106	10.009854	0.017783	3.115583	9.085844	10.667955	7.30917	9.965928	7.885629	3.018503	9.743501	5.135903
16.711862	2.748376	8.543811	1.135149	0.023714	4.894103	16.393173	5.906143	16.634751	0.121388	14.319127	7.038243	0.097794	5.432365
14.451729	14.744014	0.194027	18.275388	0.023714	2.727504	3.997342	1.778232	2.772829	18.21775	3.090637	1.076865	7.887368	10.7626
8.535357	10.950479	1.63772	2.389394	0.023714	1.886604	6.703452	15.711609	7.788599	1.548888	10.358368	17.663438	6.683406	8.118972
13.287447	6.109693	4.253444	10.553259	0.023714	13.157406	7.473589	10.069399	12.161703	6.066356	5.24869	1.337226	6.782357	3.475716
3.169511	12.709269	15.683018	14.869565	0.023714	0.777067	7.314394	3.310199	13.690286	11.547395	4.323754	0.3536	4.474467	7.753761
9.80297	6.366907	8.118147	2.023266	0.031623	2.138582	5.244737	5.307494	12.128119	9.025996	10.347124	13.095413	14.468408	1.901215
2.547524	5.184357	17.687534	10.644136	0.031623	11.101522	1.270402	9.80072	0.371194	15.391965	11.08417	3.610665	9.229103	2.045084
9.8649	2.206177	14.931636	13.324748	0.031623	0.315427	8.945456	0.043081	14.43653	6.160556	15.530607	10.83716	1.353886	2.018213
12.60463	11.182797	7.028509	1.246515	0.031623	6.291297	9.90833	9.727627	13.437585	6.99376	4.628251	7.608485	5.73926	3.571332
10.477497	4.863887	15.057254	8.897899	0.031623	2.030767	7.158118	1.899668	8.949791	8.157779	13.725852	13.418248	4.993851	0.337766
3.836147	12.879747	2.889284	7.545718	0.04217	14.591535	5.682299	3.905937	13.527704	14.280021	0.063858	13.551006	6.14268	1.061895
8.327628	6.720247	0.888807	8.121662	0.04217	8.77864	1.786667	10.289665	5.977868	6.067714	10.504969	12.861699	6.861384	12.770879
9.450151	7.014876	9.196554	2.352145	0.04217	9.79258	14.935201	7.214789	8.518915	1.75759	5.055003	7.472925	1.50433	15.692773
8.72696	7.384871	10.667021	2.207896	0.04217	5.720873	10.408024	10.532613	11.275224	10.467908	7.492888	10.964666	1.008154	3.100732
12.152069	7.921965	1.94289	5.875249	0.04217	9.779334	12.80066	11.333166	8.927656	3.853218	8.231524	6.753988	5.193024	5.193088
14.541648	6.272052	5.467799	4.454081	0.056234	3.774771	3.144527	1.750037	15.774351	5.447286	10.474485	3.078917	12.136793	13.627019
4.895416	5.375464	9.833287	13.202213	0.056234	5.811936	3.296296	2.662206	14.678996	11.971155	13.03551	2.463807	9.160588	3.556892
6.284624	10.234337	9.903199	3.005355	0.056234	6.619302	7.238639	8.793003	10.618811	12.007046	6.294705	6.171901	12.221359	0.551486
15.989433	17.21473	0.946091	3.835979	0.056234	14.906311	3.593353	0.305985	2.062765	8.458267	13.998082	9.930497	4.948906	3.753368
8.22969	8.578053	6.239833	7.666188	0.056234	9.611202	8.409822	8.401353	8.621306	7.092493	11.186792	4.233048	0.26588	11.408106
10.881216	12.707728	7.119481	12.714219	0.074989	2.747004	10.935879	10.462972	10.926831	0.540555	0.153192	12.959403	0.487632	7.288898
2.653745	12.100512	10.739927	15.718973	0.074989	9.304387	2.349547	0.266112	3.946342	11.744708	1.763558	11.429976	8.492058	9.415166
5.658451	7.120148	6.801549	14.838641	0.074989	0.975624	1.04353	8.754727	10.851693	8.11891	10.518166	3.33308	7.266113	14.644377
6.153625	18.849328	3.42932	4.297858	0.074989	7.891022	6.472609	16.495378	6.352497	3.244313	14.294377	10.857953	1.434711	0.152018
3.044415	8.517277	10.623244	7.790134	0.074989	0.565087	15.014344	5.813711	6.669763	0.449116	7.931137	12.163096	16.371718	4.971968
0.050955	11.5421	15.974563	8.129667	0.1	3.02466	5.246314	5.691897	14.978022	1.564795	15.831703	1.98955	15.611879	0.263894
8.000746	0.01919	7.11223	5.874332	0.1	11.088395	0.73885	7.745411	9.075899	13.315293	12.434144	0.804829	11.988463	11.702217
5.5933	14.037136	1.080342	5.669704	0.1	4.840934	10.428553	6.281774	0.607549	16.019817	4.50029	11.418098	10.471876	8.950626
1.941623	12.608557	12.362127	12.952494	0.1	5.937886	0.959754	13.205752	11.009286	4.222378	1.494775	6.235823	8.426868	8.542679
11.151205	11.075238	8.835288	3.991254	0.1	1.572115	9.277326	7.462227	6.158451	8.949516	12.175212	7.286157	1.174599	10.791413
10.21519	2.699283	12.904287	2.547354	0.133352	9.466343	4.58574	8.071622	12.196302	5.100999	2.249932	9.874428	7.262466	12.692702
12.315209	7.70363	11.159374	6.23722	0.133352	0.121892	2.631179	9.452874	1.087708	9.047435	10.783337	12.238471	5.243106	11.845213
12.141747	5.366932	10.812954	1.347434	0.133352	8.049948	11.500721	7.149376	9.97239	6.319045	13.05861	1.249933	7.483111	5.414445
3.542691	11.931479	12.586631	8.012843	0.133352	5.369602	14.990728	10.063023	3.878833	3.998485	5.604038	8.970474	6.156206	4.761615
1.521335	10.265138	1.702216	5.007405	0.133352	9.616015	14.963355	13.485689	7.566511	11.591604	9.411609	5.384547	5.626787	3.724438
6.576499	4.672717	1.693531	6.276466	0.177828	7.527001	12.902333	11.4639	11.700782	7.946371	11.076846	7.322124	6.388133	4.275469
13.901426	8.831292	4.914947	4.450973	0.177828	2.297334	10.590387	8.796515	8.793348	9.066197	6.968171	7.084386	3.810561	10.316637
6.901898	11.780814	9.192418	3.302699	0.177828	14.151643	7.559676	6.232727	7.166846	8.558265	12.385492	4.712005	2.741004	5.136686
7.208564	12.96487	8.26937	14.145814	0.177828	9.251019	10.578012	6.00385	5.830932	0.148739	7.248555	3.913599	8.155275	6.103572
11.254583	12.786371	5.31539	0.930398	0.177828	11.969849	10.506652	0.187591	3.802009	5.50422	8.705395	11.292883	5.674613	11.892218
3.013639	2.693978	3.744004	2.688807	0.237137	3.446535	3.617632	10.702954	2.554619	16.749903	9.713149	16.643727	13.821288	10.372626
3.630605	8.747792	13.100128	9.733768	0.237137	10.007356	8.096558	23.303351	1.815623	3.722802	1.864873	0.876122	9.938537	4.925348
5.929911	4.524259	11.931458	9.689455	0.237137	12.012422	3.088278	11.26474	0.988954	7.572205	13.062306	2.898869	5.479227	11.320777
5.209173	2.59013	15.665484	3.806285	0.237137	2.806691	14.571155	0.762494	4.724255	4.586429	11.490506	14.024204	1.961077	17.564979
1.169154	15.168317	11.619425	2.602932	0.237137	10.142686	6.157354	0.535235	3.488286	16.224939	17.361217	3.490883	0.634165	11.168269
7.346425	8.790204	6.887712	9.134975	0.316228	10.639756	7.005367	5.122731	10.149964	13.721226	4.626495	3.223202	11.388181	1.647535
13.191006	0.705501	3.718434	11.714682	0.316228	10.887709	11.294842	1.136405	10.838514	3.606744	12.601476	1.017278	13.908557	5.062623
8.350196	8.511282	9.532149	9.019393	0.316228	5.419074	10.002584	10.390858	11.024444	6.593762	8.843595	4.788434	6.857283	0.350717
1.890739	7.389608	13.290982	7.964627	0.316228	2.615717	15.585863	3.451228	8.59042	0.514365	11.278606	14.432875	7.97616	4.702581
11.363127	5.438982	14.77967	0.665409	0.316228	0.354238	10.816049	1.80919	5.111893	12.841747	22.557958	4.635816	0.896864	8.412829
12.225436	5.559631	0.910551	2.006122	0.421697	7.888752	1.605821	9.404237	9.0147	14.747694	9.890922	11.280382	0.662488	14.381567
1.371002	0.682004	6.511009	9.856789	0.421697	11.535545	13.95029	11.63669	11.372909	4.136576	5.215863	9.787262	2.37647	11.145895
14.086175	8.211257	6.000361	3.120347	0.421697	13.545265	1.549924	1.504742	16.753077	0.095163	16.372633	13.047128	1.933599	3.358634
10.157208	3.238788	8.712616	2.431813	0.421697	10.088284	0.179622	6.891977	8.124611	14.771429	0.03285	13.492958	6.890883	14.565263
