CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
4.1069	19.556328	5.20597	0.01	11.002101	5.276789	10.829007	14.238419	10.691592	4.202252	5.113986	6.527816	3.199525	0.039314
4.007836	9.679348	0.830485	0.01	0.762414	3.041992	4.734422	17.820097	3.656542	14.350443	14.451287	4.63647	5.313123	16.705542
7.936891	13.799598	1.578025	0.01	8.06281	2.065204	6.256576	4.677183	13.308169	12.259394	13.471589	9.800745	2.598279	4.175536
5.166747	14.796856	15.288596	0.01	2.563551	0.033375	1.467052	13.834024	6.664252	3.398234	15.200073	10.518982	0.092213	10.966043
3.633933	0.418614	17.817955	0.01	3.733149	1.724154	15.703831	3.598337	20.029	0.395845	2.506811	1.938736	19.769181	8.720454
10.729626	6.23181	0.417611	0.013335	11.549195	1.338564	12.296083	8.489926	5.151252	0.686914	10.37238	7.39147	12.421145	12.910688
11.998921	12.93451	7.369238	0.013335	12.428161	4.600242	3.219732	8.294019	8.587435	8.531179	7.049158	2.555154	5.057096	7.361818
12.867955	9.12358	11.194574	0.013335	3.9543	9.569337	8.82646	2.643561	5.9534	7.223118	5.944844	12.045058	3.094785	7.545692
10.465657	11.198989	11.541073	0.013335	0.016093	9.068216	13.370495	4.652611	4.434174	10.909607	11.626067	2.531283	3.639267	6.533133
4.828137	11.852284	0.88619	0.013335	0.291796	13.573537	14.566001	10.011443	14.024557	6.727915	1.985519	11.715986	7.540984	1.982317
4.963781	12.849941	9.071975	0.017783	11.844744	12.69767	0.922021	11.46418	6.955303	7.044594	11.401975	0.198433	3.22747	7.34013
1.288519	10.952439	1.323793	0.017783	13.996331	7.368232	9.669051	12.765773	10.297361	5.617	10.900401	0.84057	4.404345	10.5584
5.814329	7.275724	1.297491	0.017783	3.162926	7.638011	20.097764	7.805047	6.652561	1.530397	19.489914	15.954267	3.094153	0.169633
3.480728	1.986435	9.124829	0.017783	11.202438	13.130276	6.268728	12.495728	12.342805	4.84958	3.932415	10.689	6.57436	3.904894
6.172104	3.025734	13.51386	0.017783	4.441215	7.763256	14.311241	14.21917	0.879185	6.812164	7.14456	5.807535	14.740129	1.152064
12.279532	7.420834	5.931891	0.023714	13.056854	6.455046	11.247606	7.308181	12.952961	9.603277	5.94843	3.183016	1.886989	2.701669
2.91178	1.751883	12.756587	0.023714	10.282158	2.507174	5.964794	13.167443	8.999242	12.593589	5.838144	11.039325	4.672024	7.492143
3.830184	8.810125	5.934819	0.023714	11.097903	11.824747	3.927677	9.822344	3.30273	6.400719	11.34597	3.489987	2.394327	17.794755
10.822988	2.014184	8.926932	0.023714	14.472078	4.729934	9.7589	0.618448	11.16659	12.90276	2.8602	14.353436	4.464184	2.885653
15.774882	0.037736	2.853188	0.023714	5.622411	13.451953	5.901654	14.828906	8.827633	9.230641	8.211354	6.917585	2.868702	5.44964
