CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
6.861343	2.432374	12.3233	14.673668	6.577862	2.450223	10.384784	12.225554	3.129054	0.01	6.832251	7.725991	0.937153	13.436442
5.135943	9.057064	17.128052	1.616029	0.153845	1.189729	2.465937	8.63452	14.630939	0.01	5.572817	15.876235	9.493202	9.035689
5.548942	11.49739	12.76902	12.274682	8.369909	8.843619	7.122499	4.870547	6.885234	0.01	2.10704	4.513606	4.156536	11.030974
8.436246	11.909388	6.774685	13.660933	1.64527	11.051186	3.119845	13.473837	0.359445	0.01	3.432941	8.098816	7.050177	10.977233
7.150631	13.62924	5.518494	8.122681	11.314092	4.4962	9.226599	9.483314	2.337396	0.01	13.011306	1.559997	12.326709	1.813341
3.9408	14.146475	4.329582	5.536129	2.992609	6.092408	12.594116	3.162808	5.327317	0.013335	13.742918	9.027335	10.010857	9.083313
16.681803	14.209861	1.883207	2.808899	13.860304	6.536064	15.426242	5.805652	2.862904	0.013335	5.051196	4.8964	4.512909	5.451224
13.255579	9.852078	5.173733	9.768541	4.634396	3.379168	3.269042	8.390745	8.757805	0.013335	0.332408	11.078539	14.011984	8.082646
5.503382	3.383378	5.799142	11.213719	10.916975	4.149968	10.897809	7.574682	12.687562	0.013335	2.946306	2.84856	11.705871	10.35931
15.014388	6.502045	1.834732	5.552416	6.588454	9.063262	17.770556	2.339737	1.042759	0.013335	10.86843	6.874203	5.64888	10.886803
4.092901	9.115617	9.598011	8.176858	10.306906	9.956656	10.778687	3.169814	2.8191	0.017783	7.8481	10.563298	10.319271	3.236998
2.003965	0.815121	10.303738	1.725476	4.73846	8.442622	16.483096	14.578083	6.411874	0.017783	2.552726	12.179327	4.058726	15.689002
0.078735	2.716389	11.33227	6.261363	5.098189	6.004607	2.972142	17.318839	11.263999	0.017783	3.68163	20.001262	11.412195	1.840597
11.54653	7.186532	12.603489	2.616219	1.974155	9.166399	2.924307	9.821096	8.122184	0.017783	7.908913	10.082558	9.29991	6.729927
0.209391	7.933164	2.015697	0.484733	17.884603	8.083389	9.614709	6.152107	15.275936	0.017783	11.072559	4.921624	4.502332	11.831973
14.177546	11.148729	10.445095	11.477615	12.212233	6.832099	5.657884	0.286502	13.900124	0.023714	0.224298	7.667097	1.822941	4.124122
5.471072	3.859371	3.209777	4.739218	8.021088	2.855133	3.842982	16.43119	22.656572	0.023714	6.157213	7.112252	9.358631	6.261788
11.146194	11.937705	5.620842	3.298308	12.682213	1.311287	7.887248	5.292183	12.136417	0.023714	6.042677	9.183795	11.778057	1.659358
3.332064	11.447371	2.55632	6.691992	12.299074	12.669404	2.600531	11.94636	1.727923	0.023714	5.414995	9.306685	13.010329	6.973238
1.818352	15.352447	11.026435	10.094782	9.466457	0.177563	0.04478	14.028142	5.277364	0.023714	12.674345	10.940405	3.449258	5.625957
3.533566	1.808744	10.955726	0.558884	13.066852	12.878399	14.186855	4.865246	11.467032	0.031623	7.335629	12.050572	2.104673	5.156198
6.387098	11.597334	5.166449	2.93396	0.878245	2.68218	17.719736	2.012961	4.0542	0.031623	21.246628	15.578557	2.535167	7.175862
12.212175	2.902245	8.719673	12.137622	8.034902	5.332921	10.750909	7.251273	2.087239	0.031623	4.475576	9.964945	8.087692	8.011204
0.120499	15.109897	7.741219	8.249106	2.719258	1.280162	6.859087	7.696443	0.979891	0.031623	2.079565	17.02068	15.002347	15.110224
4.775521	3.511769	16.002498	0.212888	2.070211	5.454514	2.555487	11.509719	6.319091	0.031623	11.529072	10.813834	7.044212	18.169562
3.820019	4.690769	11.20561	2.652882	4.965288	14.789559	13.596511	4.471869	5.103062	0.04217	11.797382	6.352578	11.543989	4.968314
