CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.01	7.890248	6.046077	1.891868	8.961738	0.852564	14.776393	11.042968	4.549569	12.568673	5.373976	14.765498	8.72839	2.54204
0.01	4.259527	2.930902	2.401365	0.742905	16.747375	15.844295	5.70005	5.919211	12.563625	7.994825	2.580709	16.947601	5.35761
0.01	6.866525	7.694161	9.066158	14.889935	5.629365	1.365519	4.231395	1.463788	4.24358	15.637534	7.53977	13.884581	7.477691
0.01	4.519784	5.850886	7.726449	11.794338	9.265364	13.287103	9.207448	5.494895	8.921044	3.665497	8.557304	10.399353	1.300536
0.01	4.817971	7.550588	2.966389	2.190386	3.080451	8.376453	10.266036	11.596089	7.9963	10.553465	11.330537	7.798493	11.466841
0.013335	1.546237	7.03239	14.908091	10.686292	9.249686	6.849431	7.917459	10.838417	4.714253	3.436426	5.263789	7.930667	9.613526
0.013335	7.243821	8.10466	10.436414	4.524416	0.926966	8.675997	9.256196	7.432665	8.413888	9.731288	7.000096	9.141565	9.098692
0.013335	3.651309	1.513082	8.701581	12.298592	10.251195	14.902231	2.675468	6.193061	3.284382	9.326056	13.042618	8.128919	6.018169
0.013335	8.101996	10.429373	7.193459	11.147259	7.510853	6.085236	9.687282	12.546445	1.084646	16.459406	2.280028	2.086073	5.37461
0.013335	18.592382	5.805746	1.81242	3.530968	12.26096	1.440091	18.031507	0.182898	13.383893	8.678487	0.091472	14.296149	1.879692
0.017783	1.403134	11.796538	3.379994	2.763099	12.383251	2.913326	9.521546	10.615703	12.530351	11.70227	2.121583	7.141132	11.710292
0.017783	2.522899	9.20123	9.94021	12.808951	0.427429	10.724467	11.051461	2.886541	8.05291	1.167644	9.429136	8.958459	12.810879
0.017783	12.015038	15.716977	16.358452	7.85004	9.393383	13.069444	4.325775	5.261017	5.786424	0.228905	0.871099	1.277856	7.827808
0.017783	0.216396	0.290072	12.225404	11.55891	5.022993	3.719262	14.269084	13.147605	0.223293	5.761459	9.699654	10.500949	13.347137
0.017783	11.47	4.344596	0.150948	8.728265	2.022648	3.371177	14.023559	14.744558	4.055929	15.110871	8.977988	7.466817	5.514861
0.023714	4.864106	14.920651	13.541715	8.201713	7.865026	0.275477	11.298026	9.36909	6.103277	8.882655	1.758006	12.731288	0.165255
0.023714	17.459917	3.565385	10.963626	4.002695	5.239589	0.629188	18.456919	10.875795	1.369983	5.848932	1.842333	7.263824	12.4581
0.023714	9.546812	14.22392	0.11083	7.543481	9.64553	9.814867	8.046562	4.394992	2.53448	7.239013	13.144157	1.593268	12.138375
0.023714	12.486975	4.494759	6.957558	1.808365	12.787392	7.108115	12.601997	11.873939	7.273842	4.228491	11.087374	3.593368	3.674112
0.023714	9.11182	4.977036	1.479871	3.449593	12.663896	14.314462	3.739688	13.946385	5.059546	3.286926	13.269255	6.723105	7.954705
0.031623	5.20925	0.806926	5.706818	11.073541	2.248229	8.241494	6.994211	9.787222	11.508259	12.088	11.379909	12.237998	2.68652
0.031623	17.031097	1.622084	13.057205	18.37572	11.395775	2.416905	4.446204	1.283533	3.721833	9.049139	6.125594	7.45902	3.984269
0.031623	0.07925	12.422258	5.107258	8.718335	10.238466	9.257359	9.762429	10.225279	0.992008	10.563727	1.605973	7.533116	13.462919
0.031623	14.368459	12.950163	7.372565	0.703109	2.247269	14.723122	3.295216	12.924287	7.389523	9.026288	4.9834	0.703572	9.281403
0.031623	1.009851	13.866626	0.893955	4.343239	3.42377	12.480416	12.045194	3.488569	10.662597	13.238203	8.044556	2.930828	13.540573
0.04217	9.313411	1.220113	9.071414	16.802782	7.652885	5.462833	1.856669	7.956934	11.262689	14.883594	9.271981	2.72252	2.480007
0.04217	11.177093	8.891861	7.54303	8.689084	11.60088	3.380251	1.455164	9.410693	5.631482	7.892865	10.209104	5.487328	8.588994
0.04217	3.661746	3.864067	10.583997	3.960266	10.262578	7.331761	6.532257	7.397173	10.22527	10.372231	9.057603	9.23603	7.472851
0.04217	8.936352	2.399233	7.647644	4.72802	12.240949	9.48291	7.018562	3.182	12.684175	0.196747	10.521884	17.764063	3.155291
0.04217	6.173115	10.413798	6.469456	0.622077	7.564876	2.578979	11.992809	11.620339	6.06388	13.114571	8.494913	9.374258	5.474758
0.056234	11.746618	9.571375	8.240423	6.652981	10.059888	5.207429	10.668979	4.570647	5.439935	13.588397	2.856342	4.938843	6.40191
0.056234	0.31744	0.968272	11.098838	2.360754	6.177648	1.587237	17.894337	3.618192	14.593735	16.056997	17.49417	1.452347	6.323799
0.056234	4.857384	8.519616	18.855119	8.924002	4.883701	4.414497	2.994977	2.955799	11.490801	0.33783	4.139066	12.460285	15.110689
0.056234	6.523053	7.222554	11.025897	7.07776	8.781584	6.462438	5.885473	2.802997	4.819906	11.366787	10.442484	12.768279	4.764554
0.056234	3.305918	12.560419	10.002397	13.713689	11.794533	3.978939	17.204931	5.243779	1.302683	2.736642	6.422064	8.327391	3.350384
0.074989	0.765422	6.550357	6.157183	7.590922	10.531097	2.327121	11.103594	11.330438	11.290743	10.929208	8.305037	2.924397	10.119491
0.074989	11.651972	11.776083	10.034164	6.913873	1.348011	10.436315	2.220838	4.234688	6.767489	4.301321	9.730134	9.791352	10.718769
