CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
5.115294	10.455233	4.688594	4.581303	10.12139	2.091687	14.800056	7.602025	15.840488	2.853414	0.01	1.254756	11.596109	8.98965
9.03466	6.062306	10.019717	7.335597	0.798378	9.041575	5.142615	9.616235	5.922868	10.449393	0.01	6.881464	9.568242	10.116951
9.649304	3.307146	10.570953	10.462407	13.924351	1.993263	2.527115	3.470453	0.672422	15.208662	0.01	13.320463	11.048879	3.834582
6.446767	0.602624	6.700331	3.89167	10.262641	9.646146	11.643336	11.959603	13.015049	1.993585	0.01	9.800697	5.365524	8.662026
9.593232	9.15204	6.022549	6.342669	3.922903	12.193405	1.285101	16.214099	15.627022	9.321705	0.01	0.930452	4.569238	4.815585
8.794585	3.136219	3.788204	2.117574	11.658582	12.454723	2.452641	6.92125	3.869577	12.738419	0.013335	10.045084	10.812044	11.197763
12.722286	9.545198	5.077996	12.905863	6.103419	10.691811	12.597013	0.589626	7.954122	9.900026	0.013335	0.64993	5.74872	5.500654
11.893467	10.017285	4.490229	3.544721	9.230877	3.182353	8.017135	8.652307	12.630554	4.241762	0.013335	10.542839	7.138462	6.404674
5.023571	8.868694	11.201556	0.396537	17.33	0.47267	12.917259	8.578543	2.47351	16.121973	0.013335	8.132598	1.832868	6.636885
1.169399	8.875739	9.540159	4.253883	12.065034	11.146661	1.017582	11.808798	10.480113	4.717836	0.013335	15.126919	6.137407	3.647133
2.092678	1.481299	7.424481	12.892696	12.833626	14.345673	11.760568	3.18261	1.235121	2.640389	0.017783	11.25637	8.063119	10.773586
8.947092	11.571718	3.984373	2.951912	5.603865	11.053592	9.467893	3.448813	2.730822	11.21632	0.017783	5.016342	12.372959	11.616516
7.010929	8.943243	17.068347	4.233907	13.70379	0.051448	14.933844	4.514135	14.835588	1.208051	0.017783	2.57365	6.532908	4.372377
2.328767	2.700338	12.412486	0.465484	12.402859	5.072955	5.949918	11.20558	9.211824	7.725133	0.017783	13.845265	8.529745	8.131863
