CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
13.128502	0.571546	13.90001	2.532179	9.680927	4.271714	8.633715	9.601536	9.86881	4.209849	13.470948	6.801176	3.319088	0.01
0.853931	10.434057	3.401444	11.204577	6.903703	8.455036	2.914043	4.083727	13.348053	9.917687	10.888751	8.751038	8.833952	0.01
8.877683	12.321057	8.207687	13.829031	10.829385	2.58583	7.70763	9.821137	0.651	13.390781	4.016428	1.0566	6.695752	0.01
4.887233	12.658815	14.032722	7.903558	10.620164	7.337182	3.083788	12.503943	15.204882	2.975924	1.806601	1.53708	5.438108	0.01
12.380897	8.764657	2.683653	5.859986	7.73711	2.946815	17.638835	3.146701	7.299001	4.878649	14.880939	7.456649	4.316108	0.01
4.799907	6.694287	11.193229	11.319338	6.654448	11.981292	1.298575	10.716382	10.067406	4.763438	11.790985	1.595405	7.111972	0.013335
12.226948	2.886183	3.438652	4.732496	5.022941	10.905385	7.421008	7.108205	2.840915	9.041657	9.288013	11.875976	13.198285	0.013335
6.764002	14.564241	1.636758	0.342443	7.616276	3.783014	7.754703	10.681645	12.667994	9.445288	10.081801	4.088657	10.559841	0.013335
15.516581	14.220848	14.41548	12.513142	0.575676	9.540721	2.993363	0.039225	5.988422	1.997686	14.73779	7.318113	0.129619	0.013335
0.944468	8.829433	11.871156	8.162158	11.084188	9.416701	3.930898	10.004352	8.82487	4.379829	13.037031	5.014595	4.486987	0.013335
4.573431	7.052349	8.840342	3.045661	10.038411	8.14951	1.955423	13.324995	9.578948	6.577029	6.394358	19.085	1.366761	0.017783
1.638718	2.714478	8.447378	3.916909	0.052439	12.02373	14.311346	7.488036	1.40976	7.702612	11.365244	15.9612	12.950367	0.017783
12.094533	13.307126	7.570566	7.212034	5.210012	11.559348	12.726868	2.448877	5.55475	3.185923	0.386613	9.013992	9.711575	0.017783
12.089651	10.207445	3.142902	9.200815	9.089891	6.32479	4.153351	8.047392	6.315713	10.663206	9.694212	1.163254	9.889595	0.017783
13.248382	1.164431	6.392862	14.386707	7.17948	1.559762	0.594952	5.838422	13.365071	5.546965	11.535149	12.963982	6.206052	0.017783
9.515698	11.100453	5.41915	11.379517	7.968245	8.164681	4.499565	0.905578	13.466281	9.171049	13.869329	0.382836	4.133904	0.023714
12.962119	5.121312	0.218139	10.592441	8.470389	4.684848	6.873231	4.506213	7.282562	9.582543	11.907712	12.716017	5.058759	0.023714
5.570293	2.127347	0.538197	12.324439	7.526911	1.640176	9.258934	3.814035	13.296106	11.727504	6.833858	12.010886	13.307599	0.023714
0.65506	2.439596	8.050751	16.905917	4.948876	17.279514	7.220374	2.381071	1.409033	7.800889	10.395447	2.863987	17.625771	0.023714
8.39979	13.564533	7.390122	7.710187	7.697319	9.712872	10.40313	11.925824	13.462255	1.242204	1.209854	1.031436	6.22676	0.023714
4.571204	1.25559	5.03992	8.244442	10.417143	14.075396	15.541004	15.501101	3.7363	2.756545	2.493852	14.870446	1.465435	0.031623
11.566655	4.142466	1.422173	7.19959	7.822621	10.506912	6.558498	5.770973	7.248448	12.106404	8.955995	6.526663	10.140979	0.031623
0.255359	16.158517	2.832001	5.504997	1.37594	2.855412	9.884652	6.307259	8.874418	8.639487	13.917978	13.38637	9.975987	0.031623
4.806791	3.119612	1.675436	4.649867	13.153576	12.686201	7.019108	14.749993	14.610603	3.576585	10.585302	3.863097	5.472207	0.031623
14.919627	12.401864	9.210191	8.837519	2.518977	4.589597	0.465918	1.919038	10.491443	9.764945	10.169283	9.364654	5.315321	0.031623
9.90731	0.55884	6.793805	15.926352	8.123361	6.415371	7.427114	4.677944	5.005006	15.103212	8.235658	11.385905	0.397951	0.04217
8.019011	4.223579	1.502038	9.446139	14.819581	5.454212	13.261429	5.291072	13.329117	1.386077	9.068816	8.34717	5.80959	0.04217
5.447647	12.932206	3.031137	9.536047	11.135185	2.04551	9.827408	6.977725	8.448826	1.040363	12.247253	6.102761	11.185762	0.04217
8.402542	13.856332	7.917522	11.744489	1.608234	4.062466	10.632661	4.890489	8.672506	10.928156	4.020042	8.189019	5.033372	0.04217
0.723757	1.374272	0.054802	14.468213	14.330546	5.133404	10.475252	15.696199	5.534317	11.483491	0.176166	9.407077	11.100334	0.04217
12.539571	1.968098	8.975531	15.485238	5.712592	11.57271	2.084379	5.297503	7.878772	1.791967	11.335249	2.403182	12.898975	0.056234
1.766563	11.775055	10.944972	4.272015	7.806415	1.174864	13.419982	9.275815	12.63137	3.606203	10.484897	8.389491	4.396125	0.056234
7.236074	7.833752	13.038023	10.57799	5.753892	11.409204	5.578216	9.812356	11.725949	2.826388	1.92719	3.311216	8.913516	0.056234
2.918151	12.689177	0.424093	13.775826	4.362185	3.458994	12.765972	2.324997	6.508335	13.49996	10.715006	11.189256	5.311813	0.056234
11.220606	3.279173	2.888121	5.073939	3.266743	12.295968	6.046843	11.977759	12.204143	10.948466	12.369887	0.698547	7.673571	0.056234
5.193146	15.92416	1.858037	4.82524	9.341202	5.159283	9.687492	10.020908	7.414417	5.140328	11.174366	0.860696	13.325737	0.074989
11.044121	8.908036	6.847682	6.080057	4.947447	8.103987	6.191055	3.115981	7.890992	7.042282	10.688352	6.65599	12.409029	0.074989
12.363628	2.448073	4.712767	0.241762	10.700557	11.923019	10.354403	7.534514	6.36606	8.947043	5.994596	7.883445	10.455145	0.074989
12.194873	6.375022	2.03828	12.071856	11.067513	11.968988	7.798157	0.08966	4.533756	2.429603	10.295776	11.063883	7.997642	0.074989
3.358362	2.40051	1.741214	10.066783	10.234587	9.499714	10.794226	0.991918	15.660833	13.934921	15.556088	3.960836	1.725019	0.074989
11.424275	7.672287	4.227192	1.217048	1.19802	14.394004	4.168423	7.517362	6.616895	6.217892	14.265764	7.607516	13.373321	0.1
10.126772	6.14413	0.653517	6.568722	6.357702	9.829203	7.803757	11.91293	3.381177	12.65244	4.647995	8.844984	10.976671	0.1
11.03821	1.939863	11.063411	5.386657	0.499873	11.742586	5.999131	5.712294	12.080116	8.088892	4.945582	9.838923	11.564464	0.1
7.724731	14.547282	5.677178	13.206808	11.121414	0.436264	4.720475	0.680367	3.537878	13.686439	11.28746	3.677002	9.596701	0.1
14.334673	2.713981	9.483573	1.281992	9.20908	4.696929	0.169684	13.38869	13.233644	15.53774	13.431754	2.389611	0.028648	0.1
5.118397	1.724519	13.277874	6.546641	0.748282	3.773734	5.410499	11.275801	9.196393	17.835736	12.756866	11.818376	0.383528	0.133352
3.935625	2.414044	3.628983	4.907004	10.135747	16.366809	1.964442	6.410537	10.233164	14.836052	11.462547	11.806549	1.765148	0.133352
5.990911	0.077799	0.906201	14.30581	10.622599	7.240221	5.238979	5.019694	5.168082	10.167308	11.732266	10.770648	12.626129	0.133352
6.870453	0.62803	3.603632	8.805759	11.868377	9.195124	5.093802	7.272596	4.193442	4.222962	15.069919	10.404857	12.637696	0.133352
4.340877	8.061075	7.912359	5.843661	10.405799	4.30345	9.913328	12.226575	12.154917	7.622886	8.744516	2.468739	5.868465	0.133352
1.942019	9.894731	7.654777	7.20299	11.319714	11.018708	9.20595	2.629312	8.772618	11.8319	2.987504	5.327427	10.034522	0.177828
0.785924	9.665859	15.565506	0.835221	4.435123	4.540118	8.491933	12.416024	11.272146	2.443458	10.928065	10.568775	7.874022	0.177828
3.53796	7.45986	5.693915	1.090755	0.463763	2.682688	5.569049	15.54746	12.924563	15.943383	8.81475	1.813937	18.280087	0.177828
14.778655	7.104195	5.154469	9.155982	8.501486	12.351007	11.285506	15.137911	4.422466	0.633483	5.197223	4.022265	2.077523	0.177828
0.544132	9.258306	6.563318	12.62059	11.904554	13.71201	14.897807	2.411882	3.075397	14.256334	5.922424	4.347107	0.30831	0.177828
0.469187	7.720483	5.717607	5.844274	12.41328	14.594946	4.246387	8.79734	4.494929	12.34032	7.769325	14.166123	1.188661	0.237137
11.656115	1.916826	11.661098	0.211494	8.075366	0.302506	2.950504	10.477127	8.051121	10.781002	11.371852	10.794914	11.512936	0.237137
5.582455	15.11234	1.9243	12.233917	15.415981	4.39914	2.850305	11.159753	5.041294	6.274058	0.346762	6.231395	13.191162	0.237137
16.754571	13.988817	7.236655	9.598356	5.587353	7.52944	4.130396	3.809914	0.259496	5.370343	10.735201	7.626626	7.135696	0.237137
10.564888	10.349357	4.631746	3.777671	9.350346	6.893823	4.914652	11.487826	9.915055	8.614349	8.609164	4.08549	6.568494	0.237137
6.924496	10.264546	2.214129	10.585975	6.032659	1.447268	4.605977	8.380212	11.854834	5.164018	12.338885	11.79454	8.076233	0.316228
5.277551	4.468913	11.054099	2.617643	7.693254	2.159865	12.494922	10.476651	11.829674	9.954486	8.406587	12.48785	0.762278	0.316228
