CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.070128	11.139306	6.377195	10.78451	5.818265	0.01	11.922307	4.130097	9.954671	4.620862	3.923223	9.826866	11.215466	10.207103
15.181404	4.66863	7.053162	4.605208	2.999869	0.01	15.3213	1.555785	1.995635	9.189983	10.12046	9.458522	1.746265	16.093778
13.300256	6.924014	10.849407	2.220989	11.948244	0.01	9.821592	3.018785	2.951638	8.866791	12.180978	5.714843	4.94725	7.245213
8.786866	1.445324	4.26745	12.750695	7.871159	0.01	3.54535	0.313548	8.093428	17.887217	2.14979	0.197796	16.996208	15.685168
2.584843	13.1979	8.665349	11.84416	12.024805	0.01	2.690419	3.836088	10.280801	4.401609	12.773703	10.243741	4.558464	2.888118
1.111317	14.10326	2.266409	9.29072	6.372829	0.013335	9.501011	3.150569	11.090765	13.659182	4.521167	6.97517	8.213755	9.73051
4.683609	2.035193	1.132222	5.572548	3.669395	0.013335	16.723849	7.22394	12.107624	17.550891	9.185699	0.309218	13.610494	6.181983
13.229065	12.499187	5.619317	0.148225	12.881284	0.013335	11.18821	14.246696	1.983568	5.758517	7.123719	5.362793	2.129991	7.816093
6.430841	3.748687	10.460348	10.331486	17.895406	0.013335	0.588486	12.2543	4.464356	6.810329	6.497209	5.205122	11.016004	4.284092
12.466741	2.030741	3.373063	3.333312	2.984095	0.013335	2.134341	11.838761	15.101925	7.648382	4.786383	16.27632	10.334314	7.678287
7.186741	4.911652	8.854306	1.049971	8.872333	0.017783	1.971183	13.960834	6.113753	2.368926	6.253833	13.998872	12.613006	11.826806
0.161467	15.274994	7.439416	2.762491	1.123984	0.017783	5.466515	10.969251	10.601109	2.000519	7.432934	15.514054	16.27032	4.965163
8.197707	7.33554	3.692423	7.471124	10.818268	0.017783	11.627341	6.49294	10.989848	8.901777	11.724137	1.840514	6.687776	4.202822
4.165528	7.788521	2.353541	10.212244	1.864399	0.017783	7.201471	11.433699	8.54073	2.270406	8.120107	11.990708	8.384318	15.656543
4.268053	1.075443	9.519919	10.653019	10.716612	0.017783	7.488956	8.366713	9.046224	6.865112	5.685121	11.28989	7.426514	7.58064
5.887068	11.142689	2.449255	14.56494	11.896049	0.023714	0.282071	8.057747	5.645199	12.683828	11.428039	5.043361	6.915856	3.980185
4.444372	0.812863	14.474739	6.992664	2.601679	0.023714	13.20709	4.019317	13.838048	10.576888	7.594286	3.627073	4.707893	13.079374
8.515632	9.571756	7.766054	5.446336	8.62967	0.023714	5.899682	11.301626	9.386565	1.183154	9.36041	0.086163	12.306559	10.522679
6.958735	4.448161	0.560475	13.713276	12.199589	0.023714	5.056462	8.589748	15.250303	15.861086	0.111049	9.769291	0.50757	6.950541
8.337396	2.35208	1.490259	13.849334	13.837085	0.023714	10.713051	9.752093	0.207618	15.924242	1.234046	5.995117	0.375914	15.90805
12.820845	6.279935	5.924402	9.243824	9.983716	0.031623	10.971602	11.776614	12.768374	10.695249	2.718245	3.404641	0.31537	3.065561
13.762442	7.98741	2.855672	9.185595	8.041739	0.031623	10.69975	8.630391	1.262663	6.593536	1.170366	7.854493	8.513466	13.410854
11.952679	10.997078	10.518145	3.567437	4.948085	0.031623	11.016298	6.475463	7.589051	13.143634	1.895247	12.953516	4.677158	0.234587
7.983276	8.49624	6.071844	10.908729	11.135296	0.031623	8.258439	5.609222	3.435503	8.286338	8.877927	11.683114	4.665825	4.556625
7.019164	6.229225	5.556931	2.509644	12.388415	0.031623	0.500342	6.248126	12.113612	11.995514	3.8217	14.490635	5.816485	11.278583
10.305563	2.34704	0.712278	10.472895	8.509092	0.04217	8.428519	4.865946	10.620542	10.826181	9.270989	7.492432	6.658711	9.447641
3.267347	1.05784	10.090469	9.338214	10.017564	0.04217	3.412267	6.186636	9.634054	11.527757	9.872983	14.918512	2.683679	7.950508
3.808994	4.947709	6.410986	10.763522	1.068956	0.04217	12.609656	5.958882	10.424909	10.913404	13.046134	13.975101	1.676374	4.353204
12.261149	6.439026	7.566289	14.49327	2.049107	0.04217	5.875314	12.013019	9.831983	1.242512	0.585548	8.00439	7.193042	12.403183
4.310355	8.681058	9.036714	5.040025	10.156436	0.04217	10.027976	8.009549	9.436847	7.87104	2.805168	9.592996	5.969587	9.020078
10.813393	0.730202	5.216642	7.242205	11.341674	0.056234	7.58609	14.251959	10.63967	12.98782	9.808023	7.246089	1.308276	0.771721
13.280133	2.044637	2.462464	5.381503	3.681823	0.056234	2.452566	6.336123	13.016148	12.595437	5.335164	9.743488	10.924227	12.690051
9.837759	8.777508	11.834149	6.255925	8.758706	0.056234	0.185618	2.872376	5.857023	8.785242	10.520087	6.884696	9.56873	9.805948
7.048926	6.857843	13.112413	10.183143	4.493594	0.056234	5.250524	0.073754	3.304078	11.115136	9.434787	12.738491	8.304801	8.026275
1.609605	8.401926	5.984644	6.306472	3.988877	0.056234	4.846068	15.83813	4.08956	6.818697	3.121776	13.936552	15.848452	9.153007
9.009655	11.869405	11.732628	13.288039	5.490705	0.074989	0.449588	1.091264	2.460043	7.512901	8.589358	12.134781	2.367602	13.929041
1.501322	2.488173	4.564689	1.860223	7.882378	0.074989	18.939657	4.350741	6.827119	0.25379	11.443187	20.78124	9.83268	9.199813
5.613151	9.995561	6.0875	3.590959	13.237952	0.074989	7.81055	12.985907	13.692919	1.001966	6.214406	2.032606	12.61677	5.044764
