CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
3.665326	16.562381	0.01	6.095244	1.123868	11.503486	1.145571	14.012773	12.824076	10.691016	13.150615	3.959181	4.072687	1.183774
3.687828	12.026034	0.01	6.845014	8.087976	12.070293	4.190288	8.413063	9.255693	6.190232	6.231122	10.870049	4.246323	7.876086
2.657325	4.407141	0.01	0.458305	16.167809	7.446248	2.226505	13.706685	10.462302	3.546593	11.5608	2.675618	14.426451	10.248218
10.133246	14.198616	0.01	10.081323	0.21002	4.509952	2.931834	11.24393	10.823853	13.97845	1.479873	5.889974	11.457489	3.05144
11.657384	1.289841	0.01	6.185005	8.084489	8.151539	10.299335	9.389189	11.245585	7.439811	3.217962	5.601377	8.867358	8.561123
11.604046	7.863063	0.013335	14.139732	11.538732	7.306282	8.951741	6.398353	7.240123	7.889618	3.841468	6.227723	0.412324	6.573461
0.318995	11.944689	0.013335	2.509288	16.321162	6.483054	9.631238	4.90997	4.859884	15.150039	4.088217	3.927296	7.676844	12.165989
4.043368	13.018904	0.013335	7.720893	16.170842	7.004843	7.93181	2.912062	6.754297	4.816963	11.576006	5.016965	11.24464	1.775072
8.125436	4.976297	0.013335	6.975455	13.168913	9.69815	3.929391	7.266772	11.689918	6.802173	7.507326	0.95694	9.531799	9.358097
9.781855	8.848791	0.013335	3.506333	0.958946	11.574399	6.188473	2.560469	9.982224	12.451657	0.037133	10.97457	11.601675	11.520141
8.229616	8.203589	0.017783	7.387239	7.591346	8.220959	2.705529	4.874161	7.991534	11.457269	8.211499	10.939411	9.448971	4.721093
6.586947	3.004168	0.017783	3.252512	5.244702	1.847426	7.749763	9.261454	0.454474	4.008054	20.068531	10.645011	14.742771	13.116404
7.142186	8.822533	0.017783	7.305838	8.5505	1.438913	9.637636	8.425468	11.135537	11.545568	10.54206	1.525199	2.811827	11.098952
0.481367	8.191737	0.017783	2.982198	12.121658	4.9141	1.781786	6.051697	13.64304	5.946173	9.122169	12.902765	12.897918	8.945608
3.035733	10.472892	0.017783	4.561777	10.832185	1.735578	9.312131	3.549972	7.178558	7.383384	11.321685	7.662537	10.039261	12.896524
1.63569	3.478123	0.023714	13.801208	11.422283	13.888567	7.799114	1.204686	2.188053	10.223514	11.73144	7.6926	1.121328	13.789682
4.052895	0.319647	0.023714	12.155805	2.301372	13.069475	14.585289	6.294804	7.316652	4.009967	7.271286	8.861456	9.288398	10.449242
16.293652	9.555067	0.023714	5.019593	0.254721	3.079374	4.794054	15.809318	3.169217	0.197087	8.980428	15.564439	1.904505	15.35483
10.296978	7.672403	0.023714	6.132286	13.149562	12.584516	8.730486	0.190633	10.561286	3.614987	7.326661	0.53603	12.957682	6.222777
11.880566	7.935382	0.023714	3.267619	9.317373	8.261828	4.442495	9.031632	10.136396	11.652058	12.809067	3.44837	2.302341	5.491159
2.647631	16.576112	0.031623	0.681161	13.167337	3.145915	5.49407	9.76947	14.944538	6.04065	14.955788	0.9539	2.810601	8.781205
17.564555	8.953576	0.031623	2.701542	2.740476	13.371734	8.174414	4.807382	9.134509	10.201473	5.116092	1.971569	13.157647	2.073408
0.53061	12.377678	0.031623	10.805556	11.868639	6.650411	4.993971	6.517055	5.834396	13.274554	10.919418	0.246546	6.204458	9.745085
15.393756	5.570212	0.031623	8.385854	1.971971	15.60543	6.261304	5.485835	5.556377	13.56105	9.707638	10.171801	0.07916	2.217989
1.834155	15.998426	0.031623	15.681416	0.218446	3.730828	9.70455	10.09392	5.650022	4.328436	4.618705	2.345885	15.459569	10.304018
4.187213	4.901239	0.04217	2.552879	8.298107	16.14842	2.016021	5.156365	4.815468	6.996906	1.268888	11.183313	9.875377	22.557635
10.761849	14.97462	0.04217	1.737897	9.430662	8.18102	13.254621	4.033102	3.563209	11.336087	4.069504	15.883618	1.89238	0.839262
14.886391	2.589174	0.04217	4.56439	6.237105	0.616774	7.887255	12.312826	3.800518	5.924919	6.772215	12.637432	8.002253	13.726579
7.753124	10.365312	0.04217	5.347552	8.433821	9.44317	11.004714	10.393459	6.838666	0.871747	9.112772	0.280788	12.391575	7.721129
12.792392	12.558184	0.04217	11.503346	2.347127	12.636297	14.487704	3.573724	5.37504	12.038489	5.283331	1.32626	0.080635	5.9553
1.626883	11.627658	0.056234	1.593369	1.548296	13.123648	4.561689	17.436353	4.677168	12.37785	8.126264	15.13881	4.836395	3.269381
10.760504	3.246118	0.056234	14.797663	6.19997	11.390807	0.688755	14.753451	12.190546	5.154544	1.397161	4.786945	3.80817	10.769131
5.745631	11.483329	0.056234	9.286206	7.893562	3.212368	1.167882	8.527657	9.329498	5.439693	10.50307	12.500621	4.46697	10.387278
7.361192	12.654833	0.056234	8.742044	12.162565	6.920753	11.695021	8.548973	5.136495	6.591052	2.984664	10.439252	5.220579	1.486341
9.671326	6.405977	0.056234	13.252477	12.830543	2.54171	6.233207	1.692141	7.757436	0.942676	5.592919	9.538204	14.557532	8.927619
11.543083	4.651451	0.074989	11.731855	9.691777	1.722672	11.623862	18.95841	0.464786	1.579858	15.372996	5.491502	1.263103	5.829655
13.253945	9.237781	0.074989	7.449556	6.205686	6.567566	2.653193	6.324251	6.476314	12.621782	12.275096	3.573019	5.03887	8.247952
10.774174	10.582869	0.074989	9.536697	13.396552	3.235377	8.341552	11.463279	4.473734	4.316415	5.598926	4.502175	8.504519	5.198742
5.235298	13.048223	0.074989	7.554587	4.09487	12.041024	13.684524	6.889737	1.997589	2.509622	7.97927	5.8538	5.415216	13.62125
13.183552	7.036971	0.074989	11.658055	11.698999	3.351734	1.322439	5.758532	3.283955	10.137224	1.167419	16.201481	12.547053	2.577597
12.705171	10.893804	0.1	1.683287	12.726752	9.162073	4.723573	6.093676	6.015259	12.590611	12.691114	3.823547	2.706171	4.084962
9.911215	0.748703	0.1	9.57196	0.932748	8.614062	8.428752	10.870479	5.296307	0.561728	10.465653	5.183501	14.243527	15.071365
0.079196	6.453783	0.1	8.106401	23.736289	13.874899	1.286595	6.436283	16.662463	13.909786	1.836012	2.361047	5.119909	0.037337
0.271558	9.654619	0.1	10.119783	3.333273	7.67429	3.519437	5.371463	10.544138	14.687975	10.492571	15.035701	3.605063	5.590128
11.289535	10.444637	0.1	8.919538	11.294534	10.48511	12.136758	1.887056	4.880874	6.206695	11.213966	0.007056	2.195538	8.938703
2.022195	9.063242	0.133352	3.357262	12.29439	0.567477	16.498156	7.516174	13.91205	0.512767	1.409779	7.168427	18.394053	7.150677
2.884728	10.119666	0.133352	11.543733	5.089275	8.662187	5.540639	10.666466	7.444505	13.16198	11.362337	1.780003	6.334019	5.277112
6.883959	8.739316	0.133352	3.898909	8.221133	13.223448	14.426392	4.84414	2.353253	4.227122	7.966158	11.652053	11.249571	2.181195
4.893043	3.752633	0.133352	8.809742	4.944945	11.308343	11.031168	9.305309	6.98914	2.313896	5.715706	11.091551	10.866974	8.844198
15.447674	5.542956	0.133352	17.087062	8.262307	8.360973	13.201209	4.247742	4.964053	2.784344	2.250454	0.875614	7.107306	9.734953
2.697358	11.17349	0.177828	9.665735	5.808152	8.240968	16.923246	0.145237	13.34035	1.509564	14.25946	0.693075	15.309447	0.056089
12.307236	4.767009	0.177828	9.547906	4.523	12.02631	11.505697	11.869252	12.046094	0.638823	13.122188	0.073748	2.394321	5.000586
1.117377	10.708686	0.177828	11.694642	9.996391	6.424288	8.130431	11.18331	0.565117	8.246759	13.357108	2.277712	8.101205	8.019145
0.099879	10.284943	0.177828	2.274593	13.750222	4.353255	16.140855	11.386779	6.246881	5.279693	2.569291	10.143117	10.762414	6.530249
1.763231	8.282228	0.177828	10.086029	10.740084	4.114524	6.601362	11.677543	8.072787	11.466744	11.779108	5.167751	6.967484	3.103297
10.230743	6.116658	0.237137	4.430776	4.122366	8.529754	11.428696	12.424902	5.401083	0.662448	7.06075	12.276945	10.022903	7.054838
11.557078	15.003183	0.237137	5.686398	5.908034	13.36565	9.24464	2.679126	2.331158	8.376409	1.981126	3.303354	13.558579	6.768129
5.714671	9.332679	0.237137	10.507488	3.095008	12.718968	6.397558	4.497806	8.435553	14.631674	4.326777	0.934701	11.304476	7.865504
12.790829	2.370015	0.237137	2.979473	7.54969	17.646016	8.584211	5.147857	8.956854	4.302716	8.230984	1.485191	12.396487	7.32254
10.593133	10.194268	0.237137	7.592363	2.48996	7.621621	12.574589	5.450769	8.078853	6.893301	8.070406	9.222995	9.544571	1.436035
3.898769	7.636268	0.316228	19.826821	0.738813	6.961271	4.563832	16.659906	0.709266	1.730464	5.301712	9.11821	13.935755	8.602687
3.274627	17.849834	0.316228	12.440955	2.744504	2.688681	0.811346	5.160024	16.555302	16.647416	5.012137	12.015914	2.993071	1.489963
7.730057	5.204821	0.316228	9.356636	14.205402	1.288786	5.596571	9.567755	11.510439	4.132567	6.002154	13.151453	9.22378	2.713351
10.073277	11.171005	0.316228	1.325459	8.248999	5.321426	6.694616	2.327589	11.394296	7.696965	11.089443	7.637054	10.448894	6.254749
9.606635	6.958649	0.316228	15.285579	0.06365	5.583699	2.850112	11.042323	12.451261	7.63866	15.981687	3.133897	3.61137	5.476251
