NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
6.296222	6.593553	3.634669	8.401877	5.532637	0.488779	4.501603	4.676626	4.485626	7.855003	6.233002	5.0	3.405832	0.610016	4.109439	6.895595	3.067066	1.750747	5.239761	7.74983	2.014285	1.457832
4.498531	5.976429	5.735618	4.898315	4.180601	4.961858	3.061264	6.504837	5.015502	5.591568	0.360489	7.222222	1.735696	3.783346	5.098108	2.773257	6.247666	6.080226	2.227954	5.899655	3.165092	4.981766
8.034043	6.855554	3.56166	0.952987	5.065035	8.349363	6.661905	8.112039	0.263987	1.5562	7.211413	9.444444	0.330756	1.397638	5.795721	2.72212	0.667583	7.397416	5.438218	5.743345	3.467364	0.971208
0.683813	4.496512	9.222017	5.866923	4.633776	2.164848	0.11854	8.286155	1.423401	4.852116	3.766929	11.666667	7.128849	2.970119	2.523218	0.928082	5.171024	0.506736	3.265941	7.814448	8.73736	3.772526
0.843957	6.09694	5.574105	7.27562	4.742556	1.452141	3.485319	1.510609	2.358024	7.480939	4.573721	13.888889	6.581825	6.878342	8.365663	7.52241	7.440279	0.270826	0.421379	0.436153	2.423801	0.376501
8.232472	4.318534	5.995618	3.280024	1.249899	3.793642	4.665086	0.512208	0.354987	1.281598	0.380019	16.111111	7.551996	5.999204	3.546488	6.551316	2.379797	8.313705	3.575759	1.360083	8.186569	2.359885
0.941636	4.2957	4.353839	5.88331	4.126467	2.941239	5.942769	2.181505	5.42179	3.645784	3.318283	18.333333	5.601515	0.264925	3.495512	1.75669	5.093535	5.256874	4.995678	4.188276	3.879015	4.082324
5.992948	6.470439	2.549258	3.736059	5.563166	2.16849	0.64045	5.096148	4.367962	3.044528	5.977003	20.555556	2.23684	5.33468	1.32033	0.824632	3.362304	6.130605	5.286963	5.498375	0.653096	3.190167
3.495996	6.219161	4.824283	1.39525	4.181651	6.973988	5.549514	2.68178	1.497412	2.105028	6.431389	22.777778	0.228304	6.966879	4.031895	4.029812	5.674538	2.48141	2.281187	0.192212	2.487635	3.4929
3.547876	4.701822	3.624222	4.963694	4.290501	3.004336	6.06804	2.698806	2.23478	0.171074	4.993354	25.0	3.154334	4.315937	3.782038	3.503883	0.963157	4.146504	3.213492	1.145003	3.974513	6.502633
