NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
4.419223	6.554306	8.550591	4.682053	4.024613	8.038234	8.403983	5.194364	2.508062	2.61025	0.634632	4.54887	1.454602	7.08146	5.0	0.398632	7.418951	5.522799	4.954689	0.91754	0.460193	6.621952
1.208443	0.566447	8.686675	6.574894	6.621786	8.510339	2.699247	7.809437	4.096066	5.380149	1.193068	2.419362	5.760853	8.681833	7.222222	4.555256	3.950491	0.668885	5.437464	4.205085	1.927738	1.82426
1.070877	3.892729	3.122944	0.396099	4.136667	6.971747	5.370877	0.920585	7.225367	7.044564	6.834553	5.334207	2.629731	6.930889	9.444444	4.53881	6.684875	6.642242	6.782122	0.479296	3.024427	0.521946
7.193401	3.105923	0.545713	0.189982	2.878993	4.886075	1.075792	3.145848	4.138843	3.007534	2.42044	7.149096	4.197004	3.440754	11.666667	2.797194	2.117887	7.774467	8.338656	6.811959	5.00404	8.11373
5.224435	6.750536	1.778933	6.285147	6.2206	4.548181	1.635307	0.830336	2.940643	6.997544	7.123326	3.754185	3.629444	7.24223	13.888889	3.307873	6.400171	2.832394	1.518641	3.554497	2.395075	1.141616
2.374529	5.348532	2.586403	0.122856	3.088362	5.499751	7.478971	3.489035	5.635666	1.05696	7.095005	4.064879	0.055513	1.682138	16.111111	4.194824	0.123241	4.97587	3.759625	7.654287	4.970732	8.631709
6.7272	0.817971	2.756364	5.903462	0.291436	4.841338	3.038235	0.155868	6.150287	4.979266	1.128865	7.170722	5.646454	0.29489	18.333333	1.838761	7.943299	7.084291	1.829113	1.987783	5.650251	5.43081
5.861985	4.756791	7.042172	2.994715	3.731463	2.006909	1.048749	6.803603	3.60871	2.34119	4.312478	4.874825	6.102196	6.531887	20.555556	0.131423	4.872466	0.921929	5.221121	0.147122	0.880811	5.251897
3.877061	4.295696	2.414416	7.114521	3.401252	5.208541	2.331155	1.024016	6.568743	0.00656	1.609474	4.27102	4.846808	4.391754	22.777778	2.116094	5.686642	4.515934	6.40331	2.851016	4.268692	0.019519
1.884292	5.004266	2.749082	3.630742	3.850492	7.541385	1.702519	5.552985	7.115678	5.692489	2.65781	4.730587	3.319508	0.919144	25.0	2.116242	1.541683	3.990451	7.071457	1.637013	2.00888	0.283293
