NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
3.495756	4.539096	4.761319	4.821254	6.709408	2.929055	0.90125	6.0596	2.887417	6.602713	6.661816	4.387229	5.832346	6.452934	2.910003	5.10484	6.644736	3.063964	2.614589	6.571587	5.0	1.049087
3.108925	6.141088	1.559476	7.58199	6.298234	5.787523	8.696201	0.243248	8.059352	5.986992	5.292396	1.130779	5.459881	4.123915	0.083196	4.863625	3.725924	0.817774	5.229241	7.928255	7.222222	0.659762
9.905333	5.574277	5.256996	2.350662	0.363415	5.101655	4.633784	8.3753	0.515746	2.71546	9.394636	10.133802	1.186826	0.78177	1.316865	5.94434	6.732655	2.263773	3.018027	3.627993	9.444444	1.362242
5.52711	7.82766	0.494707	2.504311	6.303742	0.808185	7.288474	3.694725	6.472776	4.731208	6.559893	3.851899	7.739225	5.962161	6.335013	0.475853	4.951363	2.008316	1.015705	2.287363	11.666667	1.493646
4.689895	6.753319	8.426818	0.942013	3.375214	1.172018	3.661732	3.428897	0.834417	2.518886	7.980714	8.52777	6.04501	8.020029	2.294619	5.355604	0.084864	1.515422	4.086116	0.982929	13.888889	5.414824
2.377656	4.855267	2.925072	4.367626	2.257716	3.39593	4.430793	0.651019	2.909521	6.980354	6.737692	7.010387	5.616752	5.459339	0.232575	3.314391	2.865491	4.499418	4.115898	1.704755	16.111111	7.181238
6.55361	5.719616	3.811305	6.37048	3.307709	6.201443	1.003489	3.322747	3.798625	6.127493	1.433609	5.614204	1.874636	1.831025	0.999231	2.489493	5.281986	3.498225	3.623199	3.017416	18.333333	5.787126
3.847922	1.245089	0.253956	3.203321	6.654156	4.499257	4.383212	2.671041	4.668511	2.310632	4.111838	4.324521	4.909523	5.848931	3.487197	6.05073	2.983002	3.062302	3.324241	5.727522	20.555556	1.877542
3.48311	2.678507	1.276045	5.286675	0.386731	6.774941	1.433252	4.431825	1.238784	6.429228	1.501764	1.837506	6.530858	6.28082	5.550942	2.30123	2.681805	5.949556	6.708175	1.9609	22.777778	2.499569
1.478535	1.284968	4.283585	1.597258	7.01289	4.375217	4.298956	2.547048	0.651436	6.149283	4.374881	0.588794	4.903127	5.606529	6.87984	6.921527	3.671636	4.192542	0.091487	2.073045	25.0	2.017416
