NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
1.895494	7.601752	7.130095	5.769341	7.987035	2.46881	5.773791	5.0	3.964898	6.262371	0.52767	6.450206	0.575277	3.133054	3.595807	8.086245	6.171678	0.249551	6.298538	2.683289	3.337095	5.038002
5.709952	6.933273	1.09071	7.308727	6.274279	6.685788	2.459308	7.222222	2.085148	2.960682	2.628776	5.758494	7.120819	5.421501	0.712892	6.347188	5.40474	6.648773	1.38922	1.072105	3.921329	4.844075
2.784362	4.268477	6.472614	4.999083	4.453213	5.169928	7.166458	9.444444	0.259009	6.910361	2.206858	6.048104	0.866641	4.22573	4.422205	3.790687	5.590056	4.788386	4.740396	4.17548	4.298622	2.918886
5.992244	1.221209	4.391584	7.947731	3.178675	1.484406	3.34846	11.666667	2.328547	3.12225	1.346296	1.035732	7.050595	6.723152	4.104512	8.165062	0.92381	8.152454	4.140276	6.157932	7.020379	0.498029
5.622674	1.570791	6.866424	5.521576	2.504607	3.001873	1.098153	13.888889	5.435937	5.357568	2.535305	1.328725	4.524028	2.976519	6.824104	5.089649	2.692955	0.541695	5.879034	6.503137	5.698374	4.537981
5.765175	3.908122	6.102407	2.071063	3.825946	2.699307	6.968353	16.111111	1.663154	6.162058	2.481034	7.392373	0.633963	6.409956	4.867771	0.909037	0.099723	5.3748	5.668153	6.271842	0.279956	4.334696
7.615215	2.534206	0.911064	1.659332	6.684054	6.103437	5.905329	18.333333	3.59756	2.688002	0.672041	3.326966	0.157333	7.692788	7.782595	1.822549	0.210827	2.881077	1.128695	7.784516	4.832824	5.67626
5.477994	5.408699	3.761012	1.801601	1.976585	2.954899	4.351096	20.555556	7.370038	4.392824	0.681749	6.19485	1.109326	1.957256	6.158428	4.498143	1.221097	3.397396	0.180565	5.816129	5.317209	5.41755
1.260753	1.832678	4.749873	4.776513	2.117537	6.330648	5.498755	22.777778	0.338151	3.341535	7.327258	2.218412	4.818862	6.202818	5.549445	0.590947	5.17308	1.867214	3.980712	2.503194	2.345359	4.398479
2.193553	0.728715	4.328238	6.413107	1.413072	4.945429	2.795292	25.0	3.421213	6.164704	4.684755	5.419488	3.151606	2.678445	5.987472	0.798137	1.215456	3.184152	0.854628	2.196817	5.875041	6.550681
