NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
6.199884	2.223315	3.840023	6.057984	2.711335	4.650818	4.086959	4.339691	3.753643	7.079671	4.809978	6.539145	6.885545	6.371816	6.884162	0.206978	4.147893	5.10394	5.0	0.66109	3.567597	4.878533
0.668655	3.626851	0.57325	5.882642	7.449141	6.212875	3.370771	0.35244	0.845709	4.847695	8.016497	5.375366	0.121531	8.422492	5.871948	6.841618	7.634266	2.347994	7.222222	8.306524	1.374889	4.634624
2.342276	4.736211	5.446179	5.616295	1.547381	5.748926	6.943174	2.717365	0.317281	6.732693	4.025199	2.262969	6.911779	3.145632	4.88515	2.212427	6.191771	6.463775	9.444444	2.06888	3.955439	6.284754
4.908707	0.949572	8.195534	5.498091	4.077851	4.450886	3.129498	3.166362	5.682284	3.267325	5.535903	1.791871	5.953484	3.127075	3.059896	7.291442	6.363586	1.517156	11.666667	4.963256	2.602958	2.800596
5.587966	2.328432	1.648034	3.534935	4.3278	7.022168	0.138145	6.640401	5.678897	5.026918	6.27219	2.341796	0.149546	5.101261	0.912194	5.183814	6.963923	0.9011	13.888889	6.98285	5.729147	3.639592
3.044344	2.738516	5.648947	2.323168	3.375303	5.595119	5.037223	5.546993	4.71181	4.26377	4.906708	5.179447	4.621065	1.514002	4.692822	3.252879	4.111459	2.004728	16.111111	2.954472	5.38865	2.977463
5.772569	5.47612	0.323713	1.999974	5.004482	4.814836	2.322317	1.49472	1.681461	2.354995	6.016395	7.472988	6.655091	4.011214	4.481456	1.527167	4.45422	4.55843	18.333333	6.40624	3.311523	1.526755
6.622001	3.870654	1.48249	0.274439	4.562549	0.52053	2.677701	3.471633	1.722133	6.336108	6.48755	4.854349	6.396967	5.023528	6.877066	0.508359	4.003335	4.881077	20.555556	4.347436	2.447315	2.077224
1.088376	0.471932	5.284408	2.037476	0.750792	3.769759	2.046398	2.365183	3.928788	2.7594	5.538002	6.29453	1.547834	3.508959	4.082336	3.038887	6.898707	4.683383	22.777778	3.569087	6.872847	6.685138
0.973613	6.797672	1.270208	4.490525	6.28195	3.977663	1.503403	2.263651	4.088995	4.191945	4.521382	0.88499	5.624862	0.912529	4.933777	1.049643	0.929499	3.356171	25.0	7.67492	5.931996	3.340606
