NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
7.043383	4.086329	0.980334	6.536533	7.156565	5.0	4.653793	3.360216	5.857056	5.352791	6.199012	1.957839	3.665618	2.718012	6.813435	3.453772	2.050367	5.957782	5.022003	6.407832	0.255732	5.471597
4.077166	4.107049	1.537003	6.223266	0.196656	7.222222	3.410547	4.950432	1.830548	5.797316	5.640626	3.305968	3.403258	9.273316	6.781064	7.941679	0.338992	1.353961	7.787817	6.440365	7.826669	0.554081
0.443436	0.380543	5.774457	1.649209	8.217345	9.444444	4.618705	8.868178	3.319515	1.21597	5.308685	4.25222	4.905923	8.109708	7.498577	1.699524	5.89227	10.601736	1.144246	4.272679	1.374498	1.008132
1.289753	3.355279	3.838655	0.662874	6.384253	11.666667	2.602803	2.496764	8.283877	5.124664	3.288199	5.226485	7.307676	5.581212	1.451365	4.962841	4.222744	0.206362	3.083696	3.47386	8.654894	6.835077
1.943861	3.125089	4.691577	6.222765	1.456776	13.888889	7.24629	7.024519	3.769156	5.819237	4.572401	6.735341	7.127108	0.405126	3.777414	4.39194	3.445438	5.119939	6.488977	0.239831	1.434257	1.074071
1.020443	4.975701	8.012983	6.544017	6.674567	16.111111	5.419715	6.725365	0.912942	4.92512	6.574308	5.017003	2.651107	2.960679	7.003034	0.795366	1.277831	7.866021	3.10104	0.848979	0.157904	0.424765
3.479681	0.546785	4.025761	3.734804	4.893188	18.333333	2.706864	6.950104	3.168079	1.042204	3.629454	1.550986	5.894157	7.129221	5.051625	2.992189	6.085849	4.688394	6.269309	3.180437	2.374712	2.272862
6.436721	4.807398	7.116825	0.114645	7.232345	20.555556	4.481604	2.810237	7.322579	7.292763	5.719172	0.79801	4.806451	0.282635	2.262433	0.310578	1.369353	6.357113	3.288442	0.421388	5.86639	0.347363
2.373438	4.44913	2.015402	6.165206	7.859981	22.777778	3.054667	1.882619	0.972667	0.504236	6.316282	8.069853	0.738627	0.292021	6.259459	7.933735	3.319774	6.962549	1.087276	0.063805	4.440215	2.461279
5.07613	1.218103	3.154307	5.592336	3.899645	25.0	0.854858	2.871454	5.814109	2.957252	6.28516	0.679295	2.042913	3.314341	2.362321	3.492322	5.878338	5.473362	0.224334	4.090205	5.381299	4.337916
