NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
3.684214	2.075443	6.490822	5.0	3.095844	4.49066	7.25416	6.543111	6.073234	6.921435	7.854411	0.331797	5.814388	6.965739	7.152524	1.075788	1.227495	6.474206	4.122354	2.024993	2.912621	2.414761
5.347923	1.858607	0.992166	7.222222	8.43292	6.299276	1.562309	6.370223	2.486239	0.660439	0.396012	4.183861	3.537643	6.475669	6.843147	9.208314	3.108594	2.652015	3.746744	9.710639	7.99977	0.905269
8.639781	1.094107	5.088891	9.444444	2.60016	0.19198	3.339275	3.934549	7.652896	6.630274	5.973643	2.126123	9.8595	7.225597	3.817783	1.902061	4.713421	9.097048	0.331653	5.509253	0.380064	0.447499
2.216559	3.883252	2.786389	11.666667	3.502855	4.497629	1.16021	3.251228	8.942712	0.251401	7.997047	7.520438	6.153979	6.043376	1.140535	5.386989	3.899498	3.28909	7.96117	2.220802	1.866895	4.361279
2.21307	5.731118	2.955657	13.888889	2.137343	7.179656	4.447395	3.243195	7.059366	7.630712	2.55925	6.784772	4.725385	3.006671	1.975014	0.473679	8.183067	2.708938	0.710857	3.957284	5.994383	2.4343
5.374534	5.007567	2.328282	16.111111	2.135552	3.490053	6.691944	7.313624	7.219839	5.750843	6.546595	4.401069	7.143018	0.230233	1.214977	1.568353	3.779578	0.815719	1.547181	4.992092	4.408019	1.929816
0.080105	4.341841	5.846284	18.333333	8.322021	3.535832	1.878463	2.666661	9.056288	3.6368	4.749313	7.506755	3.345304	0.846849	6.570748	2.480021	0.040764	5.004585	2.51414	1.590625	2.930399	4.722871
1.661056	6.108405	5.496984	20.555556	2.848985	2.944233	3.491113	3.459857	4.751003	4.373936	4.903614	4.800397	2.013073	4.838663	2.176	3.289744	7.240997	0.353836	4.362819	5.535899	3.348039	1.445791
5.629299	1.866735	1.829692	22.777778	1.827551	5.395256	5.094194	4.845483	3.2635	1.351668	0.965508	3.580713	5.961907	0.338095	5.578954	5.435955	4.958958	2.866587	4.282173	2.262549	6.188635	3.698812
2.380981	4.823062	0.637102	25.0	0.668269	7.21812	2.380212	7.147121	0.025123	3.010634	2.464413	3.482221	1.588628	5.201683	7.862496	5.447467	4.010638	5.279317	0.212686	1.713961	2.61641	6.829457
