NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
5.0	4.443086	5.906455	9.262466	8.762257	3.914957	1.123748	0.526026	6.303068	0.087934	1.747478	6.057953	7.614537	3.890134	8.169412	3.188177	1.489957	8.153615	6.595235	0.232986	4.675978	2.854541
7.222222	3.692131	1.990128	4.712597	0.757456	5.721038	6.832718	7.295179	2.304726	2.892722	5.16245	5.847753	4.20297	7.078848	2.769404	3.160049	2.400764	3.017734	5.770344	6.542885	6.496518	4.129363
9.444444	6.550194	0.871603	6.614929	5.890002	6.339639	1.97762	6.32511	4.373338	5.936122	2.20879	2.393118	0.489666	2.407211	4.228483	6.165579	5.537603	5.441381	3.373733	3.48635	5.852501	4.092584
11.666667	6.089556	3.281197	3.482997	1.418789	10.194283	4.833467	1.899213	7.004144	2.016742	4.563253	3.279773	3.556308	2.436052	4.848832	6.057483	1.824316	8.879216	1.750043	0.141424	10.173452	0.602792
13.888889	3.796579	4.490901	8.849198	4.153044	0.928703	1.206259	4.997389	5.210531	3.116499	7.648762	2.102922	1.57924	7.581837	1.906327	6.652693	2.698472	2.397286	9.233645	2.287571	4.759143	0.514109
16.111111	7.837119	2.87043	5.787319	2.578172	1.032902	3.622494	7.113646	7.105224	6.253352	0.18583	2.371259	3.755425	5.759918	0.029188	6.118978	1.411352	4.899879	4.725982	5.167225	0.628136	4.635059
18.333333	1.736715	3.691712	3.221663	5.261085	5.937199	3.82206	4.442298	3.238336	1.592208	1.608357	5.250016	4.100338	3.589863	2.671924	3.328197	4.826342	4.692717	0.582412	5.851742	5.798831	6.42265
20.555556	1.706816	6.20589	6.704129	8.971711	6.408608	8.959866	0.031855	5.938749	1.242777	2.332716	4.912344	0.164984	8.508692	0.030065	0.447866	0.139152	2.230513	1.053161	5.492875	2.379462	5.582214
22.777778	5.644931	5.604591	4.709252	7.77785	3.801402	4.183368	0.368782	1.66186	2.026624	1.905707	2.179344	5.626585	6.34809	5.208942	1.605975	7.594256	0.079326	3.074994	1.981901	2.977655	2.860786
25.0	4.223105	2.054787	1.326803	4.518789	2.622512	4.768785	2.278058	3.614593	4.835606	0.059283	5.453261	2.077872	2.780886	2.297918	5.255453	0.616785	6.895831	6.213212	6.970419	4.957189	1.178855
