NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
2.987903	2.668115	8.016964	2.385783	5.0	8.399062	1.639585	7.780945	6.410179	4.80966	4.707842	2.5767	8.638828	7.900247	4.008059	4.767108	2.593528	4.789126	1.53153	4.777344	0.557393	3.054096
3.489422	11.65803	8.329932	3.146021	7.222222	0.924306	3.722883	0.86263	2.050721	2.969473	0.328997	9.007943	4.901539	0.385816	0.697456	3.806056	3.252858	12.127691	3.49201	5.669285	6.868794	5.085916
0.078493	7.973464	5.605813	6.824787	9.444444	0.402418	7.367153	1.554187	2.81148	7.458334	4.748154	4.615843	3.241519	3.338027	1.620219	1.988689	2.85184	5.737914	5.975903	7.795923	1.42251	7.142884
3.254684	1.539461	5.86121	3.507452	11.666667	1.383196	3.025994	2.004598	5.236205	4.801723	8.580053	6.704999	4.038108	0.523251	0.016778	1.268179	8.14348	5.674304	8.440982	5.679428	0.952262	7.696986
2.260628	3.965013	5.309741	6.287312	13.888889	6.951812	1.833649	5.295241	3.612005	4.497259	0.617389	1.023393	6.335388	1.400067	3.8386	5.316076	0.360997	6.809885	6.978915	5.822476	5.024345	2.570922
7.174589	5.294517	0.511475	2.827427	16.111111	0.993045	3.547086	2.068505	2.168329	7.821776	7.782357	2.458922	8.471054	4.475657	0.788937	0.996193	4.421038	0.58103	2.751267	2.122668	8.287369	8.345649
2.110565	4.575707	2.456575	0.717514	18.333333	1.6962	2.817146	3.015234	7.475489	0.815749	6.835728	5.269743	4.143248	6.438653	4.953051	5.218387	0.824368	5.746562	1.492696	3.328216	4.692863	7.042972
3.415528	0.351802	4.286692	4.305617	20.555556	5.968261	6.813987	5.876063	2.622102	1.673776	5.283886	1.390087	2.261232	2.167558	5.14248	0.641744	4.911276	5.73135	6.335118	1.215806	4.800051	4.250029
0.835362	3.433169	6.394568	1.956226	22.777778	4.379392	6.580654	5.012382	0.395206	6.061939	0.768385	2.049386	3.409237	3.699633	5.483373	2.799683	0.694039	4.667153	5.920483	1.183947	5.664833	5.833172
0.135339	6.415879	2.98902	5.271519	25.0	4.233189	2.212511	3.060893	2.375335	5.106867	4.577056	2.074271	3.865609	3.585435	5.186378	1.839882	6.864425	2.109364	2.491392	4.814615	1.130786	4.660232
