NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
1.725027	2.792345	2.087603	8.943068	6.382436	4.151106	1.946163	1.059213	7.588873	1.820589	0.077789	7.748046	2.43085	3.280234	7.256169	5.0	4.258565	2.716191	9.215159	2.266085	9.118425	8.136063
4.951051	5.831485	5.189806	5.321312	4.124759	4.45566	3.728531	6.984511	6.311643	3.589982	3.798059	0.329504	0.327113	2.943145	3.770024	7.222222	5.504559	2.44238	6.484674	6.054896	4.791479	5.843204
5.338866	1.134202	1.384762	2.478566	8.687402	3.705994	1.82361	0.426527	8.453929	2.225408	6.264599	6.815671	7.38225	5.579391	1.506028	9.444444	1.349457	4.806447	1.824296	8.170424	3.153998	8.043729
3.431466	3.158381	7.353265	4.396057	5.647762	1.429286	3.779735	7.291468	2.822095	1.41264	5.167444	5.967977	5.632784	2.608648	7.268859	11.666667	5.63218	5.399944	1.844321	1.18077	2.983422	3.924827
1.624277	6.445251	4.934053	4.879313	6.299875	4.488271	5.275615	2.413888	5.197025	3.542217	0.002697	7.154466	4.172094	2.94697	1.230853	13.888889	0.6631	0.663168	5.85466	5.892507	5.701622	6.729188
6.911822	7.747454	5.561315	7.574896	6.734832	5.729834	5.770455	6.294583	6.835339	0.370308	6.665238	0.878798	0.187546	5.434971	3.320421	16.111111	3.108893	2.48507	0.483356	0.180778	0.340522	1.272456
3.610629	1.200837	8.178695	1.880113	8.922153	3.608864	0.998601	0.478563	0.331522	7.249336	6.570063	2.159701	4.639504	1.742224	4.251064	18.333333	5.678146	5.481091	1.104259	4.008373	8.874069	0.698859
4.049883	3.377628	3.189471	5.767493	2.112535	4.36416	5.211098	4.850427	5.811151	4.891102	2.922572	5.70767	1.142777	4.038822	0.759747	20.555556	1.722064	3.45741	5.282448	5.098559	4.294563	1.392865
3.562205	4.619796	2.638362	7.125706	5.409488	2.628761	1.146479	0.281243	3.051065	2.006425	3.36775	3.110912	4.838569	6.401716	3.64077	22.777778	3.137991	0.682887	7.149356	2.661964	2.785383	6.975393
4.381609	2.9844	5.871307	1.864958	6.100685	4.012939	5.290757	1.982385	5.503902	5.324759	2.096487	4.700139	1.603616	4.977634	3.331188	25.0	0.500876	5.796516	4.287795	0.274771	0.360742	3.752533
