NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
8.440775	2.356968	6.576945	7.633821	6.966204	8.512643	0.369517	5.77739	3.338287	1.87512	0.723624	0.067016	7.699277	2.319147	5.006131	5.526308	2.779861	5.501921	6.995504	5.0	1.028754	5.504787
2.370493	8.008641	5.617416	0.106208	1.080023	7.153719	8.71021	2.270026	3.029452	5.963618	3.742381	5.341589	5.187292	5.818661	9.369088	3.024618	2.099925	0.944042	5.215504	7.222222	4.771594	2.953276
7.294052	3.3112	4.41213	6.604079	4.083572	9.590245	0.161892	3.012308	0.858727	4.306596	2.993677	2.939994	7.038117	4.720091	0.948632	1.648325	2.331061	8.241598	4.591006	9.444444	1.938922	9.529331
0.192303	6.861247	6.90491	3.820463	5.152986	3.564987	7.108521	6.34379	5.498754	5.3633	6.248018	2.734133	4.719861	4.331808	1.060647	0.337785	5.779097	2.196028	3.193099	11.666667	4.939245	1.982352
1.521241	3.239845	5.518556	8.24343	4.340946	2.790934	1.9407	3.001727	7.351003	0.330805	3.672886	6.922556	0.861732	8.687377	1.401675	1.616886	1.90058	4.783905	9.800173	13.888889	0.965799	7.218355
0.063911	5.620733	3.09745	4.667932	2.95399	6.584742	1.916829	4.733408	4.03204	4.103482	7.803299	6.462071	1.961635	6.151411	0.205193	8.061853	4.015476	4.481413	5.829612	16.111111	0.066644	1.075766
0.629536	7.448451	7.047726	0.338349	3.750105	4.529745	0.224333	1.357855	3.865498	5.252895	5.063239	3.600541	6.420228	5.444023	6.147068	6.789522	1.122112	1.078974	5.962878	18.333333	1.124052	4.469535
6.161864	4.136839	4.812676	5.702394	4.231239	2.943611	1.982926	2.49811	3.497897	0.043733	6.022288	4.416972	3.308171	4.026502	5.206015	5.523061	1.315815	1.37239	5.483649	20.555556	5.860664	0.897627
4.401497	0.203326	6.889902	4.141744	0.073667	4.186983	0.759922	3.51448	2.117371	2.705881	5.698498	6.799111	6.600281	2.744609	5.86196	1.241081	3.377668	2.704278	7.227285	22.777778	2.946925	3.025753
0.770674	5.346006	1.71859	5.423277	6.368915	0.400035	5.073683	1.017296	5.42395	5.262944	3.481763	4.101925	1.590377	1.624698	2.892229	2.887084	2.611514	3.241118	3.03164	25.0	6.591511	6.140771
