NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
5.0	4.443086	5.906455	9.262466	8.762257	3.914957	1.123748	0.526026	6.303068	0.087934	1.747478	6.057953	7.614537	3.890134	8.169412	3.188177	1.489957	8.153615	6.595235	0.232986	4.675978	2.854541
7.222222	3.692131	1.990128	4.712597	0.757456	5.721038	6.832718	7.295179	2.304726	2.892722	5.16245	5.847753	4.20297	7.078848	2.769404	3.160049	2.400764	3.017734	5.770344	6.542885	6.496518	4.129363
9.444444	6.550194	0.871603	6.614929	5.890002	6.339639	1.97762	6.32511	4.373338	5.936122	2.20879	2.393118	0.489666	2.407211	4.228483	6.165579	5.537603	5.441381	3.373733	3.48635	5.852501	4.092584
11.666667	6.089556	3.281197	3.482997	1.418789	10.194283	4.833467	1.899213	7.004144	2.016742	4.563253	3.279773	3.556308	2.436052	4.848832	6.057483	1.824316	8.879216	1.750043	0.141424	10.173452	0.602792
13.888889	3.796579	4.490901	8.849198	4.153044	0.928703	1.206259	4.997389	5.210531	3.116499	7.648762	2.102922	1.57924	7.581837	1.906327	6.652693	2.698472	2.397286	9.233645	2.287571	4.759143	0.514109
16.111111	7.837119	2.87043	5.787319	2.578172	1.032902	3.622494	7.113646	7.105224	6.253352	0.18583	2.371259	3.755425	5.759918	0.029188	6.118978	1.411352	4.899879	4.725982	5.167225	0.628136	4.635059
18.333333	1.736715	3.691712	3.221663	5.261085	5.937199	3.82206	4.442298	3.238336	1.592208	1.608357	5.250016	4.100338	3.589863	2.671924	3.328197	4.826342	4.692717	0.582412	5.851742	5.798831	6.42265
20.555556	1.706816	6.20589	6.704129	8.971711	6.408608	8.959866	0.031855	5.938749	1.242777	2.332716	4.912344	0.164984	8.508692	0.030065	0.447866	0.139152	2.230513	1.053161	5.492875	2.379462	5.582214
22.777778	5.644931	5.604591	4.709252	7.77785	3.801402	4.183368	0.368782	1.66186	2.026624	1.905707	2.179344	5.626585	6.34809	5.208942	1.605975	7.594256	0.079326	3.074994	1.981901	2.977655	2.860786
25.0	4.223105	2.054787	1.326803	4.518789	2.622512	4.768785	2.278058	3.614593	4.835606	0.059283	5.453261	2.077872	2.780886	2.297918	5.255453	0.616785	6.895831	6.213212	6.970419	4.957189	1.178855
5.303689	5.0	6.410074	0.319001	5.456974	2.502099	6.244355	8.62698	2.187106	4.446275	4.528264	4.725411	6.70803	0.311793	2.708539	3.367222	8.762538	10.284522	2.681194	5.390826	3.836287	0.198818
2.770261	7.222222	8.302536	3.048285	5.456989	1.466519	8.659462	1.540376	1.657847	5.796532	1.810836	5.237938	8.312075	2.12875	1.165998	7.668672	0.937532	4.647206	8.905881	4.508765	4.672573	4.082743
4.941863	9.444444	6.502278	2.282164	0.629542	4.381097	0.890091	4.29048	3.527763	0.563888	7.018701	2.084357	3.146546	5.212059	4.624542	6.797828	5.982297	5.2906	4.573197	6.958584	3.63315	7.224528
9.087949	11.666667	2.301421	3.506224	1.254621	0.050316	2.094542	0.946396	8.946073	0.202035	9.338825	4.75248	3.009661	6.585404	9.638577	4.020358	4.118593	6.633889	7.658011	1.455445	1.476824	1.25569
0.651619	13.888889	1.653418	7.915203	3.657309	6.784931	5.004382	9.047523	8.746336	2.604315	0.418953	0.144915	1.48855	3.105887	1.328503	8.794434	5.828961	8.813538	6.24022	1.044112	2.015626	0.822375
0.966084	16.111111	4.220166	4.125447	6.324785	7.270423	2.937695	6.786229	5.886316	3.920148	3.552926	0.754426	4.69518	6.112422	2.698257	1.986462	5.035683	1.860648	0.201459	6.740707	7.279776	0.53365
5.674454	18.333333	5.565445	2.482307	0.093501	3.861344	4.743052	4.90478	1.765671	0.356191	1.893089	2.313372	5.493761	4.669317	5.852041	3.194988	3.689791	6.785116	1.306038	4.913099	6.822165	5.287144
1.66358	20.555556	6.271592	8.1218	2.750617	2.800403	4.722141	5.083133	5.428178	0.853137	6.903389	6.599935	2.432124	0.116985	0.867769	1.930762	4.621938	1.066413	5.478431	7.214707	3.737123	0.780287
4.085779	22.777778	7.579392	2.344194	4.309152	1.276432	5.515957	6.244068	1.852153	3.938664	5.720408	2.762204	2.554602	7.197475	2.302607	0.942637	2.092223	5.940513	7.106132	0.661591	2.780191	0.015848
3.107521	25.0	1.765807	1.228681	5.812846	1.325147	5.632456	1.967211	7.018039	4.149431	2.600567	4.05166	2.1094	1.714015	1.723883	5.872664	4.149055	5.638822	6.618416	1.862837	2.34204	4.309501
5.75103	4.947141	5.0	6.852763	5.670699	6.431735	3.964087	6.921829	4.119222	6.106679	1.547292	5.013469	4.558097	3.591142	3.912392	4.36288	2.144712	3.9061	2.748458	0.792446	5.375828	6.281998
10.225312	0.480738	7.222222	6.989801	9.095661	5.274288	1.053466	10.626721	4.385858	2.420081	4.708888	1.851425	6.276886	1.540528	10.789411	3.80433	1.282353	6.375123	1.885812	1.798749	1.865589	0.046759
5.357364	4.369135	9.444444	5.307016	1.059774	4.92767	5.995194	7.78748	3.580497	0.162648	3.214924	6.206609	2.196685	7.403524	7.96056	1.420196	0.694646	2.647517	5.960487	2.367478	7.051768	4.884383
3.199167	5.84573	11.666667	1.225923	5.259508	5.048637	6.839562	1.206849	2.163182	4.801922	6.748629	2.967133	4.348531	3.60851	4.188853	4.68146	3.664091	4.5282	3.808496	7.957613	0.905859	5.335479
4.122208	3.899899	13.888889	6.251493	1.736178	5.687315	6.82413	0.990015	2.170227	1.895393	3.800894	7.154267	4.779051	1.022651	6.754664	6.256929	4.902623	1.743057	2.856732	6.100524	6.634355	0.528506
