NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
1.812553	1.20537	0.013913	10.243987	8.966596	4.163396	7.539856	7.053594	6.790259	6.850771	0.92009	1.142233	8.598114	2.9065	3.256596	2.254316	8.064018	5.0	0.9949	4.104934	5.898801	2.219202
0.965494	5.23551	4.80938	7.532247	2.624633	2.956013	5.511395	7.6482	4.737229	6.488989	1.209812	7.423503	0.722634	0.585979	4.994299	2.501006	4.257358	7.222222	7.979272	4.502768	6.280902	3.811154
6.005959	0.709098	4.783242	6.540991	1.320411	2.019965	5.461709	1.154991	5.881053	7.631598	0.159108	3.490163	1.564897	4.420085	5.123637	2.344872	9.644518	9.444444	1.032186	10.096403	7.012873	4.157796
0.190311	1.349574	7.475693	2.192458	0.152742	8.189514	6.443118	8.331811	4.931579	3.482579	6.370286	5.302521	6.85838	7.418549	2.130966	1.126673	2.51345	11.666667	2.99478	0.395169	6.106388	4.376794
1.241258	2.332393	5.31451	3.80476	5.310642	2.076873	6.56688	6.167222	5.078684	2.770737	0.892847	4.042032	7.00249	2.403727	2.096964	5.379105	5.206328	13.888889	4.258367	3.563839	5.16299	5.438463
1.172327	3.924442	1.744934	4.398237	3.698266	3.943371	3.337612	6.206191	2.932823	3.160678	5.174296	6.743141	6.315342	4.406417	6.455711	4.644403	6.810977	16.111111	2.533409	2.780549	0.762485	2.743279
3.908936	6.086838	1.562658	4.781826	7.460937	4.181541	4.640394	6.54597	0.172484	7.319896	2.70219	5.883189	0.632514	1.258997	8.052332	0.031236	4.25369	18.333333	3.761486	1.95299	6.140202	0.336362
7.638225	3.879569	2.71323	5.501714	0.321889	0.064907	5.176371	2.61417	4.263729	6.248427	0.660207	6.587142	7.038652	6.833293	2.632208	0.994508	7.375933	20.555556	2.899215	0.10636	0.06337	5.831328
3.414547	6.841888	0.097508	1.218231	6.560707	7.599382	2.572267	1.712979	8.160452	5.779467	1.943835	6.664321	2.046992	0.736401	5.093172	0.286803	2.907038	22.777778	5.751173	3.144195	0.174806	4.516058
5.614748	1.642887	3.212791	5.773706	6.615173	3.575337	1.522431	1.990519	1.886924	1.318502	4.1192	3.979303	2.472598	3.740993	0.730955	1.469207	8.51171	25.0	4.372578	4.407027	6.937567	1.105847
