NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
6.426811	2.549914	6.676834	3.743385	3.21483	5.952219	1.255549	2.725459	7.013448	0.079583	6.184726	3.516098	4.426821	5.0	1.231564	3.824758	5.567031	6.850682	5.608089	7.819776	7.15389	3.178531
1.285126	5.804275	4.289778	6.148774	6.161052	2.227548	6.270882	2.915263	1.043432	3.960724	6.773715	7.027647	1.47816	7.222222	6.536959	4.025916	5.984757	1.456656	4.727527	2.849773	6.317439	5.492375
7.18709	0.006068	2.365631	0.601928	2.620144	3.405792	3.591006	0.967964	5.357702	8.382384	6.942705	4.91001	5.633274	9.444444	3.636974	5.304544	6.542068	1.134401	8.305039	8.057852	4.090258	1.512719
4.513444	5.755303	4.142639	6.604289	6.885353	1.292675	4.991472	8.661214	4.942041	0.942248	0.264997	2.864075	6.376258	11.666667	0.609472	5.108313	1.710721	5.302776	1.164383	7.67755	7.940749	0.583362
6.538655	2.229229	2.231808	7.443686	1.319966	3.100071	0.68384	2.693002	3.416973	6.621754	4.74071	1.889953	0.884699	13.888889	7.268567	6.351519	7.27407	1.580275	7.658915	2.121737	7.197489	2.864194
5.004915	4.059908	5.536043	2.205856	7.63316	3.266293	7.955274	2.64189	3.29094	8.417157	1.041526	3.792622	0.60613	16.111111	1.929495	2.670029	1.5409	1.832275	4.464223	1.791285	6.172937	8.036029
8.794685	2.819004	7.793747	0.172401	3.120055	0.370386	3.597707	6.834429	2.94457	0.45922	1.059975	7.035463	7.130956	18.333333	8.721326	2.854238	1.889105	7.530298	0.921829	4.214301	1.752084	1.650888
7.356756	7.143758	0.189536	7.465129	7.407193	3.760635	4.758641	3.593236	3.969736	1.43587	2.412716	1.111138	5.367878	20.555556	0.1567	1.711118	3.928525	0.039754	5.102702	0.984565	5.598675	5.950187
0.986927	1.730905	2.647228	5.449	5.497917	2.329115	6.727438	2.023985	6.071115	4.575062	1.310754	5.183608	3.028454	22.777778	4.845589	1.420271	5.550394	6.469764	4.363295	0.129043	6.309187	0.573172
2.133775	2.900906	2.569518	2.332828	5.815144	4.978432	5.839441	6.738701	1.46375	6.603	2.315046	6.434585	0.961681	25.0	3.546062	0.040832	6.974703	6.314551	0.869082	1.032882	1.301081	3.833998
