NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
1.652271	1.284804	2.521426	2.623335	4.359954	4.720099	9.129528	7.015127	0.850242	5.0	4.17435	7.018149	5.301848	6.980259	4.259753	1.391419	0.974795	1.594325	9.262905	5.113835	9.257278	5.514298
5.378725	0.793278	4.158534	1.911771	7.738646	6.000413	2.732797	1.190463	7.414515	7.222222	7.268251	0.140122	5.394385	7.910432	3.983601	7.887598	2.830622	0.409583	5.665084	1.420149	7.2561	5.292708
3.730233	7.713669	6.018334	1.705861	3.973192	5.41524	1.794609	6.345169	5.144072	9.444444	6.041734	2.099038	4.317539	6.283422	5.870811	9.207689	0.775731	2.311749	1.71965	1.389732	4.23068	4.467403
4.060236	0.895376	3.619507	3.821914	1.846794	5.57361	0.807335	4.985129	6.508062	11.666667	2.72455	6.311275	2.607831	6.717366	5.703365	4.408302	1.964958	6.760917	7.386823	4.078186	0.489422	7.062374
0.643225	5.24299	5.108031	3.845228	4.459835	2.393462	8.467221	4.213784	6.168985	13.888889	4.759919	2.669687	0.387216	7.106333	5.393193	2.864867	1.698889	3.434893	1.990859	3.39227	6.063897	5.806328
2.126943	1.878903	4.719047	6.068762	7.251177	3.499963	5.522256	1.221586	4.435909	16.111111	7.70129	6.102123	2.929434	0.89993	5.975799	3.015111	1.886635	0.039563	1.176598	6.677312	6.390346	4.370201
2.240499	3.161148	6.926372	4.551124	7.104157	2.183006	4.675046	0.611794	5.091604	18.333333	0.549862	5.870407	2.096253	5.671086	1.298487	2.511025	6.449144	3.278009	0.163981	7.033759	6.605889	3.594014
2.554241	3.477868	6.46649	4.707968	1.843945	4.336674	1.721565	0.654258	3.058773	20.555556	6.691151	6.466226	3.49176	4.38541	0.559223	5.583332	2.26183	4.264125	6.690024	1.771692	4.268639	4.189249
4.624556	3.727014	3.625463	2.864845	4.192967	4.359399	2.146851	5.356814	5.000881	22.777778	0.917866	4.689164	3.905904	4.09679	1.264973	5.147585	1.616312	4.104418	4.669322	4.850213	0.370889	5.689996
4.46592	3.12529	1.662559	3.186994	0.535457	4.290678	1.477308	6.417858	2.064823	25.0	3.682789	3.382505	4.459635	2.409161	1.3749	2.864367	7.334438	6.863049	5.065522	7.096035	1.048739	2.191971
