NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
2.497592	5.720192	10.568523	4.136698	9.715326	7.573112	7.772181	4.486512	5.260352	5.099711	0.540922	6.910077	0.272107	0.157237	5.420424	3.075226	1.014882	2.581127	7.914865	2.725678	1.557255	5.0
5.746377	5.546356	3.754825	7.159661	6.906675	4.931003	0.631248	0.999427	7.231334	4.227342	3.506029	5.566008	1.684071	4.059487	0.816069	5.4464	6.603546	2.051468	6.798819	5.205359	3.906275	7.222222
7.823155	1.993984	1.326719	4.902071	7.188008	1.57958	3.16574	3.613255	2.996682	4.001339	5.061432	6.943171	5.82427	3.91219	7.850305	4.528612	0.627185	4.950188	4.789486	6.991673	0.486509	9.444444
1.917003	4.335888	6.345246	5.535378	5.593891	4.032082	3.684533	5.876222	6.478114	5.784082	3.897814	5.585853	1.581185	6.220138	3.705599	1.255125	1.603935	2.292102	5.693575	2.637442	4.278127	11.666667
4.845216	5.049881	3.240348	0.006206	0.586159	0.090811	8.903266	0.618088	8.795431	3.855089	8.834613	7.457762	8.397027	3.882944	3.321219	4.008711	0.677837	7.75458	2.335364	2.862801	0.58776	13.888889
0.888372	5.607982	6.055611	2.429463	2.651565	3.81543	5.434221	5.310829	1.543652	6.62807	3.18956	2.823542	6.06935	6.078684	4.353762	2.838017	2.16968	6.876439	1.831958	5.470062	1.82264	16.111111
6.325475	1.011014	3.947317	7.857163	5.771504	0.791971	3.611609	0.551762	4.558894	2.05208	7.938285	1.089525	4.610782	4.010668	3.437959	2.063565	2.68422	6.227944	5.844472	0.548196	6.73226	18.333333
2.559982	2.578709	6.117164	9.275465	6.479581	3.432128	6.957936	2.305803	0.542524	2.919879	1.607885	6.337382	1.433351	9.286157	1.846321	7.882351	1.067794	3.226865	1.057785	1.005031	1.52435	20.555556
2.824689	1.376918	3.456295	0.552684	6.161608	5.768205	4.605045	3.565978	4.252012	6.078058	1.749435	4.347207	3.256121	3.47869	2.533878	4.76125	6.183741	0.090976	4.6898	2.124036	5.365599	22.777778
2.16964	5.097491	5.832806	3.965878	3.090151	1.367165	3.080159	4.497859	1.580142	4.901451	2.490623	2.40208	0.073779	4.750198	6.354297	1.245424	5.19741	2.789862	5.314358	3.759205	5.040023	25.0
