NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
7.875206	6.033831	6.73158	8.344676	0.545932	4.730791	7.94098	7.40694	3.687118	7.496086	5.0	5.194581	2.730624	2.473744	1.993547	5.123232	4.316776	1.677467	2.680947	0.457732	5.378609	2.179602
1.465244	0.887723	0.201802	1.955473	4.513475	9.422482	6.827724	1.565796	7.379246	7.378094	7.222222	4.13894	2.523687	2.761264	7.94329	0.385969	6.707847	1.103849	9.743386	9.857642	1.467433	4.547411
2.856012	3.659314	9.184224	8.518249	2.882191	10.612115	4.271659	0.754829	0.90117	2.080674	9.444444	0.725415	1.281514	8.631373	1.496091	2.322569	1.39227	7.297554	3.23598	5.057048	3.922287	9.473019
0.796035	1.254718	7.693787	6.178731	3.919637	2.187127	6.875816	2.85795	4.793414	5.195389	11.666667	0.561901	6.433398	7.517686	1.864267	7.698703	3.295031	2.082689	0.475199	3.637839	5.522802	7.491212
6.719571	2.455789	0.703272	1.549676	2.584361	4.638186	7.31103	5.02373	1.069863	5.784983	13.888889	5.366747	6.405707	1.922989	4.554869	6.879074	5.393092	2.710217	6.183842	1.721984	1.127274	6.004855
0.751817	5.915466	4.468901	1.612551	3.183347	2.878392	4.465893	2.417569	5.693085	7.678925	16.111111	7.241666	2.511581	5.058457	7.106213	1.774816	1.065418	6.45953	2.607538	3.927936	5.496911	1.572876
6.066158	0.938532	5.620452	5.118678	6.197118	4.199622	4.779375	2.591654	0.531615	0.854346	18.333333	2.70664	2.325508	7.004098	2.162381	4.277717	0.804967	4.956034	5.466114	2.601113	7.188377	5.276167
3.467907	5.871613	3.683347	1.32677	1.972043	5.039171	1.834194	6.651583	3.522535	3.910059	20.555556	0.478934	3.616436	1.125842	3.900135	5.119815	4.417571	2.360736	5.399159	2.13372	6.947139	6.665738
8.311199	5.711709	2.985223	2.83707	2.632566	7.145839	4.39536	1.977383	2.902029	5.061144	22.777778	1.947973	1.499933	3.67297	2.860994	0.178259	8.779265	4.787421	2.772886	1.500693	3.235082	2.027224
4.953495	6.637823	1.647745	3.099526	1.04005	0.9562	0.003615	3.80614	1.067643	2.497364	25.0	5.255108	3.226551	5.116985	4.435095	6.590113	5.963697	3.369973	4.753225	3.22837	4.986923	2.36436
