NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
5.75103	4.947141	5.0	6.852763	5.670699	6.431735	3.964087	6.921829	4.119222	6.106679	1.547292	5.013469	4.558097	3.591142	3.912392	4.36288	2.144712	3.9061	2.748458	0.792446	5.375828	6.281998
10.225312	0.480738	7.222222	6.989801	9.095661	5.274288	1.053466	10.626721	4.385858	2.420081	4.708888	1.851425	6.276886	1.540528	10.789411	3.80433	1.282353	6.375123	1.885812	1.798749	1.865589	0.046759
5.357364	4.369135	9.444444	5.307016	1.059774	4.92767	5.995194	7.78748	3.580497	0.162648	3.214924	6.206609	2.196685	7.403524	7.96056	1.420196	0.694646	2.647517	5.960487	2.367478	7.051768	4.884383
3.199167	5.84573	11.666667	1.225923	5.259508	5.048637	6.839562	1.206849	2.163182	4.801922	6.748629	2.967133	4.348531	3.60851	4.188853	4.68146	3.664091	4.5282	3.808496	7.957613	0.905859	5.335479
4.122208	3.899899	13.888889	6.251493	1.736178	5.687315	6.82413	0.990015	2.170227	1.895393	3.800894	7.154267	4.779051	1.022651	6.754664	6.256929	4.902623	1.743057	2.856732	6.100524	6.634355	0.528506
2.166303	1.689853	16.111111	5.139197	4.954666	3.137924	6.275223	3.724135	1.52419	2.923583	4.98608	3.596773	3.175212	6.048618	6.072304	6.183392	5.324485	1.981369	0.925006	5.523969	4.258462	4.278144
3.948881	5.499995	18.333333	0.366374	10.286484	1.866421	8.189914	0.574624	0.797396	6.564705	4.178951	0.079893	8.033263	4.344212	5.962014	7.385562	1.574714	2.094457	2.85217	1.736421	4.819257	0.51096
3.649765	6.626413	20.555556	5.354897	6.288277	0.557683	2.481118	0.965284	0.971729	6.427885	4.644971	2.263753	5.804675	6.148579	1.762722	5.556799	0.282827	3.968577	2.66876	3.074282	4.981119	4.964332
2.892054	6.941876	22.777778	6.265849	2.240272	0.801096	5.427978	3.707068	5.254069	6.332389	2.666323	1.589913	2.150056	6.974608	3.124515	3.022776	2.115355	3.356758	1.179526	3.676238	5.227484	2.276018
4.764654	4.235056	25.0	2.039566	1.068775	4.644204	3.438962	1.438682	5.858687	3.809841	0.629361	0.273912	2.73246	6.079726	3.550862	5.839756	5.922501	0.195367	4.093323	4.984931	2.131223	7.268152
