PBL	TIL	MEL_TUMOR
98.106422	1.892578	0.001
62.09159	37.90741	0.001
86.415332	13.583668	0.001
57.836215	42.16163	0.002154
97.904299	2.093546	0.002154
89.803198	10.194647	0.002154
85.380568	14.61479	0.004642
54.340261	45.655098	0.004642
31.702719	68.292639	0.004642
50.559151	49.430849	0.01
60.058533	39.931467	0.01
60.405189	39.584811	0.01
26.427272	73.551184	0.021544
55.122844	44.855612	0.021544
42.537818	57.440638	0.021544
7.693078	92.260506	0.046416
23.718034	76.23555	0.046416
51.515477	48.438107	0.046416
39.382834	60.517166	0.1
93.452285	6.447715	0.1
81.952252	17.947748	0.1
65.780815	34.003742	0.215443
56.107886	43.67667	0.215443
63.845804	35.938752	0.215443
49.976453	49.559389	0.464159
51.989007	47.546834	0.464159
35.938569	63.597272	0.464159
60.602897	38.397103	1
81.299149	17.700851	1
79.831203	19.168797	1
6.709022	3.290978	90
0.862826	9.137174	90
5.493914	4.506086	90
17.82092	1.067969	81.111111
8.706482	10.182407	81.111111
11.987661	6.901228	81.111111
20.296436	7.481342	72.222222
22.705212	5.072566	72.222222
8.037823	19.739955	72.222222
33.074877	3.591789	63.333333
21.250965	15.415702	63.333333
2.526177	34.14049	63.333333
43.5204	2.035156	54.444444
11.34511	34.210445	54.444444
2.112187	43.443369	54.444444
36.373894	18.070551	45.555556
0.44168	54.002764	45.555556
16.27713	38.167315	45.555556
41.912708	21.420625	36.666667
3.367194	59.966139	36.666667
3.615687	59.717646	36.666667
37.979439	34.242784	27.777778
63.992015	8.230207	27.777778
62.349233	9.872989	27.777778
25.699947	55.411164	18.888889
37.664528	43.446583	18.888889
63.844958	17.266153	18.888889
24.540109	65.459891	10
11.705026	78.294974	10
89.825267	0.174733	10
48.684926	50.315074	1
58.345738	40.654262	1
26.759888	72.240112	1
77.575932	19.174068	3.25
30.216622	66.533378	3.25
63.595513	33.154487	3.25
41.406642	53.093358	5.5
23.008261	71.491739	5.5
6.796436	87.703564	5.5
76.50847	15.74153	7.75
8.896383	83.353617	7.75
27.681471	64.568529	7.75
42.673249	47.326751	10
68.682621	21.317379	10
52.15989	37.84011	10
