PBL	TIL	MEL_TUMOR
98.106422	0.001	1.892578
62.09159	0.001	37.90741
86.415332	0.001	13.583668
57.836215	0.002154	42.16163
97.904299	0.002154	2.093546
89.803198	0.002154	10.194647
85.380568	0.004642	14.61479
54.340261	0.004642	45.655098
31.702719	0.004642	68.292639
50.559151	0.01	49.430849
60.058533	0.01	39.931467
60.405189	0.01	39.584811
26.427272	0.021544	73.551184
55.122844	0.021544	44.855612
42.537818	0.021544	57.440638
7.693078	0.046416	92.260506
23.718034	0.046416	76.23555
51.515477	0.046416	48.438107
39.382834	0.1	60.517166
93.452285	0.1	6.447715
81.952252	0.1	17.947748
65.780815	0.215443	34.003742
56.107886	0.215443	43.67667
63.845804	0.215443	35.938752
49.976453	0.464159	49.559389
51.989007	0.464159	47.546834
35.938569	0.464159	63.597272
60.602897	1.0	38.397103
81.299149	1.0	17.700851
79.831203	1.0	19.168797
6.709022	90.0	3.290978
0.862826	90.0	9.137174
5.493914	90.0	4.506086
17.82092	81.111111	1.067969
8.706482	81.111111	10.182407
11.987661	81.111111	6.901228
20.296436	72.222222	7.481342
22.705212	72.222222	5.072566
8.037823	72.222222	19.739955
33.074877	63.333333	3.591789
21.250965	63.333333	15.415702
2.526177	63.333333	34.14049
43.5204	54.444444	2.035156
11.34511	54.444444	34.210445
2.112187	54.444444	43.443369
36.373894	45.555556	18.070551
0.44168	45.555556	54.002764
16.27713	45.555556	38.167315
41.912708	36.666667	21.420625
3.367194	36.666667	59.966139
3.615687	36.666667	59.717646
37.979439	27.777778	34.242784
63.992015	27.777778	8.230207
62.349233	27.777778	9.872989
25.699947	18.888889	55.411164
37.664528	18.888889	43.446583
63.844958	18.888889	17.266153
24.540109	10.0	65.459891
11.705026	10.0	78.294974
89.825267	10.0	0.174733
48.684926	1.0	50.315074
58.345738	1.0	40.654262
26.759888	1.0	72.240112
77.575932	3.25	19.174068
30.216622	3.25	66.533378
63.595513	3.25	33.154487
41.406642	5.5	53.093358
23.008261	5.5	71.491739
6.796436	5.5	87.703564
76.50847	7.75	15.74153
8.896383	7.75	83.353617
27.681471	7.75	64.568529
42.673249	10.0	47.326751
68.682621	10.0	21.317379
52.15989	10.0	37.84011
