CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.05874	13.082238	9.65509	0.692272	7.702499	13.507332	6.221395	0.227585	7.057548	5.812331	0.999286	12.447635	14.228764	0.307283
13.932251	1.312371	18.034773	9.480412	4.772986	10.980813	2.862966	0.227585	0.645156	1.160715	14.119254	3.252552	13.194152	6.024015
2.482969	10.485882	11.091922	8.927092	12.450113	11.712551	4.550372	0.227585	11.113085	3.791331	5.909051	2.600824	6.215658	8.441565
3.017099	4.407867	5.926781	11.166577	11.215294	6.768723	8.332345	0.227585	11.371412	12.523831	5.118698	10.502713	8.520434	0.900641
5.018848	12.029216	11.736865	1.247814	7.686911	5.050429	1.903363	0.227585	13.360212	7.639542	10.465414	10.119366	2.067834	11.4466
2.967766	13.997084	6.014102	3.33795	9.926346	9.574775	14.014837	0.227585	14.966308	6.289699	0.927627	3.468849	6.163586	8.123488
6.9697	4.859711	9.429215	14.93612	0.295998	11.92005	12.688226	0.227585	7.202883	12.701995	0.777641	0.540097	2.333397	15.117383
8.46148	9.722572	7.95427	6.526825	11.319542	2.028144	6.272283	0.227585	9.551477	11.624147	3.646395	9.898094	12.185576	0.581609
10.508031	0.188833	14.752863	17.906759	7.332143	6.374859	12.592456	0.227585	3.100658	3.212058	5.428349	4.730863	5.527947	8.116595
9.873497	3.425171	10.395012	6.479354	12.44433	8.127525	13.311647	0.227585	4.517246	4.213321	11.360083	3.199123	6.246189	6.179917
