CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.554159	10.459019	6.387046	8.301643	14.25876	3.827862	17.164708	0.678589	17.681209	1.992429	3.234921	0.227585	4.555389	2.676682
2.49963	1.031406	4.791157	11.301463	9.27004	10.664783	7.643052	10.405531	7.185112	4.611122	11.840333	0.227585	10.210831	8.317955
9.54786	13.21732	3.542537	1.945101	0.401238	15.775863	2.252178	12.060886	7.996895	3.764587	4.856633	0.227585	10.735092	13.676226
15.40658	11.273702	5.763657	12.763657	0.576685	12.131315	2.328175	2.288463	0.259028	9.449893	7.528087	0.227585	13.963016	6.040158
9.158358	5.258084	11.098767	9.074885	5.412543	8.557526	5.509802	9.519259	9.428616	8.521555	2.753791	0.227585	9.077554	6.401674
6.769619	3.263672	9.978165	11.388739	7.821779	5.714198	10.971143	8.669276	1.184193	14.203415	2.144834	0.227585	6.935585	10.727796
12.326505	2.007653	14.987938	3.097185	10.737671	13.60119	8.299884	1.064723	5.918927	8.219235	1.158228	0.227585	6.72334	11.629936
3.178263	13.365107	2.902024	2.961615	9.638152	8.067073	13.393592	6.051237	9.6337	8.312125	6.68412	0.227585	10.184263	5.401145
4.489125	7.731871	1.352763	1.995017	11.996722	8.650593	10.755465	11.500268	7.832293	5.714882	4.78045	0.227585	12.219185	10.753781
10.751946	11.736981	5.803688	3.624742	8.186284	3.795681	11.68411	9.53653	7.331557	10.631354	4.42979	0.227585	10.258946	2.000806
