CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
17.90895	10.391759	1.22398	3.450828	9.668455	13.173188	2.668583	0.854664	1.096617	3.638851	0.227585	15.113034	3.418966	17.16454
2.300639	1.150705	9.377564	10.540776	2.298448	15.619865	6.690528	12.074124	2.657695	10.638909	0.227585	10.437829	1.556236	14.429096
8.549538	9.828693	4.16527	7.853944	17.915617	5.470054	0.046676	7.451949	11.434453	13.839573	0.227585	1.208584	10.546964	1.461098
8.924601	4.553714	12.675347	15.594653	2.714395	7.899545	0.51602	6.096522	10.676607	0.499189	0.227585	5.430174	10.597372	13.594277
7.737567	12.720443	8.987086	0.670276	7.342135	12.006366	9.586886	5.102614	2.671925	8.425999	0.227585	8.972166	1.634692	13.91426
11.840098	10.644224	1.600595	8.339116	1.578011	9.342146	5.552386	7.53802	12.617223	2.674231	0.227585	6.269857	11.338221	10.438285
0.755961	4.773555	14.282511	14.434801	4.01335	6.143498	6.141325	5.103394	8.482967	7.163695	0.227585	11.924332	10.776396	5.77663
13.304928	13.59173	8.292763	10.90166	6.428088	5.119786	9.056836	4.575234	7.991544	5.392287	0.227585	2.137211	3.777995	9.202353
4.828386	8.773721	11.56773	5.552669	12.43438	6.412219	1.931787	8.908172	7.652421	15.978661	0.227585	3.508038	7.786065	4.438168
11.65207	3.724707	5.862421	1.72895	12.80101	10.771437	10.503688	9.068477	2.531314	9.164002	0.227585	6.497491	7.130608	8.336239
