CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
2.368048	14.661257	2.006775	15.032158	2.347089	4.449056	9.195276	12.297271	3.04888	7.259371	13.803992	3.295891	10.007353	0.227585
8.45049	19.539906	0.538502	0.022487	1.965813	1.395798	4.462623	19.869705	5.029488	15.882905	0.699763	8.052322	13.862612	0.227585
15.538573	0.325121	4.37771	13.649517	2.594876	2.13191	13.963917	1.651566	10.971964	10.441357	0.322487	10.55808	13.245336	0.227585
1.181119	2.977885	6.386507	0.346668	8.609761	5.671646	1.020694	2.080455	16.531563	19.194911	7.459726	13.834836	14.476645	0.227585
8.610687	7.553663	9.123829	9.860426	9.694164	3.840599	7.084429	10.479426	11.11586	11.204448	0.899662	0.678517	9.626705	0.227585
8.078864	2.33733	2.757842	7.233146	4.247881	11.20189	10.304553	8.457913	11.058406	0.089181	12.489658	11.81326	9.702492	0.227585
3.284117	5.819486	11.077943	11.529337	8.784681	10.454598	0.302558	8.62851	9.396805	10.901534	5.404803	11.920801	2.267241	0.227585
10.573463	13.13859	5.651652	5.611549	2.885457	12.154089	11.013034	4.516954	1.226827	1.846811	13.968999	8.418545	8.766444	0.227585
11.179325	13.174114	1.415965	11.226338	0.964979	3.528979	9.463403	5.727211	9.221563	2.36135	12.227676	14.693638	4.587873	0.227585
10.271882	8.595336	15.401496	6.379378	12.005621	0.038273	7.15448	2.262473	8.438112	0.876478	9.138657	7.793243	11.416986	0.227585
